Ladin	Logudorese	probability
b	b	1.0
i	i	1.0
ŋ	m	1.0
ɲ	ɲː	1.0
ʥ	-	1.0
ʦ	-	1.0
ʧ	k	1.0
ˈa	ˈa	1.0
ˈu	ˈu	1.0
ˈɔ	ˈo	1.0
j	u	0.101
l	l	0.41
r	r_e	0.11
r	r_u	0.11
v	b	0.61
ʨ	k	0.921
d	ð	0.432
e	-	0.102
e	a	0.142
o	e	0.402
t	t_e	0.182
w	r	0.063
ɡ	b	0.553
ʒ	ɣ	0.463
ˈe	e	0.053
d	d	0.384
e	e_r	0.174
f	-	0.054
n	n_u	0.184
p	p	0.974
s	z	0.144
w	-	0.164
ʃ	ɣ	0.354
ˈe	ˈe	0.234
ˈi	e	0.054
ˈo	ˈo	0.474
j	r_e	0.085
j	e	0.175
j	j	0.225
k	ɣ	0.145
l	ɖː	0.125
n	n_e	0.085
r	-	0.055
t	ð	0.195
ˈe	ˈi	0.405
ˈi	ˈi	0.865
e	e	0.206
f	f	0.946
j	-	0.236
n	n	0.666
r	r	0.676
w	ˈo	0.426
ʃ	s_k	0.06
ʃ	i_s	0.586
ˈe	r_e	0.246
ˈo	ˈu	0.526
d	-	0.057
e	i	0.297
k	b	0.107
l	r	0.267
s	s	0.777
t	t_u	0.207
t	t	0.367
v	-	0.307
w	l	0.347
ɡ	ɡ	0.447
ʒ	ɡ	0.537
d	k	0.088
e	o	0.08
j	ĕ	0.178
k	k	0.748
l	l_u	0.068
o	o	0.598
ˈɛ	ˈi	0.078
a	a	0.829
m	m	0.929
ʨ	-	0.079
ˈɛ	ˈa	0.299
ˈɛ	ˈe	0.579
