Zeelandic	Zeelandic	probability
ˈʊə̯_ɾ	ˈoːu̯_d	1.0
ˈɛː_ɾ	ˈɛɪ̯	1.0
ˈɒː	-	1.0
ˈæi̯	ˈeː	1.0
ˈæ_ɾ	r	1.0
ˈuːə̯	-	1.0
ˈoː	ˈoːu̯	1.0
ˈiːə̯	j	1.0
ʋ	v	1.0
ɫ_k	l_k	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ə_#>	#>	1.0
ŋ_k	x	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
x_#>	#>	1.0
w	-	1.0
v̥_#>	f_#>	1.0
v̥	x	1.0
v_ə	v_ə	1.0
t	t	1.0
s_x	s_k	1.0
p	p	1.0
m	m	1.0
l	l	1.0
iː	i	1.0
i	ə	1.0
d̥	d	1.0
d_ə	ə	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#	<#_h	1.0
#>	n_#>	1.0
ɾ	r	0.939
z	s	0.923
n	n	0.913
v	f	0.895
ə	ə	0.892
<#_d	<#_d	0.882
ˈøː	ˈuː	0.833
k	k	0.815
ˈʊə̯	ˈoː	0.765
ˈyː	ˈuː	0.75
s	s	0.714
ˈɪə̯	ˈeː	0.667
ˈu	ˈʊ	0.6
d	t	0.538
ˈɑu̯	ˈoː_l	0.5
ˈɑu̯	l	0.5
ˈuː	ˈɛɪ̯	0.5
ˈuː	ˈoːu̯	0.5
x	ɣ	0.484
d	d	0.462
ˈu	ˈoːu̯	0.4
x	x	0.387
ˈʏ	ˈʊ	0.375
ˈʏ	-	0.375
ˈɪ	ˈɪ	0.375
ˈiː	j_ˈoː	0.375
ˈi	ˈi	0.375
ˈɪə̯	ˈɛɪ̯	0.333
ˈeː	ˈeː	0.333
ˈeː	-	0.333
ˈɔ	ˈʊ	0.286
s	s_k	0.286
ˈɛː	ˈɔː	0.273
ˈʏ	ˈɔ	0.25
ˈæ	ˈɛ	0.25
ˈæ	ˈɔː	0.25
ˈi	ˈɪ	0.25
ˈi	ˈiː	0.25
ˈeː	ˈiː	0.222
ˈɑ	ˈoːu̯	0.211
ˈɪ	ˈɛː	0.188
ˈɪ	ˈiː	0.188
ˈiː	ˈɛɪ̯	0.188
ˈiː	-	0.188
ˈɛː	ˈiː	0.182
ˈøː	ˈœː	0.167
ˈæ	ˈɛː	0.167
ˈæ	ˈiː	0.167
ˈæ	-	0.167
ˈyː	-	0.167
ˈɑ	ˈɔː	0.158
ˈɑ	ˈaː	0.158
ˈɑ	ˈa	0.158
ˈɔ	ˈɔ	0.143
ˈɔ	ˈuː	0.143
ˈɔ	ˈoːu̯	0.143
ˈɛː	ˈɛɪ̯	0.136
ˈɛː	ˈoː	0.136
ˈɛː	-	0.136
ˈɪ	ˈi	0.125
ˈɪ	-	0.125
ˈiː	j_ˈuː	0.125
ˈiː	j	0.125
ˈi	-	0.125
ˈʊə̯	h	0.118
ˈʊə̯	-	0.118
<#_d	<#	0.118
ˈeː	ˈiːu̯	0.111
k	s	0.111
ˈɑ	ˈɛː	0.105
ˈɑ	ˈɔ	0.105
ˈɑ	-	0.105
v	ɣ	0.105
ˈɔ	ˈɛː	0.095
ˈɔ	r	0.095
ˈɔ	-	0.095
ˈɛː	ˈoːu̯	0.091
n	-	0.087
ˈyː	ˈøː	0.083
ə	j_ə	0.077
z	-	0.077
k	-	0.074
x	j	0.065
x	-	0.065
ɾ	-	0.061
