Pennsylvania German	Pennsylvania German	probability
ˈɛː_ɑ	ɾ	1.0
ˈɛ_s	ˈeː_t	1.0
ˈaʊ̯	ˈyː	1.0
ˈaɪ̯_ɑ	ˈiː_ɾ	1.0
ˈa_l	ˈɑu̯	1.0
ʦ	t	1.0
ʃ_#>	s_#>	1.0
ɣ	x	1.0
ɡ̊_#>	x_#>	1.0
ə_m	m	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
t	t	1.0
p	p	1.0
m	m	1.0
k_#>	x_ə_#>	1.0
k	k	1.0
j	j	1.0
h	ˈʊə̯	1.0
f_ˈɛ	v	1.0
f_ə	p_ə	1.0
eː	iː	1.0
d_ɑ	ɾ	1.0
b	b	1.0
<#_ˈɛ	<#_ˈɑ	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ʦ	<#_t	1.0
<#_ɾ	<#_ɾ	1.0
<#_ɡ	<#_x	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
l	ɫ	0.955
d̥	d̥	0.9
d	d	0.867
#>	ə_#>	0.862
ə	ə	0.833
ʋ	ʋ	0.821
ˈiː	ˈiː	0.818
n	n	0.811
ɾ	ɾ	0.81
b̥	v̥	0.75
f	v	0.692
ˈuː	ˈuː	0.667
ˈɛ	ˈæ	0.6
ˈɔ	ˈɔ	0.583
ʃ	s	0.583
ˈɛː	ˈɛː	0.571
ɑ	ə_ɾ	0.571
x	x	0.556
ç	k	0.545
ˈʊ	ˈɔ	0.529
ˈɪ	ˈɪ	0.52
ˈoː	ˈʊə̯	0.5
ˈoː	ˈɛː	0.5
ˈa	ˈɑ	0.5
ɪ	-	0.5
ˈaɪ̯	ˈi	0.444
s	z	0.439
ˈɛː	ˈæ	0.429
ˈɔ	-	0.417
ɑ	ɾ	0.357
s	t	0.341
ˈuː	ˈu	0.333
ɪ	ɪ	0.333
ˈeː	ˈɪə̯	0.304
ˈɔː	ˈʊə̯	0.294
ˈɔː	ˈɛː	0.294
ˈɔː	ˈɑ	0.294
ç	x	0.273
ˈaː	ˈʏ	0.25
ˈaː	ɾ_ə	0.25
ˈaː	ɾ	0.25
ˈaː	-	0.25
b̥	-	0.25
x	k_ə	0.222
x	k	0.222
ˈa	ˈɛː	0.208
ʃ	z	0.208
ʃ	s_x	0.208
ˈɪ	ˈi	0.2
ˈɪ	-	0.2
ˈɛ	ˈʏ	0.2
ˈɛ	ˈeː	0.2
f	p	0.192
n	n_d	0.189
ˈiː	ˈuː	0.182
ç	ŋ_k	0.182
ˈʊ	ˈøː	0.176
ˈʊ	ˈu	0.176
ˈeː	ˈæi̯	0.174
ˈeː	-	0.174
s	z̥	0.171
ˈaɪ̯	ˈɪ	0.167
ˈaɪ̯	ˈyː	0.167
ɪ	i	0.167
#>	k_#>	0.138
d	t	0.133
ˈeː	ˈɪə̯_n	0.13
ˈa	ˈɒː	0.125
ˈʊ	-	0.118
ˈɔː	ˈæ	0.118
f	v̥	0.115
ˈaɪ̯	ˈiː	0.111
ˈaɪ̯	-	0.111
ʋ	v	0.107
ə	ə_n	0.1
d̥	-	0.1
ɾ	ˈɔ	0.095
ɾ	ˈæ	0.095
ˈeː	ˈiː	0.087
ˈeː	n	0.087
ˈa	ˈɪ	0.083
ˈa	-	0.083
ˈɪ	ˈeː	0.08
ʋ	-	0.071
ɑ	ə	0.071
ə	n_ə	0.067
