Dalmatian	Sassarese	probability
<#	<#_ʤ	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_j_ˈa	<#_ˈɛ	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_w_ˈa	<#_ˈo	1.0
<#_ʧ	<#_ʦ	1.0
a_#>	a_#>	1.0
a_t	a_dː	1.0
d	d	1.0
e_d	i_d	1.0
f	β	1.0
j_#>	j_#>	1.0
j_ˈa_n	ˈɛ_n	1.0
k_#>	ʦ_i	1.0
k_l	ʧː	1.0
l_ˈa	j_ˈa	1.0
m_ˈe	m_ˈe	1.0
o_l	u_r	1.0
o_r	r	1.0
o_t	u_d	1.0
p_#>	p_u	1.0
p_t	tː	1.0
r_o	r	1.0
s	ʃː	1.0
s_t	ɬ_t	1.0
u	-	1.0
v	β	1.0
ŋ_#>	n_u	1.0
ŋ_k_#>	ŋ_k	1.0
ŋ_ɡ	ɲː	1.0
ɡ	ɡ	1.0
ʎ	ʎː	1.0
ʤ	-	1.0
ˈa_#>	ˈɛ_#>	1.0
ˈa_w_k	ˈɔ_ʦ	1.0
ˈe	ˈi	1.0
ˈi	ˈe	1.0
ˈo_j	ˈu	1.0
ˈu_k	ˈɔ_ɡː	1.0
ˈu_r	ˈa_r	1.0
ˈu_ŋ	ˈa_n	1.0
ˈɔ_s	z	1.0
m	m	0.571
r	-	0.071
r	r	0.571
ˈa	ˈe	0.1
ˈa	a	0.1
ˈa	ˈɛ	0.1
ˈu	ˈu	0.111
ˈu	a	0.111
<#_j	<#_ˈa	0.222
a	a	0.692
k	kː	0.2
k	ɡ	0.2
k	-	0.2
n	n	0.882
w_ˈa	ˈɔ	0.412
ˈa_w	ˈo	0.462
ˈo	ˈu	0.2
#>	u_#>	0.563
<#_s	<#_s	0.733
e	-	0.333
j	ˈu	0.333
j_ˈa	ˈɛ	0.533
k	ɡː	0.133
k	ʧː	0.133
k	xː	0.133
l	-	0.143
o	u	0.3
r	j	0.143
ˈa_j	ˈɛ	0.333
r_#>	ˈe_#>	0.214
w	ˈa	0.714
w_ˈa	ˈo	0.294
w_ˈa	ˈa	0.294
ŋ	n	0.4
ˈo	ˈɔ	0.4
ˈo	ˈo	0.4
i	-	0.25
i	i	0.75
l	lː	0.095
p	β	0.25
p	pː	0.375
p	bː	0.375
t	d	0.125
t	dː	0.25
w_ˈɔ	ˈɔ	0.25
w_ˈɔ	ˈa	0.75
ˈa	ˈa	0.15
ˈa	-	0.55
ˈu	ˈɔ	0.5
l	r	0.286
l	dː	0.286
w	-	0.286
ŋ	ŋ	0.6
<#_s	<#_i	0.267
e	i	0.667
j	ˈe	0.667
j_ˈa	ˈe	0.467
o	-	0.7
r	ɬ	0.107
r	rː	0.107
r_#>	ˈi_#>	0.357
t	tː	0.167
ˈa_j	ˈi	0.667
#>	i_#>	0.408
<#_j	<#	0.778
a	-	0.308
n	-	0.118
t	t	0.458
ˈa_w	ˈɔ	0.538
ˈu	ˈa	0.278
l	j	0.19
m	mː	0.429
r_#>	#>	0.429
