Luxembourgish	Faroese	probability
b	b̥	0.935
b	tʰ	0.064
d	d̥	0.386
d	tʰ	0.321
d	-	0.216
d	ʤ̊	0.044
d	v	0.042
e	ŋ	0.484
f	f	0.611
f	-	0.156
f	p	0.07
f	v	0.068
f	ʰp	0.061
h	h	0.925
h	-	0.075
j	ˈʊ	0.366
j	-	0.177
k	ɡ̊_ʊ	0.374
k	k	0.293
k	ʤ̊	0.169
k	ɡ̊	0.117
kʰ	kʰ	0.818
kʰ	ʧʰ	0.132
kʰ	-	0.048
l	l	0.677
l	l_ʊ	0.087
l	l̥	0.076
l	l̥_ʊ	0.037
l	ʎ	0.037
l_ə	l̥	1.0
m	m	0.632
m	m_ʊ	0.203
m	-	0.095
m	n	0.055
n	n	0.526
n	-	0.228
n	nː	0.141
n	n̥	0.077
n	m	0.029
n_t	nː	0.484
p	ʰp	0.366
p	tː	0.086
s	t	0.426
s	s	0.398
s	ʰt	0.137
s	sː	0.04
t	-	0.403
t	t	0.203
t	d̥_ʊ	0.107
t	d̥	0.077
t	w	0.062
v	v	0.452
v	-	0.378
v	kʰ_v	0.086
v	f	0.068
w	v	0.74
w	-	0.12
w	ˈʉːu̯	0.083
z	s	0.91
z	ʃ	0.09
ŋ	ŋ	0.68
ŋ	ʊ	0.224
ŋ	ɲ	0.079
ŋ_k	ʰkː	1.0
ɐ	ɹ	0.3
ɐ	ʊ_ɹ	0.233
ɐ	ɪ_ɹ	0.129
ɐ	-	0.075
ɐ	ɹ_ʊ	0.072
ɐ_t	ɹ	1.0
ɕ	ʰtː	0.32
ɕ	k	0.242
ɕ	-	0.114
ɕ	ŋ	0.101
ɕ	ʧ	0.101
ə	-	0.462
ə	ʊ	0.181
ə	v_ʊ	0.142
ə	ɪ	0.093
ə	ɛ	0.081
ə_f	v	0.484
ə_n	a	1.0
ɡ	ɡ̊	0.82
ɡ	ʤ̊	0.07
ɡ	ʧ	0.064
ɡ	-	0.034
ʀ	ɹ	0.822
ʀ	n̥	0.097
ʀ	-	0.047
ʀ	r	0.042
ʃ	s	0.544
ʃ	ʃ	0.228
ʃ	s_k	0.125
ʃ	-	0.049
ʃ	f	0.034
ʑ	ʤ̊	1.0
ʦ	tʰ	0.564
ʦ	ʈ	0.176
ʦ	t	0.133
ʦ	-	0.056
ʦ	ʧʰ	0.056
ˈaː	ˈɛːa̯	0.3
ˈaː	ˈa	0.169
ˈaː	ˈɔ	0.128
