Bellunese	Piedmontese	probability
θ_ˈe	s_ˈi	1.0
ˈo_r	ˈu_r	1.0
ˈi_r	e	1.0
ˈi	ˈi	1.0
ˈe_l	ˈɛ_j	1.0
ˈa_r	ˈe	1.0
ʤ	ʤ	1.0
ɡ_w	ɡ	1.0
w	w	1.0
v	v	1.0
u	y	1.0
s_ˈa	s_ˈa	1.0
s	s	1.0
r_θ	r_s	1.0
r_ˈa	r_ˈa	1.0
r_t	r_t	1.0
r_a	r_a	1.0
p	p	1.0
n_a	a	1.0
m	m	1.0
l_a	l_a	1.0
k_o	k_u	1.0
k	k	1.0
i	i	1.0
f	f	1.0
e_r	e	1.0
b	b	1.0
l	l	0.967
a	a	0.956
j	j	0.922
ˈa	ˈa	0.913
t	t	0.911
ˈu	ˈy	0.85
r	r	0.821
ŋ	ŋ	0.82
ˈɛ	ˈɛ	0.786
ˈɔ	ˈɔ	0.742
z	z	0.723
d	d	0.722
θ	s	0.685
e	-	0.683
ˈo	ˈu	0.64
n	n	0.624
ʧ	-	0.616
o	u	0.57
j_ˈe	ˈɛ	0.563
ð	z	0.548
ɲ	ɲ	0.5
ɲ	-	0.5
ð	ʤ	0.452
ɡ	ɡ	0.448
j_ˈe	ˈe	0.437
ʧ	ʧ	0.384
ˈe	ˈɛ	0.378
n	ŋ	0.376
ɡ	-	0.302
ˈe	ˈe	0.295
z	-	0.277
ɡ	k	0.251
ˈo	ˈø	0.238
θ	-	0.183
e	e	0.164
o	r	0.159
ˈu	-	0.15
ˈɔ	ˈø	0.149
ŋ	n	0.148
d	-	0.144
o	ˈø	0.141
ˈɛ	-	0.134
θ	ʧ	0.132
o	-	0.131
ˈo	ˈɔ	0.122
ˈɔ	-	0.109
e	ə	0.101
r	e	0.095
ˈe	j	0.094
t	-	0.089
ˈa	-	0.087
r	j	0.084
ˈɛ	ˈe	0.08
j	-	0.078
d	ˈu	0.068
d	dː	0.066
ˈe	ˈe_j	0.061
ˈe	ˈɛ_j	0.059
ˈe	ˈə	0.056
ˈe	-	0.056
e	r	0.051
