Friulian	Friulian	probability
ˈɔː	ˈo	1.0
ˈoː	ˈo	1.0
ˈiː_#>	ˈi_ɾ_#>	1.0
ˈi_n	ˈe_n	1.0
ˈeː_#>	ˈe_ɾ_#>	1.0
ˈeː	ˈe	1.0
ʤ	ʧ	1.0
ɟ	-	1.0
z_u	z	1.0
z_e	s_a	1.0
z	-	1.0
t_e	t_a	1.0
t_#>	#>	1.0
s_#>	θ_#>	1.0
r_ˈa	ɾ_ˈa	1.0
r_i	ɾ_o	1.0
r_b	ɾ_β	1.0
p_#>	p_o_#>	1.0
p	p	1.0
m	m	1.0
l_t	t	1.0
l_i	ʎ_o	1.0
i_#>	#>	1.0
e_r	e_ɾ	1.0
e_n	e_n	1.0
d_ˈu	t_ˈo	1.0
a_r	ɾ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_v	<#_w	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
c	k	0.913
n	n	0.897
l	l	0.897
ˈe	ˈe	0.895
<#_s	<#_s	0.889
ˈi	ˈi	0.885
<#_l	<#_l	0.882
ˈa	ˈa	0.881
e	a	0.877
b	b	0.857
ˈu	ˈu	0.846
ˈɛ	ˈe	0.833
f	f	0.821
k	k	0.8
#>	o_#>	0.745
a	a	0.722
<#_j	<#	0.714
v	b	0.704
o	o	0.667
t	t	0.658
ɡ	ɡ	0.636
r	ɾ	0.636
w	w	0.609
j	j	0.591
ˈiː	j_ˈe	0.571
l_#>	l_#>	0.571
ʧ	θ	0.556
ˈaː	ˈa_ɾ	0.519
ˈo	ˈo	0.516
ɲ	ɲ	0.5
ɲ	n	0.5
u	o	0.5
u	-	0.5
a_v	a_β	0.5
a_v	a	0.5
s	s	0.486
ˈaː	ˈa	0.481
ˈuː	ˈu	0.455
ʧ	-	0.444
d	d	0.44
ˈiː	ˈi	0.429
l_#>	ʎ_o_#>	0.429
d	ð	0.4
ˈɔ	w	0.364
ɡ	ɣ	0.364
i	e	0.346
ŋ	n	0.345
ŋ	n_o	0.31
<#_j	<#_ʝ	0.286
ŋ	ŋ	0.276
ˈɔ	ˈe	0.273
ˈuː	w_ˈe	0.273
ˈuː	w	0.273
i	ɾ	0.231
s	e_s	0.229
v	β	0.222
ˈo	ˈu	0.194
ˈɔ	ˈu	0.182
ˈɔ	ˈo	0.182
j	ʎ	0.182
w	ˈo	0.174
s	ʃ	0.171
ˈɛ	j_ˈe	0.167
o	u_s	0.167
o	u	0.167
a	i	0.167
d	-	0.16
ˈu	w	0.154
i	ˈe_ɾ	0.154
b	β	0.143
j	-	0.136
t	j_t	0.132
w	-	0.13
<#_l	<#	0.118
ˈi	ˈe	0.115
i	i	0.115
r	ɾ_o	0.114
a	ɾ	0.111
<#_s	<#	0.111
#>	a_#>	0.109
f	w	0.107
ˈe	ˈe_j	0.105
n	-	0.103
l	ʎ	0.103
k	ˈe_ɣ	0.1
k	ɡ	0.1
ˈo	w_ˈe	0.097
j	i	0.091
w	β_ɾ	0.087
c	-	0.087
t	ð_o	0.079
t	ð	0.079
i	ˈe	0.077
i	a	0.077
v	-	0.074
#>	s_#>	0.073
#>	b_ɾ_e_#>	0.073
ˈa	ˈe	0.071
f	β_o	0.071
ŋ	o	0.069
r	ɾ_n	0.068
r	r	0.068
r	e	0.068
ˈo	ˈe_β	0.065
ˈo	ˈe	0.065
ˈo	-	0.065
e	e	0.062
e	-	0.062
s	o	0.057
s	a_s	0.057
t	d_o	0.053
