East Franconian	Standard German	probability
β	b	1.0
ˈɛː	ˈɛː	1.0
ˈɘ	-	1.0
ˈɒː	ˈa	1.0
ˈoː_n	ˈoː_n	1.0
ˈoː	ˈaː	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ɣ	ɡ	1.0
ə	-	1.0
ɐ_n	ɐ_n	1.0
ɐ_d̥	ɐ_t	1.0
z̥_n	s_n	1.0
x	x	1.0
v̥	f	1.0
v	v	1.0
r	ʁ	1.0
l_n	l_ə	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
d̥_l	d_l	1.0
b̥͡v̥	p͡f	1.0
a	ə	0.951
ˈɒ	ˈa	0.931
ˈɛ	ˈɛ	0.897
ɐ	ɐ	0.897
m	m	0.882
ʃ	ʃ	0.877
n	n	0.869
ç	ç	0.827
ˈʊ	ˈʊ	0.821
ˈɔ	ˈɔ	0.794
ˈɪ	ˈɪ	0.779
b̥	b	0.723
ˈeː	ˈeː	0.708
ˈaɪ̯	ˈaɪ̯	0.667
ˈaː	ˈaɪ̯	0.63
ŋ	ŋ	0.584
ˈuː	ˈuː	0.582
ɾ	t	0.574
s	z	0.553
ɡ̊	k	0.526
ˈiː	ˈiː	0.506
z̥	z̥	0.482
ɾ	d	0.426
s	s	0.422
ɡ̊	ɡ	0.421
ˈuː	ˈoː	0.418
ŋ	ɡ_n	0.416
d̥	t	0.407
ɣ̊	ɡ̊	0.371
ˈaː	ˈaʊ̯	0.37
ɣ̊	x	0.354
ˈaɪ̯	ˈɔʏ̯	0.333
ˈeː	ˈøː	0.292
b̥	b̥	0.277
ɣ̊	ɡ	0.274
z̥	z_ə	0.273
z̥	s	0.244
d̥	tʰ	0.237
ˈɪ	ˈʏ	0.221
d̥	d	0.216
ˈiː	ˈyː	0.195
ˈʊ	ˈɔ	0.179
ç	ɡ̊	0.173
ˈiː	ˈɪ	0.143
d̥	d̥	0.14
ʃ	s	0.123
m	b_n	0.118
ˈɔ	ˈa	0.106
ˈiː	ˈeː_ə	0.106
ˈɛ	ˈœ	0.103
ɐ	ʁ_ə	0.103
ˈɔ	ˈʊ	0.1
n	ə	0.082
ˈɒ	-	0.069
ɡ̊	ç	0.052
ˈiː	ˈeː	0.05
