Proto-Slavic	Standard Croatian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ	d	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɨː	iː	1.0
ɨ	i	1.0
ɛː_̌	j_e	1.0
z	z	1.0
x	x	1.0
v_ŭ	u	1.0
v_a	ʋ_a	1.0
v	ʋ	1.0
ŭ_̌	a_̂	1.0
uː	uː	1.0
u	u	1.0
tʲ	ʨ	1.0
t	t	1.0
s	s	1.0
rʲ	r	1.0
p	p	1.0
o_l	l_aː	1.0
m_ĭ	a_m	1.0
m	m	1.0
l_ŭ	o	1.0
j	j	1.0
ĭː	r̩ː	1.0
ĭ_̌	a_̂	1.0
ĭ_̂_l	uː_̂	1.0
iː	iː	1.0
ẽː	eː	1.0
eː	eː	1.0
d_l	l	1.0
d_i	d	1.0
d	d	1.0
aː	aː	1.0
a_ˀ	a	1.0
a	a	1.0
̂	̂	0.925
k	k	0.92
n	n	0.919
ɡ	ɡ	0.908
b	b	0.905
o_̌	o_̂	0.868
i	i	0.831
ˀ	̂	0.818
e	e	0.764
l	l	0.658
ẽ	eː	0.649
ĭ	-	0.645
ŭ	-	0.63
õː	uː	0.58
ɛː	j_eː	0.541
r_ŭ	r	0.524
r	r	0.498
̌	̂	0.484
r_ŭ	a_r	0.476
o	o	0.472
oː	r_aː	0.408
oː	oː	0.355
ẽ	-	0.351
r	-	0.348
l	-	0.297
̌	-	0.29
õː	u	0.284
ɛː	j	0.281
o	oː	0.24
oː	aː	0.237
ŭ	a	0.227
ɛː	j_e	0.177
o	r_a	0.16
r	r̩_̂	0.154
ŭ	iː	0.143
ĭ	a	0.14
õː	uː_̌	0.137
e	-	0.134
ĭ	r̩ː	0.133
o_̌	o	0.132
̌	̌	0.129
i	iː_̌	0.114
e	eː	0.102
̌	e_̂	0.097
b	-	0.095
ɡ	-	0.092
ˀ	e_̂	0.091
ˀ	-	0.091
n	a_n	0.081
ĭ	u	0.081
k	-	0.08
̂	-	0.075
o	a	0.074
i	iː	0.055
o	o_̂	0.054
