Northern Low Saxon	Northern Low Saxon	probability
ˈʊ	ˈu	1.0
ˈɛː	ˈi	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈʏ	1.0
ˈyː	ˈɑi̯	1.0
ˈuː	ˈɑi̯	1.0
ˈeː_d	s	1.0
ˈeɪ̯	ˈa	1.0
ˈaʊ̯_d	ˈu_t	1.0
ˈaɪ̯_#>	#>	1.0
ʒ	j	1.0
ɪ	-	1.0
ɡ_#>	k_#>	1.0
ə	d_ɛ	1.0
z̥	s	1.0
v	v	1.0
tʰ	ʦ	1.0
r	r	1.0
pʰ	f	1.0
p	p	1.0
m_#>	n_#>	1.0
kʰ	k	1.0
k	k	1.0
i	ɪ	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d_r	t_r	1.0
d_n	s_a	1.0
d_#>	ʦ_#>	1.0
b_#>	f_#>	1.0
aɪ̯_n	ɑ	1.0
<#_r	<#_r	1.0
<#_d	<#_d	1.0
ʃ	ʃ	0.952
z	z	0.889
l	w	0.842
b	b	0.833
#>	r_#>	0.826
ˈiː	ˈai̯	0.818
x	x	0.75
ˈa	ˈɑ	0.737
ˈɛ	-	0.714
ˈɪ	ˈɘ̟	0.65
ç	ɡ̊	0.636
n	n	0.625
ˈøː	-	0.6
m	m	0.6
d	t	0.578
ˈɔ	-	0.571
ɐ	ɛ	0.567
t	t	0.556
ˈaʊ̯	ˈʏ	0.55
ˈʏ	ˈɘ̟	0.5
ˈɔʏ̯	ˈi	0.5
ˈaː	ˈi̯ø	0.5
ˈaː	-	0.5
ˈaɪ̯	ˈi	0.5
s	s	0.5
ɡ	ɡ	0.48
ŋ	ŋ	0.444
ˈɔ	ˈu	0.429
ˈøː	ˈei̯	0.4
ˈeː	ˈɑ	0.375
ˈeː	-	0.375
ˈoː	ˈø	0.368
ŋ	ŋ_ɡ̊	0.333
ɡ	x	0.32
ˈɛ	ˈa	0.286
ˈaɪ̯	ˈa	0.278
ɐ	r	0.267
ˈa	ˈɔ	0.263
ˈʏ	ˈu	0.25
ˈʏ	-	0.25
ˈɔʏ̯	ˈɑi̯	0.25
ˈɔʏ̯	-	0.25
ˈeː	ˈɔ	0.25
x	ɡ̊	0.25
s	ʃ	0.25
s	s_t	0.25
ŋ	n	0.222
t	ə_t	0.222
t	-	0.222
d	d̥	0.222
n	a	0.219
ˈoː	ˈɔ	0.211
ˈaʊ̯	ˈɑ	0.2
ˈiː	-	0.182
ç	x_t	0.182
ç	k	0.182
#>	a_#>	0.174
ɐ	-	0.167
b	f	0.167
ɡ	ç	0.16
m	m_a	0.16
m	a	0.16
l	l	0.158
d	s	0.156
ˈaʊ̯	ˈɑi̯	0.15
ˈaɪ̯	ˈɑ	0.111
ˈaɪ̯	ˈai̯	0.111
z	-	0.111
n	n_d	0.109
ˈoː	ˈɑ	0.105
ˈoː	ˈu	0.105
ˈoː	ˈi̯ø	0.105
ˈoː	-	0.105
ˈɪ	ˈɛ	0.1
ˈɪ	ˈei̯	0.1
ˈɪ	ˈa	0.1
ˈaʊ̯	ˈu	0.1
m	v_a	0.08
