Campidanese	Sicilian	probability
d	d	1.0
ĕ	-	1.0
f	f	1.0
p	p	1.0
sː	ɖː	1.0
w	w	1.0
ð	t	1.0
ŋ	ŋ	1.0
ɖː	ɖː	1.0
ɣ	k	1.0
ʃː	ʃː	1.0
ʒ	ɕ	1.0
ʣ	ɟː	1.0
ʤ	ɕ	1.0
ʧ	ɕ	1.0
ˈi	ˈi	1.0
i	ʊ	0.091
r	j_#>	0.051
t	tː	0.301
z	j	0.561
ɡ	-	0.141
ˈe	ˈa	0.051
ˈo	ˈɔ	0.671
n	nː	0.052
n	-	0.112
r	-	0.172
s	ʃ	0.192
t	ʈ	0.052
t	t	0.622
ˈo	ˈo	0.12
b	v	0.693
j	cː	0.393
l	l	0.993
m	m	0.913
o	-	0.203
rː	ɾ_n	0.483
z	-	0.253
ˈa	ˈa	0.933
ˈe	ˈɛ	0.623
ˈu	ˈu	0.953
e	-	0.064
i	ɪ	0.684
j	r_ɪ	0.254
r	r	0.134
b	-	0.065
b	b	0.195
j	-	0.305
k	kː	0.185
nː	nː	0.5
nː	n	0.5
r	ɾ	0.595
ˈe	ˈi	0.285
β	v	0.325
i	a	0.066
n	n	0.836
z	z	0.186
β	p	0.496
a	a	0.937
e	i	0.27
e	ɪ	0.617
k	k	0.797
m	mː	0.087
o	a	0.797
rː	ʐː	0.517
s	s	0.67
ˈa	ˈa_r	0.067
i	-	0.118
s	-	0.138
u	ʊ	0.938
ˈo	ˈu	0.128
ɡ	ɡ	0.859
β	-	0.179
