East Low German	Palatine German	probability
ˈʏ_ç	ˈɪ_ɡ̊	1.0
ˈɛː	ˈɛ	1.0
ˈœ	ˈɛ	1.0
ˈyː	ˈaɪ̯	1.0
ˈeː	ˈeː	1.0
ˈae̯_k	ˈeː_ʃ	1.0
ʃ	ʃ	1.0
ɾ	r	1.0
ɪ	ɪ	1.0
æ_t	ɐ_d̥	1.0
æ_n	r_ə	1.0
æ	ɐ	1.0
z	s	1.0
w	β	1.0
v	β	1.0
tʰ	ʣ̥	1.0
t_n	s_ə	1.0
r	r	1.0
n_#>	#>	1.0
l_f	l_b̥	1.0
l	l	1.0
kʰ_n	ɡ̊_n	1.0
kʰ	kʰ	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d_n	r_ə	1.0
d	d̥	1.0
b	b̥	1.0
ˈa	ˈɑ	0.88
ç	ʃ	0.846
ˈʊ	ˈu	0.786
ˈɪ	ˈɪ	0.769
ˈuː	ˈau̯	0.769
ɡ	ɡ̊	0.769
x	x	0.75
p	f	0.727
m	m	0.7
n	n	0.694
ŋ	ŋ	0.667
j	ɡ̊	0.667
ˈiː	ˈaɪ̯	0.647
s	s	0.625
ˈɔʏ̯	ˈiː	0.6
ˈɔ	ˈɔ	0.6
ˈoː	ˈoː	0.6
ˈɛ	ˈɛ	0.583
t	d̥	0.574
ˈɒː	ˈoː	0.571
ˈae̯	ˈiː	0.529
ˈœː	ˈɪ	0.5
ˈœː	ˈɛ	0.5
ˈae̯	ˈɛː	0.471
ˈʏ	ˈɪ	0.429
ˈaʊ̯	ˈuː	0.429
ˈɔʏ̯	ˈuː	0.4
ˈoː	ˈɑː	0.4
k	ɡ̊	0.4
ˈaː	ˈɛ_ɐ	0.333
ˈaː	ˈɑː_ɐ	0.333
ˈaː	ˈɑː	0.333
k	x	0.333
j	j	0.333
ˈʏ	ˈɛ	0.286
ˈʏ	ˈaɪ̯	0.286
t	s	0.277
p	b̥	0.273
k	ʃ	0.267
ˈɛ	ˈɛː	0.25
x	ɡ̊	0.25
s	ʃ	0.25
ˈaʊ̯	ˈɑː	0.238
ˈaʊ̯	ˈoː	0.238
ˈuː	ˈɔ	0.231
ɡ	x	0.231
n	ə	0.226
ˈʊ	ˈɔ	0.214
ˈɒː	ˈɑː	0.214
ˈɒː	ˈɑ	0.214
ˈɔ	ˈɑ	0.2
ˈɔ	ˈu	0.2
ŋ	n	0.2
ˈiː	ˈɛ	0.176
ˈiː	ˈiː	0.176
ˈɛ	ˈɪ	0.167
m	m_ə	0.167
ˈɪ	ˈaɪ̯	0.154
ç	ɡ̊	0.154
t	ʣ̥	0.149
ŋ	j_ə	0.133
m	β_ə	0.133
s	ɡ̊_s	0.125
ˈa	ˈɑː	0.12
ˈaʊ̯	ˈɑ	0.095
n	n_ə	0.081
ˈɪ	ˈiː	0.077
