Kajkavian	Standard Croatian	probability
ʧ_l	ʧ	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʃ	-	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ_r	r̩ː	1.0
ɔ	o	1.0
æ_ˈ	e_̌	1.0
æ_k	a_k	1.0
z	z	1.0
w	-	1.0
v	ʋ	1.0
uː	uː	1.0
u	u	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o_w	oː_̂	1.0
n	n	1.0
m	m	1.0
kː	k	1.0
k	k	1.0
iː	iː	1.0
i	i	1.0
h	x	1.0
d	d	1.0
b	b	1.0
aː	aː	1.0
a	a	1.0
u̯o	o	0.903
ɒ	a	0.818
ʧ	-	0.8
l	l	0.795
ˈ	̂	0.677
j	-	0.646
e	e	0.544
e	j_eː	0.456
æ	e	0.455
o	uː	0.371
j	j	0.354
o	uː_̂	0.345
æ	a	0.341
ˈ	̌	0.323
o	-	0.284
l	o	0.205
æ	eː	0.204
ʧ	ʨ	0.2
ɒ	-	0.182
u̯o	oː	0.097
