Slovak	Slovak	probability
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʒ̊	ʐ̊	1.0
ʎ	l	1.0
ʊ̯ɔ	ɔ	1.0
ɪ̯a	ɛ	1.0
ɡ̊	ɡʲ	1.0
ɟ̊	ʨ	1.0
ɟ	ʑ	1.0
ɛ_r	ɔ_r	1.0
æ	ɪ	1.0
z̥	z̥	1.0
z	z	1.0
x_#>	ɡ̊_#>	1.0
v	v	1.0
uː	u	1.0
u	u	1.0
s	s	1.0
r̩ː	a_r	1.0
r_a	r_ɔ	1.0
l̩	w_u	1.0
k_a	k_a	1.0
j	j	1.0
e	ɛ	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
aː_ʋ	a_v	1.0
a_ʋ	ɔ_v	1.0
<#_ɔ	<#_v_ɛ	1.0
<#_f	<#	1.0
c	ɕ	0.905
t	t	0.9
n	n	0.875
k	k	0.875
a	a	0.86
ɲ	ɲ	0.857
b	b	0.833
ɦ	ɡ	0.824
ʒ	ʐ	0.8
iː	ɨ	0.8
ɫ	w	0.778
x	x	0.727
i	ɨ	0.682
ɔ	ɔ	0.638
ɪ̯ɛ	ɪ	0.636
m	m	0.619
r̩	r	0.6
l	l	0.583
ɫ̩	ɔ_w	0.5
ɫ̩	w	0.5
r	r	0.5
p	pʲ	0.5
p	p	0.5
aː	a	0.5
aː	-	0.5
ʋ	vʲ	0.435
l	w	0.417
r̩	-	0.4
m	mʲ	0.381
ɪ̯ɛ	-	0.364
ʋ	v	0.348
r	rʲ	0.346
i	i	0.318
x	k	0.273
ɛ	e	0.267
ɔ	ɛ	0.255
ɫ	-	0.222
ɛ	ɛ	0.222
ʒ	ʒ	0.2
iː	i	0.2
ɦ	-	0.176
b	bʲ	0.167
ɛ	ɪ	0.156
ɛ	a	0.156
ɲ	nʲ	0.143
ʋ	vʲ_e	0.13
n	-	0.125
k	kʲ	0.125
ɛ	ɔ	0.111
ɔ	-	0.106
t	-	0.1
c	ʨ	0.095
a	ɔ	0.093
ʋ	-	0.087
r	ʂ	0.077
r	ɕ	0.077
