Bellunese	Gascon	probability
ˈɛ_r	ˈɛ_r	1.0
ˈo_l	ˈo	1.0
ˈi	ˈi	1.0
ˈe	ˈe	1.0
ʤ	ɡ_l	1.0
ɲ	ɲ	1.0
ɡ_o	k	1.0
v_o	w	1.0
u	y	1.0
t_e	mː	1.0
r_ˈa	r_ˈa	1.0
r_e	j_r	1.0
p	p	1.0
o_l	u	1.0
l_a	ɾ_ɔ	1.0
k_a	k_a	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
f	h	1.0
e_r	e	1.0
ˈa	ˈa	0.958
b	b	0.883
ɡ	ɣ	0.872
θ	s	0.87
t	t	0.865
ˈu	ˈy	0.826
s	s	0.802
m	m	0.766
j	l	0.758
z	z	0.745
ŋ	ŋ	0.709
ʧ	ʎ	0.697
n	n	0.688
ˈo	ˈu	0.663
r	ɾ	0.655
a	ɔ	0.654
e	-	0.609
l	l	0.598
ð	ʒ	0.568
i	i	0.543
ˈɛ	ˈɛ	0.525
ˈɔ	ˈɔ	0.514
r_o	e	0.512
w	-	0.51
o	u	0.496
w	w	0.49
r_o	w_r	0.488
d	ð	0.46
v	β	0.448
d	d	0.438
ð	-	0.432
v	b	0.419
e	e	0.391
ˈɛ	ˈe	0.325
n	-	0.312
a	a	0.308
ʧ	k_l	0.303
j	ʎ	0.242
o	e	0.239
m	-	0.234
i	e	0.234
l	w	0.23
i	-	0.222
s	ʃ	0.198
z	-	0.178
ˈu	ˈu	0.174
l	-	0.172
ˈɔ	ˈa	0.169
ˈɔ	w_ˈe	0.164
r	r	0.156
ˈɛ	j_ˈe	0.15
o	w	0.15
ŋ	n	0.138
θ	t	0.13
ɡ	ʤ	0.128
r	e	0.127
b	β	0.117
o	-	0.115
d	-	0.102
ˈo	ˈy	0.099
ˈo	ˈɔ	0.085
ŋ	m	0.078
ˈɔ	ˈu	0.077
z	lː	0.077
v	w	0.077
ˈɔ	w	0.076
ŋ	ɲ	0.076
ˈo	ˈe	0.072
t	-	0.071
t	j_t	0.064
r	-	0.061
v	-	0.055
