Eastern Lombard	Romansch	probability
p	p	1.0
ø	-	1.0
ʋ	v	1.0
e	j	0.071
j	-	0.301
w	-	0.351
ɡ	ʥ	0.091
ʧ	ʎ	0.831
ˈu	ˈuː	0.511
ˈø	ˈɔː	0.11
ˈɔ	ˈu	0.231
ˈɛ	v_ˈɛ	0.091
i	i	0.492
k	k	0.382
k	ʨ	0.542
n	n	0.982
t	ʨ	0.082
ɡ	-	0.322
ʤ	ʎ	0.22
ˈu	ˈu_n	0.282
ˈɛ	ˈe	0.112
d	d	0.853
e	-	0.093
f	f_j	0.093
j	l	0.533
o	o	0.293
ɲ	ɲ	0.933
ˈo	ˈu	0.673
ˈy	ˈi	0.183
ˈy	-	0.233
ˈɛ	ˈa	0.163
l	l	0.924
z	ʃ	0.944
ʤ	ɡ	0.554
ˈy	ˈiː	0.584
e	e	0.105
e	ə	0.65
j	ʎ	0.165
o	ə	0.05
s	ʧ	0.185
ŋ	ŋ	0.445
ŋ	n	0.555
ˈa	ˈaː_r	0.15
ˈa	ˈa	0.315
ˈe	ˈeː	0.095
ˈe	ˈa_j	0.35
ˈi	ˈiː	0.55
ˈø	ˈɛ	0.165
ˈɛ	ˈa_j	0.065
b	-	0.056
b	v	0.126
k	-	0.076
o	u	0.56
r	r	0.986
s	s	0.466
t	d	0.096
ʤ	ʃ	0.226
ˈa	ˈa_w	0.096
ˈa	ˈɔ	0.206
ˈi	ˈi_n	0.166
ˈo	ˈɔː	0.066
ˈø	ˈi	0.166
ˈɔ	ˈo	0.156
ˈɔ	ˈɔː	0.416
ˈɛ	ˈɛː	0.126
a	-	0.077
a	ə	0.797
d	-	0.147
o	w	0.097
s	ʃ	0.317
ɡ	ɡ	0.587
ɲ	n	0.067
ˈo	ˈuː	0.067
ˈu	ˈu	0.207
ˈø	ˈɔ	0.17
b	b	0.818
i	e	0.508
m	m	0.978
ˈa	ˈaː	0.168
ˈe	ˈiː	0.168
ˈɔ	ˈɔ	0.198
ˈɛ	ˈɛ	0.358
f	f	0.89
t	t	0.779
w	w	0.649
ʧ	ʨ	0.169
ˈe	ˈɛ	0.309
ˈi	ˈa_j	0.19
ˈo	ˈa_w	0.19
ˈø	ˈu	0.389
