Proto-Slavic	Slovak	probability
a	a	1.0
aˀ	ˈa	1.0
ǎ	a	1.0
b	b	1.0
ẽ	ˈa	1.0
ẽ̂ː	ˈæ	1.0
ě	ˈɛ	1.0
i	ˈi	1.0
ĭ	-	1.0
ĭ̂	-	1.0
ĭ̌	ˈɛ	1.0
ǐ	-	1.0
j	-	1.0
m	m	1.0
ô	ˈɔ	1.0
ôː	ˈɔ	1.0
p	p	1.0
s	s	1.0
ûː	ˈu	1.0
ŭ̂	-	1.0
x	x	1.0
z	z	1.0
ɛ	-	1.0
ɛˀ	ɪ̯ˈɛ	1.0
ɛ̂ː	ˈɛ	1.0
ɛ̌	ɛ	1.0
ɡ	ɦ	1.0
ɨ̌	ˈi	1.0
ʧ	ʧ	1.0
d	ˈa_d	0.051
e	-	0.1
ê	ˈa	0.492
ǒ	ˈɔ	0.582
ŭ	i	0.392
ʒ	ʒ	0.572
d	ɟ	0.323
k	k	0.93
l	ɫ	0.293
n	ɲ	0.143
t	-	0.243
o	ˈɔ	0.334
ǒ	ɔ	0.284
t	t	0.54
ŭ	-	0.264
ŭ	iː	0.344
v	ʋ	0.824
l	l	0.505
ǒ	ʊ̯ˈɔ	0.135
r	r	0.755
ɛː	ɛ	0.235
ɛː	ɪ̯ˈɛ	0.765
o	ɔ	0.666
d	d	0.627
e	ˈɛ	0.7
k	-	0.07
n	n	0.857
r	ˈr̩	0.177
t	c	0.217
e	ɛ	0.188
ê	ˈɛ	0.508
r	r_ˈa	0.068
v	v	0.158
ʒ	ʃ	0.428
l	ʎ	0.159
