Ripuarian	Yiddish	probability
b	b	1.0
d	t	0.603
d	d	0.397
d̥	t	0.535
d̥	ʀ_d	0.293
d̥	d	0.127
e	-	1.0
f	f	1.0
h	h	0.956
j	ɡ	0.886
j	j	0.063
j	-	0.052
k	k	0.89
k	-	0.052
k	χ	0.05
l	l	0.966
m	m	0.971
n	n	0.982
p	f	0.552
p	p	0.448
s	s	0.633
s	z	0.341
t	t	0.772
t	d	0.167
t	s	0.061
v	b	0.905
v	v	0.095
v̥	b	1.0
x	χ	0.776
x	ɡ	0.224
z	z	0.912
z	ʃ	0.088
ŋ	n	0.564
ŋ	ŋ	0.339
ŋ	ɡ	0.061
ɐ	ə	0.535
ɐ	ʀ	0.371
ɐ	ɛ	0.072
ɕ	χ	0.694
ɕ	ɡ	0.188
ɕ	k	0.118
ə	n	0.618
ə	ə	0.214
ə	-	0.123
ɡ̊	t	0.413
ɡ̊	ɡ	0.282
ɡ̊	d	0.153
ɡ̊	-	0.151
ɣ	ɡ	1.0
ɪ	ɪ	0.889
ɪ	-	0.111
ʀ	ʀ	1.0
ʃ	ʃ	0.977
ʋ	v	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.799
ˈa	ˈɔ	0.135
ˈa	ˈɪ	0.051
ˈaʊ̯	ˈɔɪ̯	0.954
ˈaː	ˈɔ	0.567
ˈaː	ˈa	0.433
ˈe	ˈɪ	0.864
ˈe	ˈaɪ̯	0.119
ˈeɪ̯	ˈɛɪ̯	0.646
ˈeɪ̯	ˈaɪ̯	0.327
ˈeː	ˈɪ	0.371
ˈeː	ˈɛɪ̯	0.329
ˈeː	ˈɛ	0.252
ˈiː	ˈaɪ̯	0.44
ˈiː	ˈɪ	0.308
ˈiː	ˈɛ	0.149
ˈiː	ˈɛɪ̯	0.103
ˈo	ˈʊ	0.85
ˈo	ˈɔ	0.127
ˈoʊ̯	ˈɔɪ̯	1.0
ˈoː	ˈʊ	0.413
ˈoː	ˈɔ	0.289
ˈoː	ˈɔɪ̯	0.203
ˈoː	ˈɛɪ̯	0.095
ˈu	ˈʊ	0.689
ˈu	ˈɔ	0.311
ˈuː	ˈɔɪ̯	1.0
ˈyː	ˈaɪ̯	0.364
ˈyː	ˈa	0.184
ˈyː	ˈɪ	0.14
ˈyː	ˈɛɪ̯	0.138
ˈyː	ˈɛ	0.138
ˈøʏ̯	ˈaɪ̯	1.0
ˈøː	ˈɪ	0.426
ˈøː	ˈɔɪ̯	0.348
ˈøː	ˈaɪ̯	0.125
ˈøː	ˈʊ	0.102
ˈœ	ˈɪ	0.687
ˈœ	ˈɛ	0.17
ˈœ	ˈaɪ̯	0.143
ˈɔ	ˈɔ	0.545
ˈɔ	ˈɔɪ̯	0.254
ˈɔ	ˈʊ	0.201
ˈɛ	ˈɛ	0.648
ˈɛ	ˈa	0.171
ˈɛ	ˈɪ	0.072
ˈɛ	ˈaɪ̯	0.055
ˈɛ	ˈɛɪ̯	0.054
ˈɛː	ˈɛ	0.679
ˈɛː	ˈɔ	0.176
ˈɛː	ˈa	0.145
ˈɪ	ˈɪ	0.913
ˈɪ	ˈɛ	0.063
ˈʊ	ˈʊ	0.886
ˈʊ	ˈɔ	0.114
ˈʏ	ˈaɪ̯	0.359
ˈʏ	ˈɛ	0.338
ˈʏ	ˈɪ	0.303
