Ripuarian	Yiddish	probability
b	b	1.0
d	t	0.597
d	d	0.4
f	f	0.946
f	b	0.052
h	h	0.95
h	k	0.06
j	ɡ	0.748
j	j	0.179
j	-	0.07
k	k	0.622
k	t	0.18
k	ɡ	0.063
k	d	0.048
k	-	0.042
l	l	0.97
m	m	0.955
m	n	0.052
n	n	0.956
p	p	0.78
p	f	0.219
s	s	0.627
s	z	0.364
t	t	0.77
t	d	0.138
t	s	0.048
t	-	0.045
v	b	0.605
v	v	0.381
x	χ_t	0.384
x	χ	0.354
x	ɡ	0.247
z	z	0.833
z	ʃ_v	0.162
ŋ	ŋ	0.464
ŋ	n	0.434
ŋ	ɡ	0.073
ŋ	m	0.048
ɐ	ə	0.626
ɐ	ʀ	0.293
ɐ	ɛ	0.074
ɕ	χ	0.565
ɕ	k	0.226
ɕ	ɡ	0.185
ə	n	0.571
ə	ə	0.26
ə	-	0.075
ə	ɪ	0.052
ə	ɛ	0.04
ə_f	f	1.0
ɣ	ɡ	1.0
ɪ	ɪ	1.0
ʀ	ʀ	0.955
ʀ	ʁ	0.051
ʃ	ʃ	0.907
ʃ	ʧ	0.089
ʋ	v	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.747
ˈa	ˈɔ	0.173
ˈa	ˈɪ	0.058
ˈa	ˈɛ	0.044
ˈaʊ̯	ˈɔɪ̯	0.833
ˈaʊ̯	ˈɔ	0.12
ˈaː	ˈɔ	0.551
ˈaː	ˈa	0.424
ˈe	ˈɪ	0.901
ˈe	ˈɛ	0.097
ˈeɪ̯	ˈɪ	0.349
ˈeɪ̯	ˈaɪ̯	0.317
ˈeɪ̯	ˈɛɪ̯	0.136
ˈeː	ˈɪ	0.399
ˈeː	ˈɛɪ̯	0.385
ˈeː	ˈɛ	0.15
ˈeː	ˈaɪ̯	0.066
ˈiː	ˈaɪ̯	0.457
ˈiː	ˈɪ	0.359
ˈiː	ˈɛ	0.107
ˈiː	ˈɛɪ̯	0.073
ˈo	ˈʊ	0.768
ˈo	ˈɔ	0.137
ˈoː	ˈʊ	0.477
ˈoː	ˈɔ	0.253
ˈoː	ˈɔɪ̯	0.136
ˈoː	ˈɔ_ʀ	0.122
ˈu	ˈɔɪ̯	0.292
ˈu	ˈɔ	0.175
ˈu	ˈʊ	0.152
ˈuː	ˈɔɪ̯	1.0
ˈyː	ˈaɪ̯	0.243
ˈyː	ˈʊ	0.2
ˈyː	ˈɛɪ̯	0.2
ˈyː	ˈɛ	0.127
ˈøː	ˈɪ	0.719
ˈøː	ˈɔɪ̯	0.202
ˈøː	ˈaɪ̯	0.072
ˈœ	ˈɪ	0.437
ˈœ	ˈɛ	0.403
ˈœ	ˈaɪ̯	0.139
ˈɔ	ˈɔ	0.606
ˈɔ	ˈɔɪ̯	0.229
ˈɔ	ˈʊ	0.156
ˈɔʏ̯	ˈaɪ̯	0.271
ˈɛ	ˈɛ	0.59
ˈɛ	ˈa_ʀ	0.135
ˈɛ	ˈɪ	0.077
ˈɛ	ˈɛɪ̯	0.068
ˈɛ	ˈaɪ̯	0.066
ˈɛː	ˈɛ	0.41
ˈɛː	ˈɛ_ʀ	0.241
ˈɛː	ˈɔ	0.165
ˈɛː	ˈa	0.165
ˈɪ	ˈɪ	0.811
ˈɪ	ˈaɪ̯	0.1
ˈɪ	ˈɛ	0.079
ˈʊ	ˈʊ	0.574
ˈʊ	ˈɔ	0.299
ˈʏ	ˈɪ	0.291
ˈʏ	ˈɛ	0.291
ˈʏ	ˈaɪ̯	0.264
ˈʏ	ˈi	0.053
