Western Lombard	Western Lombard	probability
ˈɔ_l	ˈa	1.0
ˈỹ	ˈu_n	1.0
ˈy	ˈu	1.0
ˈoː	ˈo	1.0
ˈĩ	ˈi_n	1.0
ˈiː	ˈi	1.0
ˈẽ	ˈe_n	1.0
ˈe	ˈe	1.0
ɛ	-	1.0
z_u	z	1.0
z	-	1.0
y	o	1.0
w	w	1.0
s_k	s_k	1.0
r_n	ɾ_n	1.0
r_#>	#>	1.0
p	p	1.0
o	-	1.0
m	m	1.0
l_#>	ʎ_o_#>	1.0
ĩ	i	1.0
ẽ	β_e	1.0
d_e	j	1.0
<#_ˈœ	<#_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
ˈɑː	ˈa	0.929
l	l	0.917
a	a	0.886
<#_l	<#_l	0.867
n	n	0.857
k	k	0.822
f	f	0.821
ˈeː	ˈe	0.8
ɡ	ɣ	0.8
r	ɾ	0.787
ˈyː	ˈu	0.786
ˈuː	ˈo	0.778
ˈɔ	w_ˈe	0.769
ɲ	ɲ	0.75
t	t	0.725
e	e	0.722
e_r	ɾ_o	0.714
ˈu	ˈo	0.692
ʒ	ʧ	0.625
v	b	0.625
#>	o_#>	0.61
ˈã	ˈa_n	0.583
ˈũ	ˈo_n	0.571
i	-	0.571
ˈa	ˈa	0.565
ˈøː	w_ˈe	0.5
ʤ	ʧ	0.5
ʤ	-	0.5
j	l	0.474
ʧ	ʎ_o	0.455
u	o	0.444
ˈɛ	ˈe	0.44
ˈɛ	j_ˈe	0.44
ˈa	ˈa_ɾ	0.435
d	d	0.435
ˈũ	ˈe_n	0.429
i	e	0.429
ʒ	-	0.375
ˈi	ˈi_ɾ	0.357
ˈi	ˈi	0.357
b	b	0.353
d	ð	0.348
u	u	0.333
j	ʎ	0.316
b	β	0.294
v	β	0.292
e_r	ɾ_e	0.286
s	s	0.282
s	θ	0.256
ˈøː	w	0.25
ˈøː	-	0.25
ˈã	ˈa	0.25
ɲ	-	0.25
b	b_w	0.235
ˈɔ	ˈo	0.231
ˈuː	-	0.222
u	-	0.222
d	-	0.217
ˈyː	ˈo	0.214
j	-	0.211
ˈeː	j_ˈe	0.2
ɡ	ɡ	0.2
ʧ	ɾ	0.182
ʧ	k_l	0.182
ʧ	j_t	0.182
s	e_s	0.179
ˈã	ˈa_ŋ	0.167
e	-	0.167
ˈu	ˈu	0.154
ˈu	-	0.154
ˈi	ˈe	0.143
ˈi	-	0.143
n	-	0.143
<#_l	<#	0.133
#>	e_#>	0.13
r	ɾ_o	0.128
t	ð	0.125
ˈɛ	ʝ_ˈe	0.12
b	b_j	0.118
e	ɾ	0.111
f	w	0.107
s	-	0.103
#>	ɾ_#>	0.091
v	β_j	0.083
l	o	0.083
#>	a_#>	0.078
s	ʃ	0.077
ˈɑː	-	0.071
f	o	0.071
k	ˈe_ɣ	0.067
k	ɡ	0.067
s	ʝ_o	0.051
s	j_ʃ	0.051
