Québécois French	Campidanese	probability
aœ̯	ˈo	1.0
o	ˈo	1.0
z	ʒ	1.0
œ̃ʏ̯̃	ˈu	1.0
ɛɪ̯	ˈe	1.0
ɲ	n	1.0
ʊ	ˈu	1.0
e	r_i	0.121
i	ˈe	0.11
i	i	0.191
k	k	0.771
s	-	0.071
v	β	0.111
ɑ	ˈa	0.71
ɥ	ˈu	0.121
ʁ	e_r	0.11
ʃ	k	0.881
a	ˈe	0.052
ã	ˈa	0.212
b	-	0.112
e	u	0.082
e	a	0.112
e	i	0.42
s	sː	0.082
v	b	0.692
æɛ̯	i	0.052
ɛ	e	0.092
ɛ	i	0.162
ɥ	ˈi	0.082
ɥ	ʦ	0.172
ã	u	0.053
b	b	0.863
d	-	0.23
ẽɪ̯̃	n	0.143
f	β	0.083
i	t_u	0.123
l	ɖː	0.093
l	l	0.63
n	nː	0.123
s	ʧ	0.153
s	s	0.573
u	u	0.383
ʏ	ˈi	0.063
ʣ	n	0.103
d	ʤ	0.054
p	b	0.064
w	ˈo	0.054
w	-	0.454
æɛ̯	ˈe	0.204
æɛ̯	ˈa	0.504
øʏ̯	u	0.444
œ	ˈo	0.204
œ	ˈe	0.264
ɑɔ̯	o	0.214
ɛ	ʒ_i	0.084
ɥ	ˈo	0.54
ʃ	-	0.104
ʒ	d	0.404
ʦ	t	0.794
ã	ŋ	0.105
ã	ˈe	0.345
d	d	0.665
ẽɪ̯̃	ɲː	0.105
i	j	0.125
n	n	0.865
oʊ̯	ˈe	0.545
t	ʃː	0.105
t	s_t	0.255
øʏ̯	ˈo	0.065
øʏ̯	ɣ_u	0.295
ɒ̃ʊ̯̃	ˈo	0.785
ɡ	b	0.165
ɡ	ɡ	0.645
ɥ	-	0.085
ʁ	rː	0.065
ẽɪ̯̃	ˈa_n	0.366
k	s_k	0.16
oʊ̯	ˈa	0.396
p	p	0.936
t	t	0.596
u	ˈu	0.246
v	-	0.156
y	ˈu	0.976
æɛ̯	-	0.056
øʏ̯	o	0.196
ɑɔ̯	ˈo	0.786
ɔ	o	0.16
ɔ	ˈo	0.706
ɪ	ˈe	0.066
ɪ	-	0.196
ʦ	ʧ	0.206
ã	a	0.287
f	f	0.917
i	ˈi	0.287
w	ˈe	0.387
ɒ̃ʊ̯̃	i	0.097
ʁ	-	0.057
ʁ	r	0.717
ʏ	ˈu	0.937
ʒ	ʤ	0.07
ʒ	b	0.317
ʣ	d	0.897
a	ˈa	0.258
a	a	0.558
e	ˈa_i	0.08
ẽɪ̯̃	ŋ	0.058
i	u	0.118
m	m	0.948
w	ˈu	0.068
æɛ̯	ˈi	0.138
œ	i	0.078
ɒ̃ʊ̯̃	ŋ	0.118
ɪ	ˈi	0.738
ʒ	ɣ	0.148
a	w	0.059
e	ð_a	0.069
ẽɪ̯̃	ˈi_n	0.239
j	ˈo	0.069
j	ʣ	0.179
j	j	0.249
j	ˈe	0.419
l	-	0.059
l	r	0.129
oʊ̯	u	0.059
u	ˈi	0.069
u	ˈo	0.279
œ	j	0.089
œ	e	0.259
ɑ	a	0.29
ɔ	ˈu	0.09
ɛ	-	0.139
ɛ	ˈi	0.359
ɡ	ɣ	0.19
