Afrikaans	Elfdalian	probability
χ_t	tː	1.0
ˈʊə̯_r	ˈʉə̯	1.0
ˈɪø̯	-	1.0
ˈɔː	-	1.0
ˈœu̯	ˈo_l	1.0
ˈæː	-	1.0
ˈyː	ˈʏː	1.0
ˈoː	ˈoː	1.0
ˈa_ɫ	ˈɔː	1.0
ɦ_ˈʊə̯	ˈoː	1.0
ɦ	-	1.0
ə_ŋ	nː	1.0
ŋ_k	kː	1.0
ŋ	ŋ_ɡ	1.0
w	ˈʉ̃ːə̯	1.0
v_ˈɪə̯	w	1.0
t_v	tʰ	1.0
s_ɫ	l̥	1.0
s	s	1.0
n_s	sː	1.0
n_d̥	nː	1.0
b	b	1.0
r	r	0.962
d̥	ð	0.876
m	m	0.856
v	w	0.823
p	p	0.823
ˈœɪ̯	ˈɑːu̯	0.757
n	n	0.754
t	t	0.752
ˈə	ˈɪ	0.73
v̥	f	0.691
ˈɔ	ˈʉ	0.66
ɫ	ɽ	0.642
ˈu	ˈʉːə̯	0.629
ˈɛ	ˈɛ	0.624
ˈœ	ˈʏ	0.584
d	d	0.563
ˈæ	-	0.533
j	-	0.531
ˈʊə̯	ˈœː	0.521
ˈa	ˈɑ	0.509
χ	ɣ	0.504
ˈɪə̯	-	0.481
j	ð	0.469
ˈæ	ˈɛ	0.467
k	k	0.457
ˈi	j_ˈʉːə̯	0.448
ə	ɛ	0.447
ˈœ	ˈʉ	0.416
ˈəɪ̯	ˈɑːi̯	0.397
ˈɛ	-	0.376
ˈɑː	-	0.374
ə	-	0.373
ˈu	ˈyːœ̯	0.371
d	tʰ	0.352
ˈəɪ̯	ˈɪː	0.333
k	ʨ	0.329
v̥	v	0.309
ˈɑː	ˈɔː	0.285
ˈɪə̯	ˈiːe̯	0.28
ˈəɪ̯	ˈiːe̯	0.271
ˈi	j	0.254
ˈœɪ̯	ˈʉː	0.243
ˈɔ	ˈʉə̯	0.209
ˈʊə̯	ˈæː	0.202
ˈɑː	ˈɑː	0.186
v	-	0.177
p	pʰ	0.177
ˈa	ˈɑː	0.172
ˈa	-	0.158
t	tː	0.157
ˈɑː	ˈɑ	0.155
n	nː	0.155
χ	ɡː	0.151
ɫ	lː	0.147
χ	ʥ	0.144
m	mː	0.144
ˈɪə̯	ˈɛ	0.143
ə	n	0.142
ˈʊə̯	ˈʉː	0.139
ˈʊə̯	ˈɔː	0.139
ˈi	ˈɪː	0.133
ˈɔ	-	0.131
d̥	d	0.124
ˈə	j	0.123
ˈə	-	0.12
k	k_ʉ	0.11
k	kː	0.105
ˈɪə̯	ˈɪː	0.096
ɫ	ɣ_ɛ	0.094
n	-	0.091
t	-	0.09
ˈa	ˈɔ̃ː	0.085
d	-	0.085
ˈi	ˈʉːə̯	0.083
ˈi	-	0.081
χ	k_t	0.08
χ	-	0.077
ˈa	ˈæ	0.076
ɫ	-	0.072
