Danish	East Low German	probability
d̥	d	1.0
i	ɪ	1.0
m	m	1.0
p	p	1.0
pʰ	pʰ	1.0
wˀ	m	1.0
ŋˀ	ŋ	1.0
ʌ	æ	1.0
ʨ	d	1.0
ˈaː	ˈɒː	1.0
ˈæˀ	ˈa	1.0
ˈæː	ˈaː	1.0
ˈœː	ˈɛ	1.0
ˈɒː	ˈɒː	1.0
ˈɔː	ˈɒː	1.0
ˈɶˀ	ˈɔʏ̯	1.0
ˈʌˀ	ˈaʊ̯	1.0
e	n	0.671
lˀ	l	0.931
s	ʃ	0.361
ɡ̊	ɡ	0.401
ˈa	ˈaː	0.161
ˈe	ˈuː	0.051
ˈeː	ˈa	0.341
ˈiː	ˈae̯	0.061
ˈiː	ˈɛː	0.091
ˈoˀ	ˈaʊ̯	0.61
ˈoː	ˈuː	0.201
ˈuˀ	ˈɒː	0.071
ˈy	ˈyː	0.501
ˈyˀ	ˈae̯	0.321
ˈɑ	ˈa	0.41
ˈɒˀ	ˈɒː	0.081
ˈɛ	ˈa	0.321
ˈɛː	ˈɛː	0.631
ˈʌ	-	0.051
ˈʌ	ˈøː	0.081
j	ç	0.062
k	k	0.442
k	-	0.532
l	-	0.062
t	x	0.062
t	t	0.872
ə	-	0.212
ʁ	r	0.872
ʋ	w	0.242
ˈe	ˈɛ	0.092
ˈuˀ	ˈuː	0.842
ˈy	ˈʏ	0.12
ˈø	ˈʏ	0.72
ˈøː	ˈuː	0.072
ˈœ	ˈœː	0.2
ˈɛ	ˈɪ	0.092
ˈɛ	ˈɛ	0.152
ˈɛˀ	ˈɛː	0.12
ˈʌ	ˈɔ	0.162
b̥	b	0.803
mˀ	m	0.733
w	b_m	0.163
w	-	0.213
ð̞ˠ	t	0.753
ɐˀ	æ	0.853
ə	d_n	0.063
ʋ	v	0.653
ʦʰ	-	0.063
ʦʰ	d	0.63
ˈa	ˈɒː	0.083
ˈoˀ	ˈae̯	0.093
ˈoː	ˈa	0.13
ˈuː	ˈuː	0.743
ˈyˀ	ˈiː	0.183
ˈyˀ	ˈyː	0.213
ˈɑˀ	ˈɛ	0.173
ˈɑˀ	ˈae̯	0.173
ˈɒˀ	ˈoː	0.693
ˈɔ	ˈʏ	0.13
ˈɛˀ	ˈae̯	0.163
ˈɛˀ	ˈaʊ̯	0.163
ˈɶ	ˈœ	0.193
ˈʌ	ˈuː	0.123
b̥	p	0.174
j	x	0.274
jˀ	ɡ	0.154
w	ɡ	0.064
ŋ	ɪ	0.104
ŋ	ŋ	0.534
ɐ	-	0.124
ə	ŋ	0.114
ɡ̊	j	0.324
ˈe	ˈɪ	0.824
ˈiː	ˈiː	0.634
ˈo	ˈoː	0.084
ˈoː	ɾ	0.444
ˈu	ˈʊ	0.4
ˈæ	ˈiː	0.664
ˈøː	ˈɔʏ̯	0.514
ˈœˀ	ˈoː	0.114
ˈœˀ	ˈaʊ̯	0.454
ˈɑˀ	ˈaː	0.394
ˈɛ	ˈiː	0.054
j	-	0.195
j	h	0.205
nˀ	n	0.945
ŋ	ç	0.125
ɡ̊	ç	0.115
ˈa	ˈɛː	0.15
ˈeˀ	ˈae̯	0.805
ˈi	æ	0.145
ˈi	ˈɛː	0.25
ˈiː	ˈɛ	0.215
ˈu	v_ˈʊ	0.255
ˈyˀ	ˈœː	0.215
ˈyː	ˈaɪ̯	0.105
ˈyː	ˈae̯	0.895
ˈøˀ	ˈɔʏ̯	0.105
ˈøˀ	ˈoː	0.895
ˈœ	ˈɛ	0.085
ˈœˀ	ˈœː	0.055
ˈɑː	ɾ	0.215
ˈɑː	ˈɒː	0.785
ˈɒ	ˈœː	0.5
ˈɒ	ˈɒː	0.5
ˈɔˀ	ˈaʊ̯	0.275
ˈɛ	-	0.095
ˈɛ	ˈaː	0.095
ˈʌ	ˈʊ	0.085
f	f	0.986
s	z	0.356
t	ç	0.066
ʁ	-	0.096
ˈeˀ	ˈɪ	0.056
ˈeˀ	ˈa	0.06
ˈeˀ	ɾ	0.066
ˈi	ˈɪ	0.146
ˈi	ˈiː	0.46
ˈiˀ	ˈae̯	0.086
ˈiˀ	ˈɛː	0.086
ˈiˀ	ˈiː	0.66
ˈuː	ˈʊ	0.106
ˈuː	ˈae̯	0.106
ˈæ	ˈa	0.336
ˈœ	ˈʏ	0.286
ˈɑˀ	ˈoː	0.26
ˈɒˀ	ˈaʊ̯	0.226
ˈɛ	ˈɔ	0.106
ˈɛˀ	ˈa	0.296
ˈʌ	ˈɒː	0.176
j	k	0.247
jˀ	k	0.677
kʰ	kʰ	0.957
mˀ	f	0.267
w	m	0.287
ŋ	-	0.237
ɐ	æ	0.87
ɐˀ	-	0.147
ɡ̊	-	0.137
ʦʰ	tʰ	0.307
ˈiˀ	ˈɪ	0.167
ˈo	ɾ	0.27
ˈu	ˈœː	0.247
ˈøː	ˈyː	0.117
ˈøː	ˈaʊ̯	0.297
ˈœˀ	ˈɔʏ̯	0.377
ˈɑ	ˈʏ	0.147
ˈɶ	ˈuː	0.807
ˈʌ	ˈaʊ̯	0.277
h	h	0.98
l	l	0.938
n	n	0.958
s	s	0.248
w	f	0.228
ʋ	f	0.098
ˈo	w	0.108
ˈo	ˈuː	0.538
ˈoˀ	ˈœː	0.148
ˈu	ˈɔ	0.098
ˈuˀ	ˈɛ	0.088
ˈyˀ	ˈɪ	0.068
ˈø	ˈɪ	0.28
ˈœ	ˈɔ	0.18
ˈɔ	ˈʊ	0.848
ˈɔˀ	ˈeː	0.088
ˈɔˀ	ˈɒː	0.478
e	ɪ	0.329
jˀ	ŋ	0.169
lˀ	-	0.069
ð̞ˠ	-	0.239
ə	æ	0.059
ə	n	0.549
ˈa	ˈa	0.559
ˈeː	ˈae̯	0.659
ˈoˀ	ˈiː	0.149
ˈoː	ˈœ	0.189
ˈy	ˈɪ	0.379
ˈœ	ˈɔʏ̯	0.199
ˈɑ	ˈɒː	0.109
ˈɑ	ˈae̯	0.129
ˈɑ	ˈɪ	0.159
ˈɔˀ	ˈuː	0.159
ˈɛˀ	ˈiː	0.259
ˈɛː	ˈɛ	0.369
