French	Franco-Provençal	probability
d	d	1.0
f	f	1.0
p	p	1.0
v	v	1.0
ə	ə	1.0
ɥ	w	1.0
a	ˈa	0.251
e	-	0.091
e	e	0.261
i	j	0.081
l	l	0.761
n	n	0.491
t	t_a	0.081
u	o	0.281
œ	w_ˈe	0.341
ɑ̃	ˈɛ̃	0.401
ɡ	-	0.261
ɲ	ɲ	0.61
o	ˈe	0.052
o	ˈoː	0.452
ɔ	ˈɔ	0.352
ɔ̃	ɔ̃	0.192
a	ˈɑː	0.093
b	b	0.843
e	ˈa	0.363
u	ˈoː	0.203
u	ˈo	0.293
œ	ˈɔ	0.073
œ	ˈoː	0.283
œ	ˈø	0.303
ɑ̃	ˈĩ	0.113
ɔ	ˈø	0.223
ɔ	ˈoː	0.23
ɛ	ˈaː	0.103
ʁ	ð	0.093
ʁ	ʁ	0.53
ʒ	ʒ	0.443
a	ˈe	0.164
i	ˈe	0.344
k	k	0.934
m	m_a	0.194
y	ˈo	0.084
z	z	0.884
e	ˈaː	0.125
i	ˈi	0.55
w	w	0.785
ø	ˈø	0.425
ɛ	ˈa	0.115
ɛ	ˈɛː	0.175
ɛ̃	ˈĩ	0.335
ʁ	ð_ə	0.135
ʃ	ʃ	0.905
k	k_w	0.066
l	ʎ	0.056
m	m	0.806
n	n_a	0.476
o	ˈe_l	0.496
w	-	0.156
y	ˈu	0.916
z	z_ə	0.116
ɑ̃	ˈɑ̃	0.486
a	a	0.417
j	ˈi	0.067
j	j	0.417
l	l_a	0.137
ɛ	ˈɛ	0.17
ɛ	ˈe	0.307
ɛ̃	ˈɑ̃	0.217
ʁ	ʁ_ə	0.057
e	j_ˈe	0.118
j	-	0.128
j	ʎ_ə	0.248
s	s	0.798
w	ˈɛ	0.058
ø	w_ˈe	0.178
ø	ˈa	0.208
ɔ	ɔ	0.148
ɔ̃	ˈɔ̃	0.808
ɛ̃	ˈɛ̃	0.448
ʁ	ʁ_o	0.068
ʒ	ð	0.328
j	ʎ	0.139
s	s_ə	0.109
t	t	0.919
u	ˈu	0.19
ø	ˈu	0.189
ɛ	ɛ	0.059
ɡ	ɡ	0.739
ɲ	ɲ_ə	0.39
ʒ	ð_o	0.229
