Old Norse	Westphalian	probability
a	n	0.526
a	-	0.237
a	ˈaʊ̯	0.237
b	b	0.952
c	-	0.68
c	k	0.32
cʰ	k	1.0
cː	k	1.0
d	d	0.881
d	t	0.07
f	f	0.854
f	v	0.077
f	ʃ	0.068
h	h	0.968
i	ɐ	0.588
i	-	0.385
j	ˈaɪ̯	0.418
j	-	0.272
j	ˈɪɛ̯	0.118
j	ˈuːə̯	0.068
j	ˈɛː	0.068
j	ˈø	0.056
k	k	0.775
k	-	0.225
kʰ	k	0.797
kʰ	f	0.203
kː	k	0.613
kː	ŋ_k	0.387
l	l	0.922
l	-	0.078
lː	l	1.0
l̥	l	1.0
m	m	1.0
mː	v	0.895
mː	m	0.105
n	n	0.903
n	m	0.051
nː	n	0.846
nː	-	0.154
p	p	1.0
pː	p	1.0
r	-	0.725
r	r	0.129
r	ɐ	0.12
rː	ɐ	0.843
rː	ç	0.157
r̥	r	1.0
s	s	0.587
s	ʃ	0.305
sː	s	1.0
t	t	0.987
tʰ	t	0.947
tʰ	b	0.053
tː	ç	0.475
tː	x	0.458
tː	t	0.067
u	-	0.313
u	ˈaɪ̯	0.291
u	ə	0.171
u	ˈɪə̯	0.151
u	ɪ	0.073
v	w	0.399
v	v	0.397
v	-	0.088
v	s	0.069
w	w	1.0
x	-	1.0
ç	h	1.0
ð	d	0.513
ð	-	0.272
ð	t	0.215
ŋ	ŋ	0.743
ŋ	n	0.154
ŋ	-	0.103
ɑ	n	0.694
ɑ	ə	0.219
ɑ	-	0.062
ɑː	aɪ̯	1.0
ɟ	x	0.76
ɟ	-	0.24
ɟː	ɡ	1.0
ɡ	-	0.582
ɡ	x	0.389
ɡː	k	0.588
ɡː	-	0.288
ɡː	ç	0.123
ɣ	ç	0.251
ɣ	x	0.232
ɣ	ŋ	0.23
ɣ	ɡ	0.204
ɣ	ɣ	0.084
ɾ	ɐ	1.0
ʝː	ɡ	1.0
ʦ	ʃ	1.0
ˈa	ˈa	0.93
ˈa	ˈaː	0.07
ˈe	ˈɛ	0.251
ˈe	ˈɪɛ̯	0.205
ˈe	ˈɒː	0.154
ˈe	-	0.153
ˈe	ˈɪ	0.144
ˈe	ˈiɛ̯	0.054
ˈeː	ˈiː	0.622
ˈeː	ˈaɪ̯	0.134
ˈeː	ˈɛ	0.085
ˈeː	ˈɪ	0.085
ˈi	ˈɪ	0.725
ˈi	ˈiː	0.166
ˈiː	ˈiː	0.67
ˈiː	-	0.171
ˈiː	ˈɪ	0.09
ˈiː	ˈaɪ̯	0.068
ˈo	ˈuːə̯	0.684
ˈo	ˈuə̯	0.122
ˈo	ˈɔː	0.087
ˈo	ˈiɛ̯	0.075
ˈoː	-	0.338
ˈoː	ˈoː	0.234
ˈoː	r	0.107
ˈoː	ˈeː	0.101
ˈoː	ˈɛ	0.099
ˈu	ˈʊ	0.546
ˈu	ˈyə̯	0.105
ˈu	ˈuː	0.09
ˈu	ˈa	0.072
ˈuː	-	0.477
ˈuː	ˈuː	0.422
ˈuː	ˈʊ	0.072
ˈy	ˈʏ	0.3
ˈy	ˈœː	0.237
ˈy	ˈɪ	0.23
ˈy	ˈyː	0.101
ˈy	ˈøː	0.085
ˈyː	ˈiː	0.468
ˈyː	ˈaʊ̯	0.264
ˈyː	ˈyː	0.235
ˈøy̯	ˈœː	0.462
ˈøy̯	ˈɔː	0.337
ˈøy̯	ˈaɪ̯	0.123
ˈøy̯	ˈaʊ̯	0.078
ˈøː	ˈøː	0.743
ˈøː	ˈɛ	0.216
ˈɑ	ˈa	0.448
ˈɑ	-	0.172
ˈɑ	ˈaː	0.11
ˈɑ	ˈɛ	0.074
ˈɑ	ˈɔː	0.066
ˈɑu̯	ˈaʊ̯	0.959
ˈɑː	ˈɔː	0.6
ˈɑː	ˈa	0.173
ˈɑː	ˈaʊ̯	0.086
ˈɑː	-	0.065
ˈɒu̯	-	0.879
ˈɒu̯	ˈaʊ̯	0.121
ˈɔ	ˈɛː	0.412
ˈɔ	ˈa	0.293
ˈɔ	-	0.234
ˈɔː	ˈoː	1.0
ˈɛ	ˈɪɛ̯	0.246
ˈɛ	ˈa	0.2
ˈɛ	ˈɛ	0.165
ˈɛ	ˈɪə̯	0.121
ˈɛ	ˈø	0.117
ˈɛ	ˈaɪ̯	0.094
ˈɛ	ˈyː	0.058
ˈɛi̯	ˈeː	0.957
ˈɛː	ˈɔː	0.463
ˈɛː	ˈa	0.308
ˈɛː	ˈaɪ̯	0.228
θ	d	1.0
