Lengadocian	Lengadocian	probability
β_l	b_j	1.0
ˈɔ_k	ɡ	1.0
ˈe_j	ˈa	1.0
ˈa_w	ˈɔː	1.0
ˈa_j	ˈɛ	1.0
ʧ	t	1.0
ʦ	z	1.0
ʤ_e	d_i	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɥ	ˈuː	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɔ_#>	#>	1.0
ɔ	a	1.0
ŋ	ŋ	1.0
y	u	1.0
w_#>	v_#>	1.0
t_ɔ	t_a	1.0
s_e	z	1.0
p	p	1.0
n_#>	ŋ_t_#>	1.0
mː	t_m	1.0
m_e	m	1.0
m_b	m	1.0
m_#>	m_#>	1.0
lː	z	1.0
l_#>	l_#>	1.0
k_ɾ	k_r	1.0
k_l	ʧ	1.0
j_s	s_e	1.0
j	d_e	1.0
i	i	1.0
f	f	1.0
e_ʀ	a_r	1.0
e_s	s	1.0
d	d	1.0
a	a	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_θ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a_w	<#_u	1.0
<#_a	<#_a	1.0
k	k	0.944
m	m	0.917
t	t	0.905
β	v	0.818
ʀ	r	0.789
ð	d	0.778
s	s	0.774
ʤ	ð	0.769
u	u	0.714
ˈa_#>	ˈɛ_r_#>	0.667
ʎ	j	0.667
ɾ	r	0.667
j_ˈɛ	ˈɛ	0.667
n	n	0.625
k_#>	k_#>	0.625
z	-	0.6
b	v	0.593
ˈɔ	ˈɔː	0.588
t_#>	d_#>	0.571
s_#>	#>	0.562
e_#>	r_#>	0.545
ˈy	ˈo	0.5
w	-	0.5
l	l	0.5
#>	r_#>	0.5
e_#>	#>	0.455
ˈa	ˈɛ	0.442
s_#>	s_#>	0.438
t_#>	#>	0.429
ˈɔ	ˈɔ	0.412
b	b	0.407
z	d	0.4
ˈɛ	ˈɛ	0.382
n	ŋ	0.375
k_#>	ɡ_#>	0.375
e	-	0.375
ˈe	ˈa	0.348
ˈi	ˈe	0.345
ˈu	ˈʌu̯	0.344
ˈa_#>	ˈa_ŋ_#>	0.333
ʎ	ʧ	0.333
l	j	0.333
j_ˈɛ	ˈiː	0.333
ˈa	ˈaː	0.288
u	-	0.286
ɾ	e	0.282
w	ˈo	0.25
w	v	0.25
e	e	0.25
ˈi	ˈiː	0.241
ʤ	-	0.231
ð	-	0.222
ˈe	ˈa_j	0.217
ʀ	r_e	0.211
ˈɛ	ˈa	0.206
#>	n_#>	0.2
ˈy	ˈuː	0.188
ˈy	-	0.188
β	b	0.182
ˈɛ	ˈɛː	0.176
ˈe	ˈiː	0.174
l	ʧ	0.167
s	θ	0.161
ˈu	ˈʌ	0.156
ˈu	ˈo	0.156
ˈa	ˈa	0.154
ˈi	ˈe_ŋ	0.138
ˈe	ˈæ	0.13
ˈe	ˈe	0.13
ˈy	ˈuː_r	0.125
e	r	0.125
e	i	0.125
e	e_r	0.125
ˈɛ	ˈæ	0.118
#>	v_#>	0.1
#>	d_#>	0.1
#>	a_#>	0.1
t	θ	0.095
ˈu	ˈʌ_ŋ	0.094
ˈu	ˈɔ	0.094
ˈu	ˈuː	0.094
m	-	0.083
ˈi	ˈi	0.069
ˈi	j_ˈɔː	0.069
ˈi	e	0.069
ˈi	-	0.069
s	z	0.065
ˈu	-	0.062
ˈɛ	ˈiː	0.059
ˈɛ	-	0.059
k	ɡ	0.056
ɾ	-	0.051
