Old Chinese	Old Chinese	probability
ʦʰ	ʦʰ	1.0
ʔ_s	ʦ	1.0
ɯ_ʔ	u	1.0
ɡʷ	-	1.0
ɡ_oː	ɤ	1.0
ɡ_l	k	1.0
ŋʷ	ɡ	1.0
ŋ_s	ŋ_³³	1.0
w	o	1.0
uː	a	1.0
u_ʔ	⁵³	1.0
tʰ	ʦʰ	1.0
t	t	1.0
sʰ	ʦʰ	1.0
s_#>	#>	1.0
s	s	1.0
r̥ʰ	tʰ_w	1.0
r_ɯ	i	1.0
r_eː	w	1.0
r_aː	e	1.0
qʰʷ	-	1.0
pʰ	pʰ	1.0
n_ʔ	n_⁵³	1.0
l̥ʰ	tʰ	1.0
l_ʔ	⁵³	1.0
kʷ	k	1.0
kʰʷ	kʰ	1.0
kʰ	kʰ	1.0
k	k	1.0
j	-	1.0
iː	-	1.0
i_ɡ	t̚	1.0
i_u	i_w	1.0
hʷ	h_w	1.0
h_m	h	1.0
h_l	ɕ	1.0
e_d	ʔ	1.0
b	p	1.0
aː_ʔ	ɔ	1.0
aː_ɡ	ʔ	1.0
aː_ŋ	ŋ̍	1.0
<#_ɢʷ	<#	1.0
<#_ŋ	<#_ɡ	1.0
<#_s	<#_ɕ	1.0
<#_r	<#_l	1.0
<#_q	<#	1.0
<#_n	<#_l	1.0
p	p	0.8
d_s	¹¹	0.8
<#	<#_h	0.8
e	-	0.778
oː	a	0.714
ʔ	-	0.615
o	-	0.6
ɡ	k̚	0.571
r	e	0.571
n	n	0.533
i	i	0.529
ŋ	ŋ	0.5
u	a	0.5
n_s	¹¹	0.5
n_s	³³	0.5
m	m	0.5
lʼ	tʰ	0.5
lʼ	t	0.5
eː	j	0.5
l	-	0.455
r	j	0.429
o	ŋ̍	0.4
ʔ	w_⁵³	0.385
ɯ	u	0.364
l	i	0.364
#>	²⁴_#>	0.363
m	b	0.35
eː	w	0.333
d	ʔ	0.333
ɯː	a_j	0.308
ɯː	-	0.308
u	u	0.3
i	j	0.294
a	u	0.294
oː	a_w	0.286
#>	⁴⁴_#>	0.275
ɯ	-	0.273
a	ɔ	0.235
a	-	0.235
ɯː	a	0.231
e	o	0.222
d	ʨ	0.222
d	t	0.222
d	-	0.222
aː	ɔ	0.222
aː	w_a	0.222
aː	w	0.222
aː	a	0.222
ɡ	k	0.214
ɡ	-	0.214
ŋ	ã	0.2
ŋ	-	0.2
u	j	0.2
p	-	0.2
n	ã	0.2
d_s	²²	0.2
<#	<#_l	0.2
ɯ	ŋ̍	0.182
ɯ	i	0.182
l	e	0.182
i	-	0.176
eː	ɛ	0.167
#>	³²_#>	0.165
ɯː	j	0.154
m	-	0.15
n	ŋ̍	0.133
n	-	0.133
a	w̃	0.118
a	h	0.118
aː	ɔ̃	0.111
#>	⁵³_#>	0.11
ŋ	l	0.1
#>	⁴_#>	0.088
