Auvergnat	Auvergnat	probability
ˈɪ̃	ˈẽ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ_k_#>	w_#>	1.0
ˈỹ	ˈỹ	1.0
ˈy	ˈy	1.0
ˈũ	ˈũ	1.0
ˈu_#>	ˈu_r_#>	1.0
ˈĩ	ˈĩ	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈẽ	ˈẽ	1.0
ˈe_ʀ	ˈɛ_r	1.0
ˈe_j	ˈi	1.0
ˈã	ˈã	1.0
ˈa_#>	ˈe_r_#>	1.0
ʤ_ɔ	j_ə	1.0
ʒ	-	1.0
ʃ	ʦ	1.0
ɪ	e_s	1.0
ɥ	-	1.0
ɡʲ	ɡ	1.0
ɔ_#>	#>	1.0
ɔ	ə	1.0
œ	ɔ	1.0
z	-	1.0
w_ˈɔ̃	ˈũ	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈũ_j	1.0
w_#>	f_#>	1.0
vʲ	v	1.0
v	v	1.0
ũ	ũ	1.0
t_ʀ	t_r	1.0
t_ɔ	t_ə	1.0
s_ɔ	s_ə	1.0
s_#>	s_#>	1.0
p	p	1.0
mʲ	m	1.0
m_#>	n_#>	1.0
m	m	1.0
lː	l	1.0
l_#>	l_#>	1.0
l	l	1.0
j_ʀ	r	1.0
j_#>	j_#>	1.0
ĩ	ĩ	1.0
fʲ	f	1.0
f	f	1.0
e	-	1.0
dʲ	d	1.0
d_ɔ	ə	1.0
b_ɔ	b_ə	1.0
ã	ã	1.0
<#_ˈã	<#_ˈã	1.0
<#_ʀ	<#_r	1.0
<#_ɒ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ʀ	r	0.93
n	n	0.895
k	k	0.857
ʤ	ʤ	0.824
u	u	0.818
d	d	0.786
t	t	0.778
b	b	0.75
ɡ	ɡ	0.727
ˈœ	ˈy	0.714
ɲ	ɲ	0.714
ə	ə	0.68
ˈi	ˈi	0.667
k_#>	k_#>	0.625
ŋ	n	0.614
ʧ	ʧ	0.613
ˈu	ˈu	0.588
ˈɔ	ˈɛ	0.583
ʎ	ʎ	0.579
s	s	0.571
ɒ	a	0.538
i	o_j	0.5
i	i	0.5
ˈa	ˈa	0.462
ˈɔ	-	0.417
j	j	0.417
w	w	0.375
k_#>	#>	0.375
#>	s_#>	0.375
s	ʦ	0.343
ˈɪ	ˈɔ	0.333
j	j_t	0.333
ˈe	ˈɛ	0.321
ʎ	l	0.316
ɒ	ə	0.308
ˈœ	w_ˈɛ	0.286
ɲ	n	0.286
ɡ	-	0.273
j	w	0.25
b	v	0.25
ŋ	n_t	0.227
t	t_r	0.222
d	j	0.214
#>	ˈe_r_#>	0.208
#>	ə_#>	0.208
#>	t_#>	0.208
ˈi	ˈĩ	0.2
ʧ	t	0.194
ʧ	-	0.194
ˈɪ	ˈɛ	0.19
u	-	0.182
ˈu	ˈy	0.176
ʤ	-	0.176
ŋ	ŋ	0.159
w	j	0.156
ɒ	ɛ	0.154
ˈɪ	ˈẽ	0.143
ˈɪ	ˈe	0.143
ˈe	ˈɔ	0.143
ˈe	ˈe	0.143
k	k_w	0.143
ə	-	0.14
ˈa	j	0.135
ˈi	-	0.133
ˈu	ˈɔ_j	0.118
ˈu	ˈɔ	0.118
ˈe	ˈɛ_s	0.107
ˈe	ˈa	0.107
ˈe	j_ˈɛ	0.107
ʎ	ɡ_l	0.105
n	j_n	0.105
ˈɪ	ˈɔ_j	0.095
ˈɪ	ˈi	0.095
w	ˈɔ	0.094
w	l	0.094
s	j_s	0.086
ə	j	0.08
ˈa	ˈɔ	0.077
ˈa	ˈe	0.077
ˈa	ˈã_j	0.077
ˈa	j_ˈɛ	0.077
ˈe	ˈi	0.071
ʀ	r_t	0.07
w	ˈɛ	0.062
w	ˈũ	0.062
w	v	0.062
w	-	0.062
ə	e	0.06
ˈa	ˈɛ	0.058
