Italian	Western Lombard	probability
b	b	1.0
bː	b	1.0
f	f	1.0
lː	l	1.0
nː	n	1.0
rː	r	1.0
s	s	1.0
tː	t	1.0
ŋ	-	1.0
ɲː	ɲ	1.0
j	-	0.421
l	-	0.111
ɡ	-	0.311
ʤ	ʤ	0.941
ʧ	s	0.091
ˈe	ˈɛ	0.161
ˈi	ˈi	0.641
ˈu	ˈy	0.61
d	-	0.182
r	-	0.282
ˈa	ˈa	0.762
ˈɛ	ˈɛ̃ː	0.082
m	m	0.963
n	n	0.663
p	ʋ	0.213
t	d	0.333
ˈɔ	ˈu	0.093
ˈɔ	ˈɔ	0.733
a	a	0.874
j	ˈe_j	0.054
j	j	0.524
n	-	0.304
w	-	0.364
ʧ	ʧ	0.594
ˈo	ˈu	0.594
ˈu	ˈyː	0.084
ˈɛ	ˈɛ	0.654
i	i	0.615
kː	-	0.395
kː	k	0.605
ˈa	ˈaː	0.145
ˈɔ	ˈø	0.175
a	ʤ_a	0.06
a	-	0.066
i	ĩ	0.06
i	-	0.226
w	w	0.636
ˈe	ˈeː	0.056
ˈe	ˈe	0.56
ˈo	ˈyː	0.406
ˈɛ	-	0.096
o	u	0.387
o	-	0.597
t	-	0.147
v	ʋ	0.957
ʧ	ʦ	0.127
ˈa	ˈãː	0.07
ˈe	ˈe_j	0.207
d	d	0.818
e	a	0.288
e	e	0.448
r	r	0.718
e	-	0.219
i	e	0.099
k	k	0.959
l	l	0.889
p	p	0.709
t	t	0.49
ɡ	ɡ	0.689
ʤ	-	0.059
ʧ	z	0.139
ˈi	ˈĩː	0.359
ˈu	ˈũː	0.279
ˈɛ	ˈẽː	0.059
ˈɛ	ˈe	0.109
