Old High German	Old West Norse	probability
ˈɑ_ɡ	ˈɑ_ɣ	1.0
ˈiː_ʦ_ɛ_h	ɑː	1.0
ˈiː	ˈiː	1.0
ˈie̯	ˈeː	1.0
ˈi_r	ˈeː_r̥	1.0
ˈei̯	ˈɛi̯	1.0
ɡ_eː	ʝː	1.0
ɛ	i	1.0
ə	ɑ	1.0
ɑ_r	r̥	1.0
ɑ_n	ɑ	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
x_t	tː	1.0
w_ˈo	ˈu	1.0
tː	ð_j	1.0
t_i	ʦ	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
rː	r̥ː	1.0
r_ˈu	r_ˈy	1.0
r_ɡ	r_ɣ	1.0
r_n	r_n	1.0
r_i	r̥	1.0
p͡f	pʰ	1.0
oː	ɑ	1.0
ou̯	ˈɑu̯	1.0
nː	nː	1.0
n_d	nː	1.0
mː	mː	1.0
lː	lː_r̥	1.0
l_d	lː	1.0
i_f	v	1.0
fː	p	1.0
eː	-	1.0
e_n	ɑ	1.0
e	a	1.0
d_ɑ	ð	1.0
b_ɑ	v_ɑ	1.0
m	m	0.9
s	s	0.894
l	l	0.892
ʦ	tʰ	0.804
ˈuː	ˈuː	0.801
r	r	0.795
ˈɑː	ˈɑː	0.748
kː	kː	0.72
f	f	0.71
d	θ	0.698
b	b	0.685
ˈi	ˈi	0.683
h	h	0.679
w	v	0.669
xː	k	0.65
kʰ	kʰ	0.631
t	ð	0.61
k	c	0.581
ɑ	-	0.58
ˈu	ˈu	0.569
ˈɑ	ˈɑ	0.567
ˈe	-	0.565
u	u	0.56
n	n	0.559
x	k	0.558
ˈiu̯	ˈyː	0.549
ˈuo̯	ˈoː	0.538
i	r̥	0.532
ˈoː	-	0.518
ˈeː	ˈɑː	0.5
ˈeː	j	0.5
ˈo	ˈo	0.49
ˈiu̯	-	0.451
u	-	0.44
ˈe	ˈe	0.435
k	k	0.419
ˈou̯	ˈɑu̯	0.401
ˈio̯	j_ˈoː	0.399
ɡ	ɡ	0.398
kʰ	cʰ	0.369
ˈoː	ˈɑu̯	0.362
ɡ	ɣ	0.353
ˈuo̯	ˈøː	0.351
xː	-	0.35
ˈɛ	ˈe	0.347
o	i	0.339
ˈio̯	j_ˈuː	0.337
ˈu	ˈo	0.324
t	d	0.316
b	v	0.315
d	ð	0.302
ˈou̯	ˈøy̯	0.299
ˈou̯	-	0.299
ɑ	ɑ	0.296
o	-	0.282
i	-	0.282
kː	cː	0.28
ˈio̯	-	0.264
ˈɑː	-	0.252
ɡ	ɟ	0.249
ˈo	ˈu	0.248
ˈɛ	-	0.215
o	ˈoː_r̥	0.21
h	-	0.205
ˈuː	ˈu	0.199
ʦ	t	0.196
f	p	0.196
x	ˈeː	0.194
o	r̥	0.169
ˈɛ	j_ˈɔ	0.168
ˈɛ	j_ˈɑ	0.168
x	-	0.166
r	r̥ː	0.159
w	-	0.141
i	u	0.141
ˈi	ˈe	0.14
ˈo	-	0.138
ˈo	ˈy	0.124
ɑ	a	0.124
n	-	0.124
ˈoː	ˈɒu̯	0.121
ˈɑ	ˈɑː	0.118
n	ɑ	0.117
h	ç	0.116
ˈuo̯	ˈɔː	0.111
w	ˈu	0.111
n	nː	0.111
ˈu	ˈy	0.107
ˈɛ	ˈɑ	0.102
m	-	0.1
ˈi	-	0.093
ˈɑ	ˈɔ	0.092
ˈɑ	ˈa	0.092
ˈi	ˈy	0.084
x	r̥	0.082
n	ˈiː	0.082
l	lː	0.082
w	x_w	0.079
ˈɑ	ˈɛ	0.075
f	v	0.075
s	-	0.069
ˈɑ	ˈe	0.056
