Bellunese	Bellunese	probability
ˈo_l	ˈo_r	1.0
ˈe_r_#>	ˈe_#>	1.0
ˈe_d	i_d	1.0
ˈa_r_#>	ˈa_#>	1.0
ʤ	-	1.0
ɲ	-	1.0
ŋ_ð	ɲː	1.0
ŋ_#>	n_i_#>	1.0
w_e	u	1.0
s_k	xː	1.0
r_o	r_u	1.0
r_#>	#>	1.0
p	p	1.0
o_d	u_d	1.0
j_ˈe	ˈe	1.0
e_r_#>	ˈi_#>	1.0
a	a	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_i	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_i	1.0
ˈa	ˈa	0.938
f	f	0.9
b	b	0.882
ð	ʤ	0.857
ˈɔ	ˈɔ	0.846
d	d	0.833
k	k	0.824
ˈi	ˈi	0.81
ˈu	ˈu	0.8
m	m	0.8
o	u	0.795
e	i	0.769
θ	ʦ	0.75
i	i	0.75
n	n	0.72
r	r	0.703
ʧ	ʧː	0.667
#>	u_#>	0.646
ŋ	n	0.6
o_l	u_r	0.6
ˈɛ	ˈe	0.571
ˈo	ˈɔ	0.562
ˈe	ˈɛ	0.552
ɡ	ɡː	0.529
ˈɛ_r	ˈɛ_rː	0.5
ˈɛ_r	ˈɛ_j	0.5
z	ʦ	0.5
w	w	0.5
w	-	0.5
j	j	0.5
t	t	0.485
v	v	0.448
s	s	0.444
l	l	0.433
o_l	u	0.4
t	tː	0.364
#>	i_#>	0.354
ʧ	ʧ	0.333
j	ʎː	0.333
v	β	0.31
ɡ	ɡ	0.294
ˈɛ	ˈɛ	0.286
ˈo	ˈo	0.281
θ	ʦː	0.25
z	ʒ	0.25
z	z	0.25
i	ˈi	0.25
ŋ	ŋ	0.24
l	dː	0.233
ˈe	ˈe	0.207
ˈu	ˈo	0.2
m	mː	0.2
ˈi	-	0.19
s	sː	0.185
ɡ	-	0.176
v	-	0.172
l	r	0.167
j	-	0.167
d	dː	0.167
ˈo	ˈu	0.156
ˈɔ	ˈo	0.154
e	a	0.154
s	ɬ	0.148
s	u	0.148
ˈɛ	-	0.143
ð	ʣ	0.143
ˈe	-	0.138
n	nː	0.12
b	-	0.118
ˈe	i	0.103
o	r	0.103
o	-	0.103
l	u	0.1
f	-	0.1
t	dː	0.091
k	kː	0.088
r	ɬ	0.081
ŋ	ɲː	0.08
ŋ	u	0.08
n	ɲː	0.08
n	-	0.08
e	-	0.077
s	ʃː	0.074
v	b	0.069
l	-	0.067
ˈa	a	0.062
t	ɬ_t	0.061
k	xː	0.059
r	ˈi	0.054
r	rː	0.054
r	a_r	0.054
r	-	0.054
