Gascon	Gascon	probability
ˈɛ_j	ˈa	1.0
ˈɛ_#>	ˈɛ_#>	1.0
ˈɔ	ˈɔ	1.0
ˈu_ŋ_#>	ˈu_#>	1.0
ˈo	-	1.0
ˈa_ŋ	ˈa	1.0
ˈa_w	ˈa_l	1.0
ˈa_t	ˈa_t	1.0
ˈa_k	ˈa_k	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʤ	ʤ	1.0
ʒ	ʤ	1.0
ʃ	s	1.0
ɾ_ɔ	l_ɔ	1.0
ɲ	ɲ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
y	y	1.0
u	u	1.0
t_ˈa	t_ˈa	1.0
t_#>	l_#>	1.0
s_k	s_k	1.0
s	s	1.0
p	p	1.0
nː	nː	1.0
n_ˈa	n_ˈɔ	1.0
n	n	1.0
mː	mː	1.0
m_i	m	1.0
m	m	1.0
k	k	1.0
j_ˈe	e	1.0
j_t	ʧ	1.0
j_r	j_ɾ	1.0
i	i	1.0
h	f	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a_r	ʀ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ɥ	1.0
l	l	0.96
ˈɛ	ˈɛ	0.935
a	a	0.906
ˈu	ˈu	0.903
ɾ	ɾ	0.897
β	β	0.895
e	e	0.881
r	ʀ	0.87
ˈi	ˈi	0.868
j	j	0.842
ˈy	ˈy	0.808
z	z	0.8
t	t	0.767
ŋ_#>	#>	0.714
ð	ð	0.692
ˈe	ˈe	0.627
w	w	0.591
ʎ	l	0.556
ˈe_j	ˈɛ	0.5
ˈe_j	j_ˈɛ	0.5
#>	e_#>	0.5
ʎ	ʎ	0.444
ˈe	ˈɛ	0.294
ŋ_#>	n_#>	0.286
#>	ɔ_#>	0.214
z	ɾ	0.2
ˈy	ˈu	0.192
w	ɥ	0.159
j	-	0.158
ð	z	0.154
ð	j_ʀ	0.154
#>	s_#>	0.143
#>	l_#>	0.143
w	l	0.136
r	ɾ	0.13
t	ʧ	0.116
t	t_ɾ	0.116
w	-	0.114
β	w_ɾ	0.105
ɾ	-	0.103
ˈu	-	0.097
a	-	0.094
e	-	0.09
ˈi	ˈe	0.079
ˈɛ	-	0.065
ˈi	ˈi_n	0.053
