Swabian	Swabian	probability
ˈʌ	ˈɘ	1.0
ˈɪ	ˈɪ	1.0
ˈəi̯	ˈaɪ̯	1.0
ˈɔː	ˈoː	1.0
ˈɔə̯	-	1.0
ˈɔe̯	ˈaː	1.0
ˈɔ	ˈɔ	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈiə̯	ˈiː	1.0
ˈeə̯	-	1.0
ʦ	ʦ	1.0
ʣ	ʦ	1.0
ʕ	ɐ	1.0
ʌ	ɐ	1.0
ʋ	v	1.0
ʃ_d	s_d̥	1.0
ʃ	ʃ	1.0
ʁ_a	ɐ_n	1.0
ʁ	r	1.0
ɪ	-	1.0
ɡ_a	ŋ	1.0
t	d̥	1.0
s_a	z̥_n	1.0
p͡f	b̥͡v̥	1.0
n_d	n	1.0
m	m	1.0
l_d	l_d̥	1.0
l	l	1.0
kʰ	ɡ̊	1.0
j	j	1.0
i	i	1.0
h	h	1.0
eə̯	eː	1.0
e	-	1.0
b̥͡f	-	1.0
b_a	m	1.0
<#_ˈɛ	<#_ˈɒ	1.0
s	s	0.956
f	f	0.944
n	n	0.935
ˈɛ	ˈɛ	0.895
d	d̥	0.889
b	b̥	0.846
ˈa	ˈɒ	0.808
ˈaː	ˈoː	0.8
ŋ	ŋ	0.75
ˈae̯	ˈaɪ̯	0.727
ɡ	ɡ̊	0.727
ˈɛː	ˈeː	0.714
ç	ç	0.714
x	x	0.7
ˈoː	ˈuː	0.667
ˈe	ˈɪ	0.667
ˈao̯	ˈaʊ̯	0.611
ˈo	ˈʊ	0.562
ˈi	ˈɪ	0.562
a	n	0.56
ˈu	ˈʊ	0.556
ˈo	ˈɔ	0.438
ˈi	ˈiː	0.438
ˈeː	ˈeː	0.429
a	a	0.36
ˈoː	ˈoː	0.333
ˈe	-	0.333
x	-	0.3
ˈɛː	ˈɛː	0.286
ˈeː	ˈiː	0.286
ˈeː	-	0.286
ç	x	0.286
ˈao̯	ˈaː	0.278
ˈae̯	-	0.273
ŋ	ŋ_a	0.25
ˈu	ˈɪ	0.222
ˈu	-	0.222
ˈaː	-	0.2
b	β	0.154
ɡ	ç	0.152
ɡ	x	0.121
ˈa	ˈɔ	0.115
ˈao̯	-	0.111
ˈɛ	ˈɪ	0.105
a	ə	0.08
d	ɾ	0.069
n	n_a	0.065
f	v̥	0.056
