Elfdalian	Old West Norse	probability
ˈʏ	ˈy	1.0
ˈʉː_n	ˈo_n	1.0
ˈʉ	ˈu	1.0
ˈɪ̃ː	ˈeː	1.0
ˈɔ̃ː	ˈɑː	1.0
ˈɔ	-	1.0
ˈɑːu̯	ˈuː	1.0
ˈɑːi̯	ˈiː	1.0
ˈɑː_j	ʝː	1.0
ˈɑː	ˈɑ	1.0
ˈœ	ˈɔ	1.0
ˈæ	ˈe	1.0
ˈyːœ̯	ˈøː	1.0
ˈiːe̯	ˈɛi̯	1.0
ʨː	cː	1.0
ʥː	ɟː	1.0
ʥ	ɟ	1.0
ʏ	i	1.0
ɡː	ɡː	1.0
ɡ_r	ɡ_r	1.0
ɡ	ɡ	1.0
ɛ_ɽ	l	1.0
ɛ_n	n	1.0
ɔ̃	ɑː	1.0
ɔ	ɑ	1.0
ɑ̃	-	1.0
v	v	1.0
t	t	1.0
sː	sː	1.0
rː	ˈu_r̥ː	1.0
r_d	r_ð	1.0
pː	pː	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	mː	1.0
m	m	1.0
l̥	s_l	1.0
lː	lː	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈæ	ˈɛ	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	ɑ	1.0
s	s	0.978
ð	ð	0.902
r	r	0.887
w	v	0.85
ŋ	ŋ	0.805
ɽ	l	0.79
ɑ	ɑ	0.743
ˈɑ	ˈɑ	0.737
ɪ	i	0.733
ˈo	ˈo	0.723
ˈɪ	ˈi	0.712
n	n	0.682
ɣ	ɣ	0.681
nː	nː	0.663
ʉ	u	0.66
ʨ	c	0.649
ˈʏː	ˈyː	0.642
ˈɔː	ˈɑː	0.616
ˈʉːə̯	ˈoː	0.606
ˈʉə̯	ˈo	0.597
kː	k	0.573
ˈʉː	-	0.571
ˈɪː	ˈiː	0.566
ˈæː	-	0.565
ˈœː	ˈɑu̯	0.554
tʰ	θ	0.53
tː	tː	0.528
ˈɛː	ˈe	0.5
ˈɛː	-	0.5
ɛ_r	r̥	0.5
ɛ_r	i_r̥	0.5
ɛ	i	0.5
ɛ	-	0.5
tː	t	0.472
tʰ	tʰ	0.47
ˈɛ	ˈe	0.462
ˈʉː	ˈu	0.429
kː	kː	0.427
ˈoː	-	0.421
ˈʉə̯	-	0.403
j	j	0.393
ˈʏː	-	0.358
ʨ	cʰ	0.351
ʉ	ɑ	0.34
ˈœː	ˈøy̯	0.338
nː	r_n	0.337
ˈoː	ˈɔ	0.333
ɣ	ɡ	0.319
j	-	0.306
ˈo	ˈɑ	0.277
ɪ	e	0.267
ˈɑ	ˈɔ	0.263
ˈɛ	-	0.252
ˈɪː	ˈi	0.246
ˈoː	ˈɑu̯	0.246
ˈæː	ˈøy̯	0.242
ˈʉːə̯	-	0.22
ˈɪ	-	0.214
ŋ	-	0.195
ˈɔː	ˈɑ_l	0.194
ˈæː	ˈɛː	0.193
ˈɔː	-	0.19
ˈɛ	ˈɛ	0.189
ˈɪː	ˈeː	0.188
n	nː	0.183
ˈʉːə̯	ˈuː	0.175
ɑ	a	0.142
j	ç	0.139
ɽ	l̥	0.126
ˈœː	ˈɒu̯	0.108
n	-	0.105
j	j_ˈɔ	0.102
ð	r̥	0.098
ˈɛ	ˈɛi̯	0.097
w	v_ˈɛi̯	0.089
ɽ	lː	0.085
ˈɪ	ˈe	0.074
r	r̥ː	0.074
w	x_w	0.062
j	ˈɛː	0.06
ɑ	-	0.058
ɑ	j_ɑ	0.057
