Campidanese	Venetian	probability
f	f	1.0
p	p	1.0
rː	r	1.0
sː	s	1.0
w	w	1.0
ŋ	ŋ	1.0
ɖː	-	1.0
ʃː	s	1.0
ʣ	ʤ	1.0
ʦ	s	1.0
ˈa	ˈa	1.0
b	v	0.661
k	k	0.911
l	-	0.091
l	ɰ	0.731
r	r	0.801
u	o	0.911
ɣ	-	0.171
ʒ	s	0.091
ˈe	ˈi	0.081
a	a	0.892
b	b	0.252
m	m	0.932
n	n	0.72
z	-	0.712
ɡ	ɡ	0.912
ʧ	ʧ	0.062
ˈu	ˈɔ	0.092
β	-	0.342
nː	n	0.213
o	-	0.083
r	j	0.123
ʤ	-	0.313
ˈi	ˈe	0.33
i	e	0.694
j	ʧ	0.674
ˈe	j_ˈɛ	0.064
ˈo	o	0.084
d	-	0.135
d	d	0.865
e	a	0.325
i	a	0.065
n	ŋ	0.145
t	-	0.095
t	t	0.905
ð	-	0.345
b	z	0.086
j	-	0.326
m	-	0.06
s	s	0.986
ˈe	ˈɛ	0.276
ˈi	ˈi	0.626
ˈo	ˈo	0.46
a	r_#>	0.057
e	e	0.617
i	ˈi	0.097
nː	ɲ	0.787
o	o	0.917
ð	t	0.137
ʤ	z	0.687
ˈe	ˈe	0.487
e	o	0.058
k	-	0.068
l	l	0.178
n	-	0.098
r	-	0.058
z	z	0.288
ð	d	0.518
ɡ	ʤ	0.088
ʧ	s	0.938
β	v	0.658
i	i	0.09
ɣ	ɡ	0.829
ʒ	z	0.909
ˈo	ˈɔ	0.409
ˈu	ˈu	0.449
ˈu	ˈo	0.459
