Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɒː_n	ˈoː	1.0
ˈœ	-	1.0
ˈøː	ˈʊ	1.0
ˈeː	-	1.0
ˈaʊ̯_ɾ	ˈuː	1.0
ˈaɪ̯	-	1.0
ɪ	i	1.0
ɣ̊	ɡ	1.0
ɣ	ˈiː	1.0
ɡ̊	-	1.0
ɡ_n	ɡ_ə	1.0
ɡ_l	l	1.0
ɡ	ɡ	1.0
ŋ_k	kː	1.0
ç_#>	#>	1.0
ç	ɡː	1.0
æ_n	ɳ	1.0
w	ʋ	1.0
v_ˈʊ	ˈʉ	1.0
tʰ	tʰ	1.0
t_#>	#>	1.0
r	ɾ	1.0
pʰ	pʰ	1.0
n_n	nː_ə	1.0
n_#>	#>	1.0
m_#>	#>	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d_n_#>	#>	1.0
ae̯	ə	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
b	b	0.909
p	p	0.889
z	s	0.85
ˈʊ	ˈʉ	0.778
ŋ	ŋː	0.75
l	l	0.75
kʰ	kʰ	0.75
ˈa	ˈɑ	0.739
v	ʋ	0.737
ˈɔ	-	0.714
ˈiː	ˈiː	0.714
k	k	0.714
ˈœː	-	0.667
z̥_#>	s_#>	0.667
v̥_#>	ʋ_#>	0.667
s	s	0.667
t	t	0.656
ˈɔʏ̯	ˈœ	0.625
m	m	0.607
ˈae̯_#>	#>	0.6
x	-	0.6
<#	<#_j	0.6
ˈɛː	ˈeː	0.571
ˈuː	ˈʉː	0.556
ˈɪ	ˈɪ	0.542
æ	ɾ	0.526
d	d	0.519
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ʃ	s	0.5
ɾ	ˈæː	0.5
ɾ	-	0.5
d	tʰ	0.481
ˈʏ	ˈʏ	0.455
ˈɛː	-	0.429
ˈɒː	ˈoː	0.429
ˈoː	ˈøː	0.429
ˈaː	ˈɑ_ɾ	0.429
ˈaʊ̯	ˈuː	0.4
ˈae̯_#>	ˈeː_#>	0.4
x	j	0.4
<#	<#_ˈɛ	0.4
ˈɔʏ̯	ˈøː	0.375
n	n	0.353
ˈœː	ˈœ	0.333
ˈyː	ˈʏ	0.333
ˈyː	ˈyː	0.333
ˈyː	-	0.333
ʃ	s_k	0.333
z̥_#>	#>	0.333
v̥_#>	#>	0.333
s	-	0.333
ˈae̯	ˈæɪ̯	0.316
ˈae̯	ˈyː	0.316
ˈaʊ̯	ˈøː	0.3
n	ə	0.294
ˈɔ	ˈɑ	0.286
ˈoː	ˈoː	0.286
ˈoː	-	0.286
ˈiː	-	0.286
ˈaː	ˈɑː	0.286
ˈaː	ɾ	0.286
t	tː	0.281
n	nː	0.275
ˈʏ	ˈɛ	0.273
ˈʏ	-	0.273
v	-	0.263
ŋ	ə	0.25
l	lː	0.25
kʰ	ç	0.25
æ	ə_ɾ	0.237
ˈʊ	ˈɔ	0.222
ˈuː	ˈuː	0.222
ˈuː	-	0.222
ˈɒː	ˈɑː	0.214
ˈɒː	-	0.214
m	mː	0.214
k	-	0.214
ˈa	ˈɑː	0.174
ˈɪ	ˈiː	0.167
ˈɪ	-	0.167
ʃ	ʂ	0.167
ˈae̯	ˈeː	0.158
ˈaʊ̯	-	0.15
z	ʂ	0.15
ˈɒː	ˈɔ	0.143
æ	ɾ_ə	0.132
ˈɪ	ˈɛ	0.125
p	pː	0.111
m	ʋ_ə	0.107
ˈae̯	ˈiː	0.105
ˈae̯	-	0.105
ˈaʊ̯	ˈoː	0.1
b	-	0.091
ˈa	ˈɔ	0.087
m	ʋ_n	0.071
k	ɪ	0.071
t	ʈ	0.062
æ	ɳ	0.053
æ	ə	0.053
