Galician	Galician	probability
θ_#>	θ_#>	1.0
β_ˈa	β_ˈa	1.0
β_ɪ	w	1.0
ˈɑ	ˈa	1.0
ˈu_ɾ	ˈu_ɾ	1.0
ˈu	ˈu	1.0
ˈi_ɲ	ˈi_n	1.0
ˈe_j	ˈe	1.0
ʊ	o	1.0
ɾ_β	ɾ_β	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ɐ	ɾ_a	1.0
ɾ_k	ɾ_k	1.0
ɾ_#>	ɾ_#>	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɔ	o	1.0
ɑ	a	1.0
w_ˈa	w_ˈa	1.0
t_ɪ_#>	#>	1.0
t_ɐ	t_a	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
s_ɐ	s_a	1.0
s_#>	s_#>	1.0
s	s	1.0
p	p	1.0
l_ʊ	ʎ_o	1.0
l_#>	l_#>	1.0
k	k	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_θ	<#_θ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
ɐ	a	0.964
ˈa	ˈa	0.962
ɟ	ʎ	0.933
n	n	0.923
ɾ	ɾ	0.894
m	m	0.857
ˈi	ˈi	0.844
e	e	0.842
β	β	0.826
a	a	0.826
ŋ_#>	n_#>	0.818
ˈɛ	j_ˈe	0.81
ˈe	ˈe	0.786
r	r	0.769
l	l	0.733
ɪ	ɾ_e	0.714
j	j	0.714
o	o	0.667
θ	θ	0.636
ɲ	ɲ	0.636
ɪ_#>	e_#>	0.632
ˈo_w	ˈo	0.625
ð	ð	0.609
u	u	0.6
ŋ	ŋ	0.583
ˈɔ	w_ˈe	0.56
i	i	0.545
ʃ	ʧ	0.526
ʧ	p_l	0.5
ʊ_#>	w_#>	0.5
ʊ_#>	#>	0.5
w	ˈo	0.5
w	-	0.5
i	-	0.455
#>	o_#>	0.429
ŋ	n_o	0.417
ˈo	ˈo	0.41
u	o	0.4
ˈo_w	ˈa	0.375
ɪ_#>	#>	0.368
ˈɔ	ˈo	0.36
ˈo	w_ˈe	0.359
<#	<#_ʧ	0.333
<#	<#_ɡ	0.333
<#	<#_a	0.333
ɪ	e	0.286
#>	n_a_#>	0.286
#>	n_#>	0.286
l	ʎ	0.267
ʧ	l	0.25
ʧ	f_l	0.25
r	ɾ	0.231
ð	t	0.217
ʃ	ʃ	0.211
o	u	0.2
ˈɛ	ˈe	0.19
θ	ʃ	0.182
θ	-	0.182
ɲ	ŋ_ɡ	0.182
ɲ	n	0.182
ŋ_#>	#>	0.182
ˈo	ˈu	0.179
β	p	0.174
ʃ	-	0.158
e	i	0.158
ˈi	-	0.156
m	m_b	0.143
j	ˈe	0.143
j	-	0.143
o	o_l	0.133
ʃ	ð	0.105
ˈe	-	0.095
ð	ʝ	0.087
ð	-	0.087
a	ˈa	0.087
a	-	0.087
ˈɔ	w	0.08
n	ɲ	0.077
ˈe	e_ʝ	0.071
ɟ	z	0.067
ɾ	ˈe_ɾ	0.064
ˈo	ˈe	0.051
