Catalan	Catalan	probability
ˈɛ_l	ˈe_l	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɔ_n	ˈu_n	1.0
ˈɔ_k	ˈø_k	1.0
ˈo_ʎ	ˈø_ʧ	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_n	ˈe_t	1.0
ˈa_t	ˈa_t	1.0
ˈa_s	ˈa_s	1.0
ˈa_r	ˈa_r	1.0
ˈa_l	ˈa_l	1.0
ˈa_k	ˈa_k	1.0
ʧ	s	1.0
ʤ	d	1.0
ʒ	z	1.0
ʎː	j	1.0
ʎ_#>	j_#>	1.0
ʃ	s	1.0
ɲ_ʒ	n_ʤ	1.0
ɣ_ə	ɡ_a	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ə_ʒ	a_j	1.0
ə_m	y	1.0
ð_ə	d_a	1.0
z	-	1.0
t_ə	t_a	1.0
s_ˈɛ	s_ˈɛ	1.0
r_t	r_t	1.0
r_k	r_k	1.0
p	p	1.0
n_#>	ŋ_t_#>	1.0
n	n	1.0
mː	t_m	1.0
m_#>	m_#>	1.0
l_ə	l_a	1.0
k	k	1.0
j	-	1.0
f	f	1.0
d	d	1.0
b_ˈi	ˈe	1.0
b_ˈa	b_ˈa	1.0
a	a	1.0
<#_ˈɔ	<#_ˈø	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_k_l	<#_ʧ	1.0
<#_b	<#	1.0
ˈa	ˈa	0.96
s	s	0.957
m	m	0.935
r	r	0.857
b	b	0.857
ʎ	l	0.85
t	t	0.848
<#_ə	<#	0.846
ɡ	ɡ	0.833
ɲ	ɲ	0.818
ɾ	r	0.793
ɾ_ə	e_r	0.727
ə	a	0.667
i	i	0.625
l	l	0.609
ˈe	ˈɛ	0.606
s_#>	#>	0.6
u	o	0.588
ð	t	0.556
ˈo	ˈu	0.524
ˈɛ	ˈɛ	0.52
ˈi	ˈi	0.5
ə_β	e	0.5
ə_β	a	0.5
w_ɾ	f	0.5
w_ɾ	d	0.5
w	w	0.5
β	-	0.444
ð	d	0.444
ŋ	ŋ_k	0.429
s_#>	p_#>	0.4
w_#>	s_#>	0.385
w_#>	f_#>	0.385
i	e	0.375
ˈɔ	ˈo	0.367
ˈɛ	ˈe	0.36
β	b	0.333
ˈo	ˈo	0.333
ˈu	ˈø	0.32
ˈu	ˈy	0.32
l	j	0.304
ˈɔ	ˈɔ	0.3
u	-	0.294
ŋ	ŋ	0.286
ŋ	-	0.286
ɾ_ə	r	0.273
#>	t_#>	0.25
#>	r_#>	0.25
#>	e_#>	0.25
w_#>	#>	0.231
β	ʋ	0.222
ɾ	-	0.207
ˈɔ	ˈu	0.2
ˈi	ˈe	0.192
ˈe	ˈe	0.182
ɲ	n	0.182
ɡ	-	0.167
w	ˈu_s	0.167
w	e	0.167
w	-	0.167
ˈu	ˈɔ	0.16
ə	e	0.157
ˈi	ˈɛ	0.154
<#_ə	<#_a	0.154
t	ʧ	0.152
#>	s_#>	0.15
ə	-	0.147
ˈo	ˈø	0.143
r	r_e	0.143
b	ʋ	0.143
ˈɔ	ˈø	0.133
ˈe	ˈi	0.121
ˈɛ	ˈi	0.12
ˈu	ˈo	0.12
u	u	0.118
#>	ˈe_#>	0.1
ˈe	ˈa	0.091
l	-	0.087
ˈu	-	0.08
ˈi	j_ˈø	0.077
ˈi	-	0.077
m	-	0.065
