Asturian	Ligurian	probability
d	d	1.0
f	f	1.0
i	i	1.0
k	k	1.0
p	p	1.0
r	r	1.0
w	w	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ʃ	z	1.0
ʝ	ʤ	1.0
ʧ	t	1.0
o	u	0.381
s	-	0.101
s	s	0.841
u	-	0.121
ð	-	0.541
ˈe	-	0.111
ˈe	ˈi	0.151
ˈe	ˈe	0.411
ˈi	ˈi_ʤ	0.101
ˈo	u	0.11
β	v	0.761
b	v	0.72
l	l_e	0.052
ð	t	0.222
ɲ	ŋ	0.302
ˈo	ˈø	0.072
ˈo	ˈu	0.572
ˈu	ˈyː	0.142
θ	-	0.252
m	ŋ	0.103
ŋ	-	0.13
ɲ	ɲ	0.603
ˈe	ˈɛː	0.13
b	b	0.24
o	ˈu	0.104
o	w	0.34
t	t	0.894
ɾ	j	0.314
ʎ	l	0.904
ˈi	ˈi	0.574
ˈu	ˈu	0.164
ˈu	ˈy	0.664
β	-	0.14
θ	ʃ	0.114
θ	s	0.334
e	i	0.075
e	e	0.665
l	r	0.095
l	l	0.105
ɲ	n	0.095
ˈe	ˈa	0.095
θ	ʒ	0.065
θ	ʒ_e	0.235
e	j	0.06
e	-	0.06
n	n	0.356
t	s	0.106
ʎ	ʧ	0.096
ˈa	ˈaː	0.196
e	u	0.087
m	m	0.897
n	ŋ	0.597
ð	d	0.237
ŋ	ŋ	0.87
ˈi	ˈe	0.187
a	-	0.128
a	a	0.798
l	-	0.748
s	z	0.058
ɾ	-	0.238
ɾ	r	0.448
ˈa	ˈa	0.758
ˈi	ˈiː	0.138
β	b	0.098
j	-	0.979
o	-	0.139
u	u	0.879
ˈe	ˈeː	0.059
