Danish	Scots	probability
d̥	d	1.0
f	f	1.0
h	h	1.0
jˀ	-	1.0
l	l	1.0
m	m	1.0
mˀ	m	1.0
p	p	1.0
pʰ	pʰ	1.0
s	s	1.0
wˀ	-	1.0
ŋ	-	1.0
ŋˀ	ŋ	1.0
ɐˀ	r	1.0
ʁ	r	1.0
ʌ	ə_r	1.0
ˈi	ˈɪ	1.0
ˈiː	ˈəi̯	1.0
ˈu	ˈuː	1.0
ˈuː	ˈu	1.0
ˈæ	ˈa	1.0
ˈø	ˈɪ	1.0
ˈɑː	ˈeː	1.0
ˈɒː	-	1.0
ˈɔ	ˈʌ	1.0
ˈʌˀ	ˈi	1.0
b̥	b	0.801
j	ˈe	0.061
ˈa	k_#>	0.061
ˈo	ˈo	0.541
ˈuˀ	ˈu	0.721
ˈœ	ˈi	0.161
k	k	0.692
ˈeˀ	ˈɑː	0.062
ˈoˀ	ˈø	0.642
ˈyˀ	ˈiː	0.502
ˈɑˀ	ˈeː_r	0.882
ˈɛˀ	ˈiː	0.762
ˈʌ	ˈʌ	0.502
j	k	0.303
n	-	0.133
ð̞ˠ	-	0.153
ð̞ˠ	d	0.373
ʦʰ	tʰ	0.243
ˈa	d_#>	0.13
ˈa	ˈɑː	0.343
ˈœˀ	ˈi	0.833
ˈɔˀ	ˈi	0.273
ˈɛ	ˈʌ	0.063
lˀ	l_d	0.314
t	t	0.864
w	-	0.74
ʋ	ʍ	0.184
ˈe	ˈɛ	0.124
ˈeˀ	ˈɪ	0.134
ˈiˀ	ˈɪ	0.254
ˈuˀ	ˈəi̯	0.224
ˈøː	ˈiː	0.174
ˈɑ	ˈe	0.214
j	-	0.635
kʰ	k	0.195
kʰ	kʰ	0.805
nˀ	n_d	0.475
ð̞ˠ	t	0.475
ə	ə	0.355
ˈa	ˈe	0.05
ˈeˀ	ˈɛ	0.245
ˈoˀ	ˈɪ	0.15
ˈuˀ	ˈuː	0.055
ˈɔˀ	j	0.275
lˀ	l	0.416
nˀ	θ	0.086
t	ç_t	0.136
w	v_ə	0.26
ʋ	-	0.126
ˈe	ˈɪ	0.876
ˈiˀ	ˈəi̯	0.746
ˈøː	ˈi	0.826
ˈɑ	ˈa	0.786
ˈɔˀ	ˈoː	0.126
ˈɔˀ	ˈeː	0.326
ˈɛ	ˈa	0.166
lˀ	-	0.27
n	n	0.867
ə	-	0.287
ʦʰ	θ	0.757
ˈa	θ_#>	0.067
ˈœˀ	ˈeː	0.167
ˈɛ	ˈɪ	0.067
ˈɛ	h_ˈɛ	0.257
ˈɛ	ˈɛ	0.447
k	ŋ_k	0.308
ə	ˈi	0.358
ˈa	n_#>	0.058
ˈoˀ	ˈuː	0.208
ˈyˀ	ˈi	0.498
ˈɑˀ	-	0.118
ˈɛˀ	ˈɑː	0.238
b̥	p	0.199
nˀ	n	0.439
ɐ	ə_r	0.239
ɐ	r	0.739
ɡ̊	-	0.179
ɡ̊	ɡ	0.789
ʋ	w	0.69
ˈa	r_#>	0.099
ˈa	ˈɪ	0.129
ˈeˀ	ˈe	0.559
ˈo	w	0.459
ˈœ	ˈɪ	0.839
ˈʌ	ˈɑː	0.209
ˈʌ	ˈɪ	0.289
