Danish	Scots	probability
b̥	b	0.843
b̥	p	0.145
b̥_j	b	1.0
b̥_ə	p	1.0
d̥	d	0.908
d̥	ð	0.091
e	əi̯	0.758
e	ɪ	0.09
f	f	0.933
f	ʃ	0.066
h	h	1.0
i	əi̯	1.0
j	-	0.518
j	ˈiː	0.174
j	k	0.129
j	j	0.085
j	x	0.069
jˀ	ˈe	1.0
k	k	0.737
k	-	0.246
kʰ	kʰ	0.78
kʰ	k	0.139
kʰ	ʧ	0.049
l	l	0.923
l	-	0.068
lˀ	l	0.376
lˀ	ɫ	0.295
lˀ	d	0.147
lˀ	-	0.107
lˀ	r	0.055
m	m	0.8
m	r_m	0.127
m	əi̯	0.066
mˀ	m	0.74
mˀ	v	0.136
n	n	0.955
n	-	0.048
nˀ	n	0.706
nˀ	θ	0.226
nˀ	r	0.053
p	p	0.492
pʰ	pʰ	0.242
s	s	0.905
s	z	0.042
s	-	0.03
s	x	0.03
s_k	ʃ	1.0
t	t	0.57
t	x	0.356
t	-	0.068
v	f	0.392
v	-	0.221
v	w	0.221
w	-	0.242
w	v	0.242
w	f	0.194
w	e	0.111
w	ç	0.111
wˀ	m	0.242
ð̞ˠ	d	0.472
ð̞ˠ	t	0.44
ð̞ˠ	θ	0.086
ð̞ˠ_ə	t	1.0
ŋ	ŋ	0.67
ŋ	-	0.242
ŋ	n	0.062
ŋˀ	ŋ	1.0
ɐ	r	0.525
ɐ	ə	0.36
ɐ	-	0.088
ɐ	ɪ	0.035
ɐ_n	r	1.0
ɐˀ	r	0.851
ɐˀ	ˈoe̯	0.148
ə	-	0.879
ə	ə	0.076
ə	e	0.037
ɡ̊	ɡ	0.893
ɡ̊	x	0.061
ɡ̊	-	0.051
ʁ	r	0.941
ʁ	-	0.059
ʋ	w	0.631
ʋ	ʍ	0.163
ʋ	-	0.159
ʋ	ˈei̯	0.043
ʦʰ	tʰ	0.518
ʦʰ	θ	0.416
ʦʰ	d	0.063
ʨ	θ	1.0
ˈa	ˈɑː	0.304
ˈa	ˈɑ	0.157
ˈa	ˈe	0.127
ˈa	ˈɛ	0.114
ˈa	ˈɪ	0.111
ˈaː	ˈe	0.492
ˈe	ˈɪ	0.705
ˈe	ˈɛ	0.154
ˈe	ˈei̯	0.088
ˈe	ˈəi̯	0.054
ˈeˀ	ˈe	0.414
ˈeˀ	ˈɛ	0.159
ˈeˀ	ˈiː	0.138
ˈeˀ	ˈɑː	0.11
ˈeˀ	ˈei̯	0.071
ˈeː	ˈe	0.373
ˈeː	ˈiː	0.183
ˈi	ˈɪ	0.183
ˈi	ˈiː	0.16
ˈi	ˈəi̯	0.104
ˈiˀ	ˈəi̯	0.516
ˈiˀ	ˈɪ	0.245
ˈiˀ	ˈiː	0.094
ˈiˀ	ˈɛ	0.094
ˈiː	ˈɪ	0.253
ˈiː	ˈəi̯	0.222
ˈiː	ˈʌʉ̯	0.172
ˈiː	ˈeː	0.143
ˈo	ˈɔ	0.663
ˈo	ˈɪ	0.26
ˈo	w	0.056
ˈoˀ	ˈø	0.455
ˈoˀ	ˈɪ	0.218
ˈoˀ	ˈʉ	0.218
ˈoˀ	ˈɑː	0.109
ˈoː	ˈei̯	0.308
ˈoː	ˈɪ	0.268
ˈoː	ˈe	0.164
ˈoː	ˈʌʉ̯	0.164
ˈu	ˈɔ	0.417
ˈu	ˈʉ	0.327
ˈu	ˈʌʉ̯	0.139
ˈu	ˈʌ	0.101
ˈuˀ	ˈʉ	0.782
ˈuˀ	ˈaːɪ̯	0.08
ˈuˀ	ɫ	0.056
ˈuˀ	j	0.055
ˈuː	ˈʉ	0.574
ˈuː	ˈɛ	0.282
ˈy	ˈɪ	0.242
ˈyˀ	ˈei̯	0.377
ˈyˀ	ˈe	0.224
ˈyˀ	j	0.148
ˈyˀ	ˈɛ	0.104
ˈyˀ	ˈɪ	0.104
ˈyː	ˈiː	0.574
ˈyː	ˈe	0.282
ˈæ	r	0.574
ˈæ	ˈɛ	0.282
ˈæˀ	ˈeː	0.242
ˈø	ˈɪ	1.0
ˈøː	ˈei̯	1.0
ˈœ	ˈɪ	0.398
ˈœ	ˈɔ	0.376
ˈœ	ˈi	0.125
ˈœ	ˈiː	0.091
ˈœˀ	ˈei̯	0.354
ˈœˀ	ˈe	0.234
ˈœˀ	ˈiː	0.177
ˈœˀ	ˈi	0.117
ˈœˀ	-	0.087
ˈœː	ˈɛ	1.0
ˈɑ	-	0.397
ˈɑ	ˈɑ	0.366
ˈɑ	ˈɑː	0.143
ˈɑ	ˈiː	0.073
ˈɑˀ	ˈɛ_r	0.45
ˈɑˀ	ˈei̯	0.297
ˈɑˀ	ˈəi̯	0.182
ˈɑː	ˈe	1.0
ˈɒˀ	ˈiː	0.66
ˈɒˀ	ˈe	0.16
ˈɒː	ˈɔ	0.574
ˈɒː	l	0.282
ˈɔ	ˈʉ	0.594
ˈɔ	ˈɔ	0.392
ˈɔˀ	ˈɑ	0.143
ˈɔˀ	ˈei̯	0.138
ˈɔˀ	j	0.132
ˈɔˀ	ˈeː	0.132
ˈɔˀ	ˈɔ	0.093
ˈɔː	ˈø	0.373
ˈɔː	ˈɛ	0.183
ˈɛ	ˈɑ	0.244
ˈɛ	ˈɪ	0.208
ˈɛ	ˈɛ	0.181
ˈɛ	ˈʌ	0.119
ˈɛ	ˈɔ	0.091
ˈɛ_lˀ	ˈɑː	1.0
ˈɛˀ	ˈɑː	0.193
ˈɛˀ	ˈiː	0.128
ˈɛˀ	ˈe	0.118
ˈɛˀ	ˈi	0.118
ˈɛˀ	ˈɛ	0.083
ˈɛː	ˈei̯	0.425
ˈɛː	ˈɔ	0.24
ˈɛː	ˈeː	0.136
ˈʌ	ˈʌ	0.306
ˈʌ	ˈɑː	0.202
ˈʌ	ˈa	0.111
ˈʌ	ˈø	0.111
ˈʌ	-	0.104
ˈʌˀ	ˈiː	1.0
