Upper Sorbian	Upper Sorbian	probability
ʧ	ʧ	1.0
ʥ	d	1.0
ʒ̊	ʒ_ĭ	1.0
ʒ	ʒ	1.0
ʀ_#>	r_ŭ_#>	1.0
ɦ	ɡ	1.0
ɥ	v	1.0
ɔ_m	m_ĭ	1.0
ɔ_d	o_d	1.0
ɔ_#>	o_#>	1.0
z̥	z_ŭ	1.0
z	z	1.0
xʲ	x	1.0
x_#>	ɡ_ŭ_#>	1.0
w_#>	l_ŭ_#>	1.0
t_ɪ	t_ŭ	1.0
t_#>	t_ŭ_#>	1.0
t	t	1.0
s_#>	s_ŭ_#>	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
l_#>	l_ĭ_#>	1.0
kʲ	k	1.0
k_#>	k_ŭ_#>	1.0
k	k	1.0
d̥	d_ŭ	1.0
d	d	1.0
b̥	b_ŭ	1.0
bʲ	b	1.0
b	b	1.0
<#_ʨ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
ʀʲ	r	0.9
s	s	0.879
l	l	0.818
ʀ	r	0.8
w	l	0.609
ʦ	ʦ	0.6
x	x	0.6
<#_w	<#	0.6
a	a	0.574
ʨ	t_ĭ	0.562
#>	̌_#>	0.533
ɪ	ŭ	0.5
w_ɪ	v_ŭ	0.5
w_ɪ	l_ŭ	0.5
j	j	0.5
j	-	0.5
ʨ	t_i	0.438
ʦ	k_t	0.4
ɛ	e	0.4
x	̂_x	0.4
i	ŭ	0.4
<#_w	<#_v	0.4
ɔ	o	0.395
ɲ	ɲ	0.333
ɲ	n_ĭ	0.333
ɲ	n	0.333
u	uː	0.3
u	õː	0.3
ʃ	ʧ	0.286
ʃ	r	0.286
ʃ	-	0.286
o	oː	0.267
o	o_̂	0.267
#>	ŭ_#>	0.267
ʀ	o	0.2
ɛ	-	0.2
u	-	0.2
o	̂_l	0.2
i	iː	0.2
i	i_̌	0.2
i	i	0.2
e	ɛː_̂	0.2
#>	ĭ_#>	0.2
ɔ	o_̌	0.186
l	ʎ	0.182
w	v	0.174
a	a_ˀ	0.17
ɛ	ɛː	0.16
e	-	0.16
u	õː_̌	0.15
ʃ	ʤ	0.143
ɔ	e	0.14
ɪ	ɨ_ˀ	0.136
o	o	0.133
o	-	0.133
w	ŭ	0.13
s	s_ŭ	0.121
ɛ	ɛː_̌	0.12
ɛ	ẽ	0.12
e	ɛː_̌	0.12
e	ɛː	0.12
e	ĭ	0.12
e	e_̂	0.12
ʀʲ	rʲ	0.1
ɔ	ĭ_̌	0.093
ɔ	ĭ	0.093
ɪ	ɨː_̂	0.091
ɪ	ɨ	0.091
ɪ	i	0.091
ɪ	e	0.091
w	oː	0.087
a	aː	0.085
e	ɛː_ˀ	0.08
e	ĭ_̂	0.08
