Old English	Faroese	probability
a	ə	1.0
b	b̥	0.965
bː	v	1.0
d	d̥	0.49
d	-	0.422
dː	j	1.0
e	ʊ	0.394
e	a	0.309
e	-	0.16
e	ɪ	0.137
eo̯	ɪ	1.0
f	f	0.662
f	v	0.236
f	m	0.065
h	h	0.89
h	-	0.11
i	-	0.422
i	a	0.381
i	ɛ	0.197
iːy̯	a	1.0
j	ɡ̊	0.29
j	v_ʊ	0.144
j	tʰ	0.097
j	ʤ̊	0.097
j	w	0.095
j	ʊ	0.092
j	-	0.073
j	ɡ̊ː	0.061
k	k	0.491
k	kʰ	0.391
k	ʰk	0.072
kː	ʰkː	1.0
l	l	0.831
l	-	0.074
l	l̥	0.052
lː	t_l̥	1.0
l̥	l	1.0
m	m	0.942
m	-	0.058
mː	m	1.0
n	n	0.529
n	n̥	0.181
n	ʤ̊ː	0.112
n	-	0.091
n	ŋ	0.06
nː	nː	0.864
nː	v	0.136
o	ɪ	0.568
o	ʊ	0.268
o	-	0.164
p	p	0.544
p	ɹ	0.171
p	v	0.167
p	ʰp	0.118
pː	ʰp	0.695
pː	ʰpː	0.305
r	ɹ	0.837
r	t	0.085
rː	ɹː	0.527
rː	ˈœ	0.473
r̥	ɹ	1.0
s	s	0.856
s	ʃ	0.119
t	t	0.435
t	ʰt	0.185
t	tʰ	0.183
t	-	0.111
t	ʰtː	0.051
tː	t	1.0
u	ʊ	1.0
v	v	0.701
v	f	0.116
v	-	0.11
v	tː	0.073
w	v	0.611
w	-	0.35
x	ʰtː	0.591
x	s	0.198
x	v	0.108
x	-	0.103
z	s	1.0
ç	ʰtː	0.895
ç	-	0.105
ð	w	0.587
ð	-	0.263
ð	nː	0.15
ŋ	ŋ	0.942
ŋ	ɲ	0.058
ɑ	a	0.849
ɡ	ɡ̊	0.93
ɡ	-	0.063
ɣ	j	0.342
ɣ	ɡ̊	0.298
ɣ	w	0.187
ɣ	ʧː	0.097
ɣ	ʤ̊	0.076
ɫ	l	0.642
ɫ	l̥	0.341
ʃ	ʃ	0.553
ʃ	s	0.268
ʃ	f	0.159
ʃː	k	0.568
ʃː	ʃ	0.432
ʍ	kʰ	1.0
ʤ	ʤ̊ː	0.544
ʤ	ɡ̊ː	0.456
ʤː	j	1.0
ʧ	kʰ	0.256
ʧ	ʧʰ	0.256
ʧ	ʧ	0.179
ʧ	k	0.179
ʧ	-	0.128
ʧː	ʰʧː	1.0
ˈe	ˈɛ	0.275
ˈe	ˈeː	0.154
ˈe	ˈøː	0.131
ˈe	ˈoː	0.099
ˈe	j	0.083
ˈe	ˈɛːa̯	0.083
ˈe	ˈeə̯	0.055
ˈe	ˈiː	0.055
ˈeo̯	j	0.43
ˈeo̯	ˈœ	0.238
ˈeo̯	ˈuː	0.159
ˈeo̯	ˈøː	0.088
ˈeː	ˈøː	0.424
ˈeː	ˈɛːa̯	0.247
ˈeː	ˈeː	0.216
ˈeː	w	0.069
ˈeːo̯	ˈɔːu̯	0.224
ˈeːo̯	ˈʊ̯iː	0.168
ˈeːo̯	ˈʉːu̯	0.144
ˈeːo̯	ˈʊ	0.12
ˈeːo̯	ˈa	0.104
ˈeːo̯	ˈɛːa̯	0.064
ˈeːo̯	ˈɛ	0.059
ˈi	ˈɪ	0.588
ˈi	ˈiː	0.145
ˈi	ˈɛ	0.087
ˈiy̯	ˈeː	0.598
ˈiy̯	ˈɛ	0.165
ˈiy̯	ˈœ	0.118
ˈiy̯	ˈɛːa̯	0.118
ˈiː	ˈʊ̯iː	0.803
ˈiː	ʊ̯ˈiː	0.098
ˈiː	ˈɪ	0.098
ˈiːy̯	ˈɔːi̯	0.485
ˈiːy̯	ˈʊ	0.363
ˈiːy̯	ˈʊ̯iː	0.152
ˈo	ˈɔ	0.433
ˈo	ˈoː	0.195
ˈo	ˈiː	0.172
ˈo	ˈœ	0.072
ˈoː	ˈɔːu̯	0.541
ˈoː	ˈɔ̯aː	0.367
ˈu	ˈʊ	0.716
ˈu	ˈoː	0.085
ˈu	ˈɔ	0.085
ˈu	ˈuː	0.083
ˈuː	ˈʉːu̯	0.499
ˈuː	ˈɪ	0.254
ˈuː	ˈʊ	0.108
ˈuː	ˈɔ	0.08
ˈuː	ˈʏ	0.059
ˈy	ˈʊ	0.382
ˈy	ˈɔ	0.35
ˈy	ˈɪ	0.268
ˈyː	ˈʊ̯iː	0.312
ˈyː	ˈɪ	0.256
ˈyː	ʊ	0.18
ˈyː	ˈʉːu̯	0.154
ˈyː	ˈʊ	0.099
ˈæ	ˈɛːa̯	0.468
ˈæ	ˈa	0.289
ˈæ	v_ˈɛːa̯	0.158
ˈæɑ̯	ˈa	0.893
ˈæɑ̯	ˈɔ	0.107
ˈæː	ˈɔ̯aː	0.441
ˈæː	ˈoː	0.246
ˈæː	ˈɛ	0.221
ˈæː	ˈɔ	0.056
ˈæːɑ̯	ˈɔ̯aː	0.422
ˈæːɑ̯	ˈɛːi̯	0.39
ˈæːɑ̯	ˈɔːi̯	0.095
ˈɑ	ˈa	0.606
ˈɑ	ˈɛːa̯	0.281
ˈɑ	ˈɛ	0.077
ˈɑː	ˈaːi̯	0.376
ˈɑː	ˈai̯	0.314
ˈɑː	ˈɔ̯aː	0.173
ˈɑː	ˈɛ	0.095
ˈɛ	ˈɛ	0.682
ˈɛ	ˈɔ	0.318
θ	tʰ	0.616
θ	ʧʰ	0.162
θ	-	0.121
θ	nː	0.061
