Spanish	Neapolitan	probability
f	f	1.0
i	i	1.0
p	p	1.0
w	w	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʧ	tː	1.0
ˈa	ˈa	1.0
a	ə	0.781
n	n	0.851
x	-	0.161
x	kː_j	0.261
ɾ	r	0.161
ˈe	ˈe	0.141
ˈo	ˈu	0.471
β	v	0.601
a	a	0.2
e	e	0.062
l	l_ə	0.052
l	ɾ	0.12
x	ʎː	0.502
ˈo	ˈɔ	0.252
ˈu	ˈo	0.082
θ	ʃː	0.092
j	j	0.73
k	kː	0.063
n	n_ə	0.103
o	o	0.053
ð	t	0.993
ɟ͡ʝ	j	0.413
ɟ͡ʝ	k_j	0.453
ʝ	-	0.223
ˈo	ˈo	0.213
β	p	0.383
d	-	0.24
o	ə	0.874
t	t	0.884
ɟ͡ʝ	<#_f	0.134
ɣ	k	0.834
ɾ	ɾ_ə	0.194
ˈi	ˈi	0.894
e	-	0.055
e	i	0.105
r	r	0.955
s	s	0.955
ɲ	nː	0.235
ɲ	ɲː	0.765
ɾ	ɾ	0.575
d	d	0.76
l	l	0.776
t	tː	0.116
ˈe	ˈɔ	0.226
ˈi	i	0.056
j	-	0.27
k	k	0.937
x	ʤ	0.077
ɣ	-	0.087
ʝ	lː	0.777
ˈe	-	0.057
ˈo	w_ˈɔ	0.057
θ	ʦ	0.07
θ	ʃ	0.557
b	v	0.958
e	ə	0.778
m	m	0.968
o	u	0.068
ˈe	ˈi	0.188
ˈu	ˈu	0.918
θ	-	0.238
ɣ	ɡ	0.079
ˈe	ˈa	0.059
ˈe	ˈɛ	0.259
