Romanian	Romanian	probability
ˈɨ_j	ˈɑ	1.0
ˈə	-	1.0
ˈu_n	ˈo	1.0
ˈi_n	ˈe	1.0
ˈe_ʤ	ˈe	1.0
ʦʲ	ð_o	1.0
ʤ	ʃ	1.0
ʒ	ʃ	1.0
ə_#>	#>	1.0
ŋ	-	1.0
v	b	1.0
t_e	θ_ˈe	1.0
t_#>	t_ʊ_#>	1.0
s_#>	s_ʊ_#>	1.0
r_e	ɾ	1.0
p_t	j_t	1.0
p_l	ʧ	1.0
o̯ˈa_m	ˈo	1.0
o	-	1.0
nʲ	s	1.0
n_ʧʲ	ŋ_k	1.0
n_e	ŋ	1.0
m_e	m_ɪ	1.0
kʲ	ɟ_ʊ	1.0
k_#>	ɣ_ʊ_#>	1.0
j_ˈe	ˈɛ	1.0
j_ˈa	ˈɛ	1.0
j_#>	s_#>	1.0
f_l	ʧ	1.0
f	f	1.0
e_#>	#>	1.0
a	ɐ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_s	1.0
<#_t	<#_t	1.0
<#_s	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_a	<#_a	1.0
ʧ	θ	0.895
ə	ɐ	0.851
p	p	0.84
d	d	0.786
k	k	0.778
#>	ʊ_#>	0.761
ˈa	ˈa	0.75
r	ɾ	0.745
ʦ	θ	0.714
z	d	0.714
ˈe	ˈe	0.708
m	m	0.706
l	l	0.667
b	b	0.667
ˈi	ˈi	0.625
s	s	0.625
ɡ	ɡ	0.6
u	o	0.6
r_#>	ʊ_#>	0.571
ˈɨ	ˈa	0.556
ˈo	ˈɔ	0.55
ˈu	ˈo	0.528
n	n	0.526
ɨ	a	0.5
ɨ	-	0.5
r_u	ɾ_ʊ	0.5
r_u	e_ɾ	0.5
j	ɟ	0.5
<#	<#_l	0.5
<#	<#_a	0.5
t	ð	0.485
ˈɨ	ˈɑ	0.444
ʃ	s	0.429
r_#>	#>	0.429
i	i	0.429
e̯ˈa	ˈe	0.429
t	t	0.424
o̯ˈa	ˈo	0.412
e	ɪ	0.39
o̯ˈa	ˈɔ	0.353
ˈo	ˈo	0.35
ˈu	ˈu	0.333
w	β_ʊ	0.333
w	w	0.333
w	-	0.333
b	β	0.333
ʦ	t	0.286
ʃ	j_ʃ	0.286
ʃ	-	0.286
z	-	0.286
i	e	0.286
i	-	0.286
e̯ˈa	ˈɛ	0.286
e̯ˈa	l_ɐ	0.286
ˈi	ˈe	0.281
u	u	0.267
s	e_s	0.25
j	ɲ	0.25
j	-	0.25
d	-	0.214
n	ɲ	0.211
ˈe	ˈɛ	0.208
ɡ	ɣ	0.2
ɡ	-	0.2
e	ɐ	0.195
m	-	0.176
l	j	0.167
l	-	0.167
k	ɣ	0.167
e	-	0.146
ˈa	a	0.136
u	e	0.133
n	ŋ	0.132
s	ʃ	0.125
o̯ˈa	o	0.118
o̯ˈa	-	0.118
m	m_ɪ	0.118
r	r	0.106
r	l	0.106
ʧ	k	0.105
n	-	0.105
ˈo	ˈu	0.1
ˈi	-	0.094
t	-	0.091
#>	ɐ_#>	0.087
#>	s_#>	0.087
ˈu	ˈɔ	0.083
ˈe	-	0.083
p	β	0.08
p	-	0.08
e	e	0.073
ˈa	ˈe	0.068
#>	ɪ_#>	0.065
ə	-	0.064
ˈu	ˈi	0.056
k	-	0.056
