Sassarese	Sassarese	probability
ˈe_u	ˈə	1.0
ʧː	k_ʎ	1.0
ʧ	k_ʎ	1.0
ʦː	-	1.0
ʤː	ʤ	1.0
ʣ	ʣ	1.0
ʎː	ʎ	1.0
ʃː	ʃ_t	1.0
ɮ	-	1.0
ɬ_t	r_t	1.0
ɡː	k	1.0
ŋ	-	1.0
z	-	1.0
xː	s_k	1.0
x	k	1.0
w	p	1.0
u_#>	#>	1.0
t	t	1.0
sː	s	1.0
r_u_#>	r_#>	1.0
pː	p	1.0
p_ˈe	k_e̯ˈa	1.0
nː	n	1.0
n_u_#>	n_#>	1.0
mː	m	1.0
kː	k	1.0
k_a	k	1.0
j_ˈa	l_e̯ˈa	1.0
e	ʎ_ˈi	1.0
dː_u_#>	l_#>	1.0
bː	p	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʦ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
k	k	0.895
n	n	0.885
p	p	0.882
#>	i_#>	0.88
l	l	0.857
a	ə	0.857
b	b	0.833
r	r	0.808
dː	t	0.8
ʦ	ʦ	0.778
m	m	0.778
r_a	r_ə	0.75
f	f	0.75
ˈu	ˈu	0.667
s	s	0.667
<#_i	<#	0.667
i	i	0.654
ˈo	ˈu	0.647
β	-	0.636
d	d	0.636
u	u	0.633
ɡ	ɡ	0.625
v	v	0.6
rː	r_n	0.6
ʤ	ʣ	0.571
tː	p_t	0.556
ɲː	n_ʣ	0.5
ɲː	n	0.5
ɬ	s	0.5
ɬ	l	0.5
a_r	u_r	0.5
a_r	i_r	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
ˈa	ˈa	0.486
ˈɔ	ˈo	0.464
tː	t	0.444
ʤ	ʤ	0.429
ˈi	ˈi	0.407
v	j	0.4
rː	r	0.4
ɡ	k	0.375
β	w	0.364
s	ʃ	0.333
j	-	0.333
<#_i	<#_s	0.333
ˈe	ˈe	0.316
ˈɛ	ˈi	0.292
ˈɛ	ˈe	0.292
ˈɛ	e̯ˈa	0.292
ˈɔ	ˈu	0.286
j	r	0.267
ˈe	e̯ˈa	0.263
ˈɔ	o̯ˈa	0.25
r_a	r	0.25
f	ç	0.25
ˈa	ˈa_r	0.243
ˈo	ˈo	0.235
d	ʣ	0.227
ʦ	-	0.222
ˈe	ˈa	0.211
ˈu	ˈo	0.2
j	l	0.2
j	j	0.2
dː	-	0.2
ˈi	i_r	0.185
u	i	0.184
b	-	0.167
ˈa	ˈɨ	0.162
ˈi	ˈi_r	0.148
l	ʎ	0.143
d	t	0.136
ˈu	-	0.133
ˈɛ	ˈa	0.125
#>	r_i_#>	0.12
ˈo	o̯ˈa	0.118
p	k	0.118
r	a	0.115
n	-	0.115
i	ə	0.115
ˈi	ə	0.111
m	ɲ	0.111
m	-	0.111
ˈe	e̯ˈa_r	0.105
ˈe	-	0.105
k	-	0.105
u	ə	0.102
a	i	0.086
r	u	0.077
i	e	0.077
ˈi	r	0.074
ˈi	-	0.074
a	-	0.057
ˈa	r	0.054
ˈa	-	0.054
