Logudorese	Logudorese	probability
ˈɛ_ɣ	i	1.0
ˈɛ_n	ã	1.0
ˈɔ_ɛ	œ_f	1.0
ˈɔ_n	ɒ̃ʊ̯̃	1.0
ˈɔ_j	u	1.0
ˈu_ɾ	u	1.0
ˈu_t	ɥ	1.0
ˈo_ɣ	øʏ̯	1.0
ˈo_u	œ_f	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈi_ʣ	ɪ	1.0
ˈi_ɖː	ɪ	1.0
ˈi_t	w	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈe_ɖː	oʊ̯	1.0
ˈe	-	1.0
ˈa_ɾ	e	1.0
ˈa_ð	e	1.0
ˈa_t	æɛ̯	1.0
ˈa_n	ẽɪ̯̃	1.0
ʣ_a	j	1.0
ɾ_ˈɛ	ʁ_w	1.0
ɾ_ˈa	ʁ_æɛ̯	1.0
ɾ_ʦ	ʁ_s	1.0
ɣ_ɛ_#>	ɛ_#>	1.0
ɣ	-	1.0
ɛ̆	-	1.0
ɛ_n_ɛ_#>	#>	1.0
ɛ_#>	#>	1.0
ɖː	-	1.0
ɔ̆	-	1.0
ɔ_n	ɒ̃ʊ̯̃	1.0
ŋ	-	1.0
ð_u	ɛ	1.0
z	-	1.0
ŭ	-	1.0
u_z	øʏ̯	1.0
u_#>	#>	1.0
s_ˈa	s	1.0
s_p	p	1.0
s_k	k	1.0
r	ʁ	1.0
o	ɑɔ̯	1.0
nː_u	ã	1.0
n_u	ẽɪ̯̃	1.0
n_t	ã	1.0
m_b	ã	1.0
l_u_#>	#>	1.0
k_ˈa	ʃ	1.0
k_ɾ	k_l	1.0
k_i	s	1.0
k_a	ʃ	1.0
j_ˈa_ɾ_ɛ	e	1.0
j_u	ʒ	1.0
f_ɾ	f_l	1.0
f	f	1.0
e	-	1.0
ă	-	1.0
a_l	a_l	1.0
<#_ɾ	<#_ʁ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
a_#>	#>	0.93
ɾ	ʁ	0.87
p	p	0.867
ð	-	0.818
m	m	0.794
ɔ	-	0.75
s	s	0.706
i	-	0.706
l	l	0.692
ɛ_ɾ	ʁ	0.667
n	n	0.65
d	d	0.643
t	t	0.607
l_u	ɛ_l	0.6
β	v	0.5
β	-	0.5
ʦ	s	0.5
ʦ	-	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
nː	d	0.5
nː	-	0.5
ʣ	-	0.444
k	k	0.432
a	-	0.429
b	v	0.419
l_u	l	0.4
b	b	0.395
t	-	0.393
a	a	0.357
ˈa	æɛ̯	0.344
ˈu	y	0.333
ʣ	ʒ	0.333
ɛ_ɾ	ɛ_ʁ	0.333
ɛ	œ	0.333
j	l	0.333
j	j	0.333
j	-	0.333
u	-	0.294
ˈo	ɔ	0.273
ˈo	ɑɔ̯	0.273
ˈo	u	0.273
k	ʃ	0.27
ˈi	ɪ	0.263
ˈɛ	j	0.261
ˈa	a	0.25
ɔ	ɔ	0.25
n	ã	0.25
ˈi	i	0.237
u	i	0.235
s	-	0.235
ˈɔ	-	0.231
ʣ	j	0.222
ˈɛ	æɛ̯	0.217
ˈɛ	w	0.217
d	-	0.214
a	ɲ	0.214
ɛ	ɛ	0.2
ɛ	i	0.2
ˈɔ	ɑɔ̯	0.192
ˈa	oʊ̯	0.188
ˈo	-	0.182
ð	ɛ	0.182
u	u	0.176
u	l	0.176
i	w	0.176
k	s	0.162
ˈi	ɛ	0.158
ˈi	w	0.158
ˈa	-	0.156
ˈɔ	u	0.154
l	ɛ_l	0.154
l	-	0.154
ˈu	w	0.148
ˈu	u	0.148
ˈu	-	0.148
m	-	0.147
d	ʣ	0.143
b	ʒ	0.14
k	-	0.135
ɛ	ʁ	0.133
ɛ	-	0.133
p	-	0.133
ˈɛ	-	0.13
u	ɛ	0.118
i	æɛ̯	0.118
ˈɔ	ɔ	0.115
ˈɔ	œ	0.115
ˈɔ	aœ̯	0.115
ˈu	ʏ	0.111
ˈu	ʊ	0.111
n	ẽɪ̯̃	0.1
ˈɛ	ɛ	0.087
ˈɛ	i	0.087
ˈi	æɛ̯	0.079
ˈɔ	ɒ̃ʊ̯̃	0.077
ɾ	-	0.074
a_#>	l_#>	0.07
ˈa	e	0.062
s	o	0.059
m	ã	0.059
ɾ	l	0.056
ˈi	w_ɛ	0.053
ˈi	-	0.053
