Swedish	Yiddish	probability
a	-	0.368
a	n	0.308
a	ə_n	0.236
a	ə	0.043
a	ɡ_n	0.039
b	b	1.0
d	t	0.759
d	d	0.14
d	-	0.07
d	s	0.04
e	ə	0.271
f	f	1.0
h	h	0.927
h	k	0.072
j	ɡ	0.23
j	ˈɛ	0.212
j	-	0.158
j	t	0.104
j	ˈa	0.083
jː	ˈɔ	0.271
k	χ	0.541
k	k	0.339
k	ʧ	0.109
kʰ	k	0.889
kʰ	-	0.096
kː	ŋ_k	1.0
l	l	1.0
lː	l	1.0
m	m	0.84
m	ə_m	0.084
m	n	0.073
mː	m	1.0
n	n	0.907
n	ʀ	0.044
n	-	0.04
n	m	0.039
nː	n	0.77
nː	l	0.141
nː	-	0.083
p	f	0.829
p	p	0.146
pʰ	f	0.271
pː	f	1.0
r	ʀ	0.906
r	-	0.049
r_a	ʀ	1.0
rː	k	0.521
s	z	0.509
s	ʃ	0.255
s	s	0.099
s	ʃ_v	0.078
s	-	0.052
s_k	ʃ	1.0
sː	z	1.0
t	s	0.474
t	t	0.38
t	d	0.075
t	ʦ	0.064
tʰ	ʦ	0.438
tʰ	d	0.325
tʰ	t	0.146
tʰ	ʁ	0.083
tː	χ_t	0.472
tː	s	0.25
tː	ʦ	0.132
tː	χ	0.132
v	v	0.559
v	f	0.188
v	b	0.138
v	p	0.091
ŋ	k	0.204
ŋ	ɪ	0.204
ŋ	ŋ	0.204
ŋ	v	0.14
ŋ	ɡ	0.056
ŋː	ŋ_ɡ	0.492
ŋː	ŋ	0.464
ɕ	k	0.574
ɕ	d	0.299
ɖ	d	0.871
ɖ	t	0.064
ɛ	-	0.46
ɛ	ə	0.35
ɛ	ɡ_ə	0.115
ɛ	ɛ	0.066
ɡ	ɡ	0.749
ɡ	χ	0.118
ɡ	k	0.068
ɡ	-	0.057
ɡː	k	0.629
ɡː	-	0.361
ɧ	ʃ	0.484
ɧ	z	0.238
ɧ	ʧ	0.166
ɪ	ɪ	0.392
ɪ	-	0.235
ɪ	ə	0.235
ɳ	ʀ	1.0
ɳː	n	1.0
ɵ	-	0.683
ɵ	ɪ	0.235
ʈː	ʦ	1.0
ʊ	ˈɛ	0.344
ʊ	n	0.179
ˈa	ˈa	0.838
ˈa	ˈɔ	0.158
ˈeː	ˈɛɪ̯	0.474
ˈeː	ˈɛ	0.272
ˈeː	ˈaɪ̯	0.125
ˈeː	ˈɪ	0.096
ˈeː	ˈa	0.047
ˈiː	ˈaɪ̯	0.743
ˈiː	ˈɪ	0.124
ˈiː	-	0.104
ˈoː	ˈɔ	0.421
ˈoː	ˈa	0.156
ˈoː	ˈɛɪ̯	0.103
ˈoː	ˈʊ	0.103
ˈoː	j	0.083
ˈuː	ˈʊ	0.782
ˈuː	ʀ	0.101
ˈuː	ˈɔ	0.092
ˈyː	ˈɪ	0.596
ˈyː	ˈaɪ̯_ə	0.217
ˈyː	ˈaɪ̯	0.082
ˈæ	ʀ	0.271
ˈæː	ˈɛ	1.0
ˈøː	ˈɔɪ̯	0.622
ˈøː	ˈɪ	0.16
ˈøː	-	0.085
ˈøː	ˈɛɪ̯	0.071
ˈøː	ˈi	0.06
ˈœ	ˈɪ	0.286
ˈœ	ˈɔ	0.243
ˈœ	ˈɔɪ̯	0.212
ˈœ	ˈaɪ̯	0.14
ˈœ	ˈʊ	0.085
ˈœː	ˈɔɪ̯	0.66
ˈœː	ˈɛ	0.179
ˈɑː	ˈɔ	0.588
ˈɑː	ˈa	0.374
ˈɑː	-	0.053
ˈɔ	ˈɔ	0.266
ˈɔ	ˈʊ	0.244
ˈɔ	ˈa	0.153
ˈɔ	ˈɪ	0.117
ˈɔ	ˈɛ	0.117
ˈɛ	ˈɛ	0.461
ˈɛ	ˈɪ	0.186
ˈɛ	ˈɛɪ̯	0.127
ˈɛ	ˈaɪ̯	0.11
ˈɛ	ˈa	0.063
ˈɛː	ˈɛ	0.478
ˈɛː	ˈɔ	0.268
ˈɛː	ˈɛɪ̯	0.115
ˈɛː	ˈɪ	0.111
ˈɪ	ˈɪ	0.934
ˈɪ	ʀ	0.071
ˈɵ	ˈɪ	0.175
ˈɵ	v_ˈɔ	0.175
ˈɵ	ˈɛ	0.175
ˈɵ	ˈɔɪ̯	0.152
ˈɵ	ˈʊ	0.152
ˈʉː	ˈɔɪ̯	0.52
ˈʉː	ˈɪ	0.208
ˈʉː	ˈɔ	0.134
ˈʉː	ˈɛ	0.088
ˈʉː	ˈʊ	0.052
ˈʊ	ˈʊ	0.85
ˈʊ	ˈɔ	0.091
ˈʏ	ˈɪ	0.561
ˈʏ	ˈɛ	0.28
ˈʏ	ˈaɪ̯	0.118
