Swiss German	Westphalian	probability
b̥	b	0.716
b̥	v	0.119
b̥	f	0.11
b̥	-	0.051
d̥	d	0.82
d̥	-	0.104
d̥	t	0.065
d̥_ə	ɐ	1.0
f	f	0.791
f	p	0.125
f	v	0.037
f	-	0.034
f	b	0.034
fː	p	1.0
h	h	0.869
h	k	0.074
h	-	0.059
i	ɪ	0.579
i	n	0.209
i	ə	0.209
j	j	1.0
k	k	1.0
l	l	0.98
l	-	0.031
m	m	0.939
m	v	0.06
mː	m	0.491
n	n	0.961
n	-	0.044
p	p	1.0
p͡f	p	1.0
r	r	0.424
r	-	0.365
r	ɐ	0.193
r_ˈu	ˈuːə̯	1.0
rː	ɐ	0.241
s	s	0.736
s	t	0.16
s	z	0.059
s	-	0.041
sː	t	1.0
t	d	0.484
t	t	0.433
t	-	0.081
tː	d	0.723
tː	-	0.204
ŋ	ŋ	0.733
ŋ	n_d	0.194
ŋ	n	0.063
ə	n	0.356
ə	-	0.287
ə	ɐ	0.216
ə	ə	0.134
ɡ̊	x	0.432
ɡ̊	-	0.144
ɡ̊	ç	0.138
ɡ̊	ɡ	0.12
ɡ̊	ŋ	0.06
ɡ̊ː	k	0.574
ɡ̊ː	ɣ	0.282
ʃ	ʃ	0.582
ʃ	s	0.21
ʃ	ʃ_k	0.201
ʃː	ʃ	0.241
ʋ	w	0.892
ʋ	v	0.06
ʋ	-	0.051
ʦ	t	1.0
ˈa	ˈa	0.725
ˈa	ˈɔ	0.188
ˈau̯	ˈaʊ̯	1.0
ˈe	ˈɛ	0.461
ˈe	ˈɪ	0.265
ˈe	ˈɪɛ̯	0.265
ˈei̯	ˈeː	0.715
ˈei̯	ˈaɪ̯	0.172
ˈei̯	ˈiː	0.044
ˈeː	ˈɪɛ̯	0.488
ˈeː	ˈaɪ̯	0.316
ˈi	ˈɪ	0.692
ˈi	ˈɪɛ̯	0.121
ˈi	ˈiː	0.105
ˈi	ˈɪə̯	0.069
ˈiə̯	ˈiː	0.364
ˈiə̯	ˈɛ	0.209
ˈiə̯	ˈaɪ̯	0.142
ˈiə̯	ˈeː	0.096
ˈiə̯	ˈɪ	0.092
ˈiː	ˈiː	0.875
ˈiː	ˈɪ	0.123
ˈo	ˈɔ	0.178
ˈo	ˈʊ	0.178
ˈo	ˈyː	0.117
ˈo	ˈɔː	0.117
ˈo	ˈʏ	0.117
ˈou̯	ˈaʊ̯	0.629
ˈou̯	ˈɔ	0.361
ˈoː	ˈaʊ̯	0.487
ˈoː	ˈɔː	0.339
ˈoː	ˈuːə̯	0.161
ˈu	ˈʊ	0.465
ˈu	ˈuː	0.176
ˈu	ˈɔ	0.176
ˈu	ˈʏ	0.124
ˈu_r	ˈuːə̯	1.0
ˈuə̯	ˈoː	0.771
ˈuə̯	ˈaʊ̯	0.163
ˈuə̯	ˈuə̯	0.056
ˈuː	ˈuː	0.657
ˈuː	ˈʊ	0.237
ˈy	ˈiə̯	0.186
ˈy	ˈɪ	0.186
ˈy	ˈʏ	0.186
ˈy	ˈaɪ̯	0.126
ˈy	ˈɛ	0.126
ˈyə̯	ˈøː	0.776
ˈyə̯	ˈoː	0.172
ˈyː	ˈaɪ̯	0.424
ˈyː	ˈyː	0.301
ˈyː	ˈiː	0.103
ˈyː	ˈøː	0.08
ˈyː	ˈɪə̯	0.076
ˈæ	ˈɛ	0.423
ˈæ	ˈɪɛ̯	0.32
ˈæ	ˈɛː	0.13
ˈæ	ˈa	0.111
ˈæi̯	ˈeː	1.0
ˈæː	ˈɪɛ̯	0.401
ˈæː	ˈaɪ̯	0.349
ˈæː	ˈɪə̯	0.162
ˈø	ˈiɛ̯	0.297
ˈø	ˈa	0.182
ˈø	ˈyə̯	0.182
ˈø	ˈʏ	0.182
ˈøi̯	ˈeː	0.24
ˈøi̯	ˈiː	0.147
ˈøi̯	ˈuː	0.135
ˈøi̯	ˈaɪ̯	0.083
ˈøː	ˈøː	0.282
ˈøː	ˈœː	0.282
ˈɒ	ˈa	0.538
ˈɒ	ˈaː	0.276
ˈɒ	ˈɔ	0.052
ˈɒ	ˈaʊ̯	0.052
ˈɒ	ˈɛ	0.052
ˈɒː	ˈɔː	0.451
ˈɒː	ˈa	0.264
ˈɒː	ˈaː	0.103
ˈɒː	ˈɛː	0.077
ˈɒː	ˈɒː	0.062
ˈɛi̯	ˈeː	0.594
ˈɛi̯	ˈɪ	0.392
χ	k	0.667
χ	x	0.235
χ	ç	0.095
χ_s	s	1.0
χ_t	ç	1.0
