Dutch	Dutch	probability
χ_t	x_t	1.0
ˈʏ	ˈɘ̟	1.0
ˈɑu̯	ˈɑ_w	1.0
ˈɑ_ɾ	ˈi̯ø	1.0
ˈœy̯	ˈɑi̯	1.0
ˈøː	ˈɔ	1.0
ˈyː	ˈɑi̯_ɛ	1.0
ˈoː_d̥	ˈu_t	1.0
ˈeː_n	ˈa_n	1.0
ʋ	v	1.0
ɾ_t	ʦ	1.0
ɦ	h	1.0
ə_χ	ɪ_k	1.0
ə_n	a	1.0
w	ˈei̯	1.0
v̥	b̥	1.0
v_ə_n	n	1.0
v_ə	v_ɛ	1.0
s_χ	ʃ	1.0
s_ə	ʧ	1.0
s_t	s_t	1.0
p_#>	f_#>	1.0
n_ɪ	ŋ	1.0
m	m	1.0
j	j	1.0
i	ɑ	1.0
d̥_#>	#>	1.0
d_ɾ	t_r	1.0
b	b	1.0
<#_χ	<#_ɡ	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
#>	ɡ̊_#>	1.0
n	n	0.951
v	f	0.92
ɫ	w	0.868
ɾ	r	0.854
s	ʃ	0.846
z̥	s	0.8
z	z	0.789
ŋ	ŋ	0.778
ˈɔ	ˈu	0.765
ˈɛi̯	ˈai̯	0.714
ˈɪ	ˈɘ̟	0.706
ˈu	ˈʏ	0.667
v̥_#>	f_#>	0.667
p	f	0.667
ˈɑ	ˈɑ	0.652
ˈi	ˈi	0.571
d̥	d̥	0.55
d	d	0.538
k	k	0.536
ə	ɛ	0.52
d	t	0.462
d̥	t	0.45
χ	ɡ̊	0.438
t	ʦ	0.419
t	s	0.419
ˈoː	ˈu	0.368
ˈoː	-	0.368
ˈɛ	ˈɘ̟	0.357
ˈaː	ˈø	0.353
ˈeː	ˈɑ	0.35
ˈɑ	ˈɔ	0.348
ˈu	ˈi	0.333
v̥_#>	#>	0.333
p	p	0.333
ˈeː	ˈa	0.3
ˈaː	-	0.294
ˈɛ	ˈa	0.286
k	x	0.286
ˈoː	ˈɑi̯	0.263
ˈeː	-	0.25
ˈaː	ˈɔ	0.235
ŋ	ɡ̊	0.222
ˈɛ	ˈɛ	0.214
z	ʃ	0.211
ə	ə	0.2
ə	-	0.2
z̥	-	0.2
χ	ɟ	0.188
t	t	0.161
s	k_s	0.154
ɾ	-	0.146
ˈɛi̯	ˈɘ̟_n	0.143
ˈɛi̯	ˈa	0.143
ˈɛ	ˈi	0.143
ˈi	ˈɑ	0.143
ˈi	ˈai̯	0.143
ˈi	-	0.143
k	ç	0.143
ɫ	l	0.132
χ	ɡ	0.125
χ	x	0.125
χ	k	0.125
ˈɪ	ˈei̯	0.118
ˈɪ	-	0.118
ˈɔ	ˈʏ	0.118
ˈɔ	-	0.118
ˈaː	ˈɛ	0.118
ˈeː	ˈɛ	0.1
ə	u	0.08
v	v	0.08
ˈɪ	ˈɪ	0.059
