Old West Norse	East Frisian Low Saxon	probability
θ	d	1.0
ˈɛː_r̥	ˈɛːɪ̯	1.0
ˈɛː	-	1.0
ˈɔː	ˈœːy̯	1.0
ˈɒu̯	ˈoː	1.0
ˈøy̯	ˈøː	1.0
ˈa	-	1.0
ʦ	t_s	1.0
ʝː	ɡ	1.0
ɾ	ɐ_t	1.0
ɡː	-	1.0
ɡ_r̥	ɣ̊	1.0
ɡ_l	ɫ	1.0
ɡ	-	1.0
ɑː	ɑɪ̯	1.0
ð_ɑ	d_n	1.0
ç	h	1.0
x_w	v	1.0
v_ˈi	v	1.0
u	-	1.0
t	t	1.0
sː	-	1.0
r̥ː	ɐ	1.0
r_n	ɐ_n	1.0
pː	p	1.0
pʰ	-	1.0
p	p	1.0
n̥	n	1.0
nː	n	1.0
n_d	n	1.0
n	n	1.0
mː	ˈiː_f	1.0
m	m	1.0
l̥	l	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_k	1.0
k	k	1.0
j_ˈɔ	ˈeːe̯	1.0
j_ˈuː	ˈæɪ̯	1.0
j_ˈoː	ˈæɪ̯	1.0
i_r̥	ɐ	1.0
h	h	1.0
f_r̥	v̥	1.0
f	f	1.0
e	-	1.0
d_r̥	d̥	1.0
d_i	d̥	1.0
cː	k	1.0
cʰ	k	1.0
c	k	1.0
b	b	1.0
ŋ	ŋ	0.864
j	-	0.833
ˈi	ˈɪ	0.805
ɑ	n	0.799
ˈɔ	-	0.798
ˈɛi̯	ˈæɪ̯	0.764
tː	χ	0.755
ɟ	ɡ	0.719
a	n	0.714
ˈyː	-	0.652
d	d	0.643
ˈɑu̯	ˈoː	0.636
ˈiː	ˈiː	0.63
ɣ	ɣ̊	0.627
ˈuː	ˈuː	0.592
i	-	0.588
ð	d̥	0.584
ˈɛ	ˈɑ	0.561
ˈeː	ˈɪ	0.553
s	s	0.52
ˈoː	ˈɑʊ̯	0.492
s	z	0.48
r	ɐ	0.46
ˈeː	-	0.447
ˈɛ	-	0.439
ˈu	ˈʊ	0.435
i	ɐ	0.412
r	r	0.389
ˈo	ˈoː	0.381
ɣ	ɡ	0.373
v	v	0.373
ˈe	-	0.37
ˈɑu̯	-	0.364
d	d̥	0.357
ˈyː	ˈyː	0.348
ˈɑː	ˈɒː	0.344
ˈɑː	-	0.337
ˈøː	ˈœy̯	0.33
ˈøː	-	0.33
ˈo	ˈøː	0.306
ˈu	-	0.305
ˈoː	-	0.292
r̥	ˈɛːɪ̯	0.286
a	-	0.286
ɟ	-	0.281
ˈɑ	ˈɑː	0.274
ˈɑ	ˈɑ	0.267
ˈe	ˈeː	0.255
ð	-	0.249
tː	t	0.245
ˈɛi̯	-	0.236
ˈe	ˈɛ	0.231
ˈøː	ˈɑʊ̯	0.227
ˈy	ˈɪ	0.227
ˈy	-	0.227
ˈy	ˈoː	0.224
ˈuː	ˈʏə̯	0.204
ˈuː	-	0.204
ˈɔ	ˈɑːɑ̯	0.202
ˈɑː	ˈɔː	0.202
ɑ	-	0.201
v	w	0.201
ˈɑ	-	0.197
ˈi	-	0.195
r̥	t	0.193
ˈo	-	0.187
ˈiː	-	0.186
v	v̥	0.176
ˈoː	ˈɔ	0.172
j	ˈʏ	0.167
ð	d	0.166
ˈy	ˈʏə̯	0.161
ˈy	ˈʏ	0.161
r	-	0.151
ˈɑ	ˈɒː	0.147
ˈe	ˈɪ	0.145
r̥	ɐ	0.145
r̥	d̥	0.145
ŋ	-	0.136
v	-	0.133
ˈiː	n	0.129
r̥	r	0.129
ˈo	ˈʊ	0.126
ˈɑː	n	0.117
v	m	0.116
ˈu	ˈœ	0.115
ˈøː	ˈøy̯	0.114
r̥	ɣ̊	0.102
ˈu	ˈʊə̯	0.088
ˈu	ˈɔ	0.058
ˈiː	ˈiːi̯	0.056
ˈɑ	ˈɛ	0.05
