Standard Serbian	Latvian	probability
̌	-	1.0
̂	-	1.0
ʨ	k_t	1.0
ʦ	-	1.0
ʒ	ʣ	1.0
ʎ	-	1.0
ɲ	n_s	1.0
x	-	1.0
uː_̌	uɔ̯	1.0
uː_̂	l	1.0
uː	au̯	1.0
t_a	j	1.0
t	t	1.0
s	s	1.0
r̩ː	r_t	1.0
r̩	i_r	1.0
p	p	1.0
o_̂	a	1.0
m	m	1.0
l_o	l̩	1.0
k_o	ʦ	1.0
i_̂	uː	1.0
eː_̌	ai̯	1.0
eː_̂	æː	1.0
eː_ʦ	e	1.0
e_̌	ɛ	1.0
d̥	d̥	1.0
aː	-	1.0
a_̂	aː	1.0
a_r	r̩_s	1.0
b	b	0.854
d	d	0.793
i	-	0.751
ʋ	v	0.729
n	n	0.727
r	r	0.702
l	l	0.679
ɡ	ɡ	0.667
z	z	0.659
k	s	0.603
iː	-	0.577
a	-	0.567
u	uɔ̯	0.555
u	i_l	0.445
oː	a	0.43
iː	iː	0.423
k	k	0.397
eː	iɛ̯	0.392
o	-	0.378
oː	aː	0.355
o	a	0.344
z	z̥	0.341
ɡ	ɡ̊	0.333
l	ʎ	0.321
eː	æ	0.313
r	a_r	0.298
eː	-	0.295
o	l	0.277
n	-	0.273
ʋ	v_i	0.271
i	i	0.249
e	-	0.241
oː	w	0.215
e	ɛ	0.208
e	æ	0.19
a	u	0.182
e	a	0.173
b	-	0.146
d	-	0.121
e	ɛː	0.118
a	k	0.115
d	d̥	0.086
a	ɛ	0.075
e	ʃ	0.07
a	s	0.062
