Danish	Nynorsk Norwegian	probability
b̥	b	0.736
b̥	p	0.264
d̥	d	0.899
d̥	j	0.1
e	ɪ	0.229
f	f	1.0
h	h	1.0
i	e	0.5
i	ɑ	0.5
j	ɡ	0.352
j	-	0.253
j	j	0.177
j	k	0.142
j	ç	0.056
jˀ	ɡ	0.479
k	k	0.471
k	ʃ	0.299
k	ʰkː	0.146
k	ç	0.067
kʰ	kʰ	0.804
kʰ	ç	0.186
l	l	0.934
l	lː	0.037
l	-	0.034
lˀ	l	0.488
lˀ	lː	0.398
lˀ	ɾ	0.107
m	m	0.939
m	n	0.061
mˀ	m	0.74
mˀ	mː	0.129
n	n	0.843
n	nː	0.153
nˀ	nː	0.703
nˀ	n_d	0.183
nˀ	n	0.085
p	p	0.479
pʰ	pʰ	0.479
s	s	0.842
s	-	0.101
s	ʃ	0.032
s	sː	0.025
t	t	0.59
t	ʰtː	0.26
t	-	0.069
t	ç	0.069
v	ʋ	1.0
w	ʋ	0.394
w	-	0.248
w	ɡ	0.234
w	e	0.106
wˀ	m	1.0
ð̞ˠ	t	0.507
ð̞ˠ	-	0.271
ð̞ˠ	d	0.18
ð̞ˠ	çː	0.039
ŋ	ŋː	0.389
ŋ	ɲ	0.257
ŋ	ŋ	0.232
ŋˀ	ŋː	1.0
ɐ	ɾ	0.563
ɐ	e	0.34
ɐ	-	0.046
ɐ	ɛ	0.041
ɐˀ	ɾ	1.0
ə	e	0.508
ə	ɑ	0.405
ə	-	0.041
ə	ə	0.026
ə	ʉ	0.026
ɡ̊	ɡ	0.564
ɡ̊	ɡː	0.205
ɡ̊	j	0.143
ɡ̊	k	0.074
ʁ	ɾ	1.0
ʋ	ʋ	0.648
ʋ	kʰ_ʋ	0.176
ʋ	-	0.105
ʋ	v	0.057
ʦʰ	tʰ	0.828
ʦʰ	ç	0.167
ʨ	tʰ	0.229
ˈa	ˈɑ	0.581
ˈa	ˈɑː	0.326
ˈa	ˈɛ	0.086
ˈaː	ˈɑː	1.0
ˈe	ˈɪ	0.658
ˈe	ˈɛ	0.101
ˈe	ˈeː	0.071
ˈe	ˈuː	0.071
ˈe	ˈœ	0.071
ˈeˀ	ˈeː	0.355
ˈeˀ	ˈæɪ̯	0.324
ˈeˀ	ˈøː	0.119
ˈeˀ	ˈɛ	0.119
ˈeˀ	ˈæːɪ̯	0.065
ˈeː	ˈɛ	0.66
ˈeː	ˈoː	0.151
ˈi	ˈiː	0.297
ˈi	ˈyː	0.297
ˈi	ˈʏ	0.177
ˈi	ˈɛ	0.106
ˈiˀ	ˈiː	1.0
ˈiː	ˈiː	0.404
ˈiː	ˈæɪ̯	0.097
ˈo	ˈuː	0.462
ˈo	ˈʊ	0.239
ˈo	ˈɔ	0.158
ˈo	ˈɑ	0.111
ˈoˀ	ˈuː	0.807
ˈoˀ	ˈʉː	0.186
ˈoː	ˈuː	0.354
ˈoː	ˈoː	0.308
ˈoː	ˈɪ	0.203
ˈoː	ˈɔ	0.085
ˈu	ˈʉ	0.671
ˈu	ˈʉː	0.18
ˈu	ˈʊ	0.136
ˈuˀ	ˈʉː	0.82
ˈuˀ	ˈʉ	0.094
ˈuˀ	ˈyː	0.064
ˈuː	ˈʊ	0.758
ˈuː	ˈʉː	0.083
ˈy	ˈʏ	0.275
ˈy	ˈʉ	0.132
ˈy	ˈʊ	0.072
ˈyˀ	ˈʉː	0.481
ˈyˀ	ˈyː	0.356
ˈyˀ	j	0.119
ˈyː	ˈʉː	0.392
ˈyː	ˈyː	0.354
ˈæ	ˈɛ	1.0
ˈæˀ	ˈɑː	0.479
ˈø	ˈʏ	1.0
ˈøː	ˈøː	0.425
ˈøː	ˈœʏ̯	0.234
ˈøː	ˈæʉ̯	0.129
ˈœ	ˈʏ	0.503
ˈœ	ˈøː	0.214
ˈœ	ˈœʏ̯	0.107
ˈœ	ˈɔ	0.107
ˈœ	ˈʊ	0.059
ˈœˀ	ˈæʉ̯	0.326
ˈœˀ	ˈøː	0.326
ˈœˀ	ˈʉ	0.187
ˈœˀ	ˈœ	0.118
ˈœˀ_ð̞ˠ	ˈæʉ̯	1.0
ˈœː	ˈøː	0.479
ˈɑ	ˈɑ	0.588
ˈɑ	ˈeː	0.213
ˈɑ	ˈɛ	0.146
ˈɑˀ	ˈɑ_ɾ	0.594
ˈɑˀ	ˈeː	0.297
ˈɑˀ	ˈɑː	0.063
ˈɑː	ˈɑː_ɾ	1.0
ˈɒ	ˈɔ	1.0
ˈɒˀ	ˈoː	0.229
ˈɒː	ˈoː	0.199
ˈɒː	ˈɔ	0.199
ˈɔ	ˈʊ	0.354
ˈɔ	ˈʉ	0.129
ˈɔˀ	ˈoː	0.893
ˈɔˀ	ˈɔ	0.094
ˈɔː	ˈoː	1.0
ˈɛ	ˈɑ	0.319
ˈɛ	ˈɛ	0.304
ˈɛ	ˈæ	0.08
ˈɛ	ˈæɪ̯	0.08
ˈɛ	ˈʊ	0.08
ˈɛˀ	ˈɑː	0.253
ˈɛˀ	ˈeː	0.229
ˈɛˀ	ˈæɪ̯	0.16
ˈɛˀ	ˈɛː	0.16
ˈɛː	ˈɑː	0.683
ˈɛː	ˈeː	0.216
ˈʌ	ˈɔ	0.287
ˈʌ	ˈɑ	0.217
ˈʌ	ˈuː	0.143
ˈʌ	ˈɑː	0.101
ˈʌ	ˈʊ	0.098
ˈʌˀ	ˈæʉ̯	0.5
ˈʌˀ	ˈœʏ̯	0.5
