Danish	Nynorsk Norwegian	probability
b̥	b	0.821
b̥	p	0.179
d̥	d	0.934
d̥	j	0.066
e	ɪ	1.0
f	f	1.0
h	h	1.0
i	e	0.815
i	ɑ	0.185
j	ɡ	0.327
j	j	0.271
j	k	0.178
j	-	0.126
j	ɕ	0.099
jˀ	ɡ	0.613
jˀ	k	0.387
k	ʃ	0.388
k	k	0.378
k	ʰkː	0.161
kʰ	kʰ	0.525
kʰ	ɕ	0.475
l	l	0.892
l	j	0.054
l	lː	0.054
lˀ	lː	0.486
lˀ	l	0.416
lˀ	ɾ	0.098
m	m	0.865
m	ɾ_m	0.071
mˀ	m	0.936
mˀ	mː	0.064
n	n	0.848
n	nː	0.152
nˀ	nː	0.604
nˀ	n	0.326
nˀ	-	0.069
p	p	0.746
p	ʰpː	0.254
pʰ	pʰ	1.0
s	s	0.821
s	ʃ	0.087
s	-	0.079
t	t	0.44
t	ʰtː	0.348
t	-	0.11
t	tː	0.103
w	ɡ	0.447
w	ʋ	0.398
w	e	0.116
wˀ	m	1.0
ð̞ˠ	t	0.582
ð̞ˠ	d	0.144
ð̞ˠ	ʰtː	0.092
ð̞ˠ	-	0.091
ŋ	ŋ	0.51
ŋ	ŋː	0.289
ŋ	ɲ	0.201
ŋˀ	ŋː	1.0
ɐ	ɾ	0.802
ɐ	e_ɾ	0.083
ɐ	ə	0.051
ɐˀ	ɾ	1.0
ə	ɑ	0.518
ə	e	0.381
ə	-	0.081
ɡ̊	ɡ	0.389
ɡ̊	ɡː	0.264
ɡ̊	j	0.245
ɡ̊	jː	0.055
ʁ	ɾ	1.0
ʋ	ʋ	0.776
ʋ	kʰ_ʋ	0.127
ʋ	v	0.058
ʦʰ	tʰ	0.822
ʦʰ	ɕ	0.178
ʨ	tʰ	1.0
ˈa	ˈɑ	0.788
ˈa	ˈɑː	0.186
ˈaː	ˈɑː	1.0
ˈe	ˈɪ	0.618
ˈe	ˈɛ	0.303
ˈeˀ	ˈæɪ̯	0.632
ˈeˀ	ˈeː	0.175
ˈeˀ	ˈøː	0.131
ˈeˀ	ˈɛ	0.062
ˈeː	ˈoː	0.5
ˈeː	ˈɛ	0.5
ˈi	ˈiː	0.263
ˈi	ˈɪ	0.263
ˈi	ˈʏ	0.263
ˈi	ˈyː	0.141
ˈiˀ	ˈiː	0.937
ˈiˀ	ˈeː	0.063
ˈiː	ˈiː	0.731
ˈiː	ˈæɪ̯	0.269
ˈo	ˈuː	0.616
ˈo	ˈʊ	0.151
ˈo	ˈɑ	0.132
ˈo	ˈɔ	0.102
ˈoˀ	ˈuː	0.894
ˈoˀ	ˈʉː	0.076
ˈoː	ˈoː	0.334
ˈoː	ˈuː	0.319
ˈoː	ˈɔ	0.301
ˈu	ˈʉ	0.914
ˈu	ˈʉː	0.086
ˈuˀ	ˈʉː	0.785
ˈuˀ	ˈʉ	0.128
ˈuˀ	ˈyː	0.087
ˈuː	ˈʉː	0.772
ˈuː	ˈʉ	0.147
ˈuː	ˈeː	0.082
ˈy	ˈʉ	0.535
ˈy	ˈʏ	0.465
ˈyˀ	ˈyː	0.574
ˈyˀ	ˈʉː	0.34
ˈyˀ	ˈuː	0.086
ˈyː	ˈyː	0.627
ˈyː	ˈʉː	0.373
ˈæ	ˈɛ	0.797
ˈæ	ˈɑ	0.203
ˈæˀ	ˈɑː	1.0
ˈæː	ˈɑː	1.0
ˈø	ˈʏ	1.0
ˈøˀ	ˈæʉ̯	1.0
ˈøː	ˈøː	0.624
ˈøː	ˈæʉ̯	0.188
ˈøː	ˈœʏ̯	0.188
ˈœ	ˈʏ	0.568
ˈœ	ˈøː	0.147
ˈœ	ˈœʏ̯	0.111
ˈœ	ˈœ	0.084
ˈœˀ	ˈæʉ̯	0.559
ˈœˀ	ˈøː	0.33
ˈœˀ	ˈœ	0.103
ˈœː	ˈøː	1.0
ˈɑ	ˈɑ	0.33
ˈɑ	ˈeː	0.302
ˈɑ	ˈɛ	0.29
ˈɑ	ˈæɪ̯	0.079
ˈɑˀ	ˈɑ	0.503
ˈɑˀ	ˈɑː	0.284
ˈɑˀ	ˈeː	0.173
ˈɑː	ˈɑː	1.0
ˈɒ	ˈɔ	1.0
ˈɒˀ	ˈuː	0.529
ˈɒˀ	ˈoː	0.471
ˈɒː	ˈoː	0.678
ˈɒː	ˈɔ	0.322
ˈɔ	ˈʉ	1.0
ˈɔˀ	ˈoː	0.904
ˈɔˀ	ˈɔ	0.067
ˈɔː	ˈoː	1.0
ˈɛ	ˈɛ	0.443
ˈɛ	ˈɑ	0.288
ˈɛ	ˈæ	0.063
ˈɛ	ˈɔ	0.063
ˈɛ	ˈæː	0.054
ˈɛˀ	ˈæː	0.446
ˈɛˀ	ˈeː	0.289
ˈɛˀ	ˈɑː	0.18
ˈɛˀ	ˈæɪ̯	0.085
ˈɛː	ˈɑː	0.655
ˈɛː	ˈeː	0.345
ˈʌ	ˈʊ	0.206
ˈʌ	ˈoː	0.19
ˈʌ	ˈuː	0.19
ˈʌ	ˈæʉ̯	0.157
ˈʌ	ˈɔ	0.097
ˈʌ	ˈɑ	0.087
ˈʌ	ˈɑː	0.074
ˈʌˀ	ˈæʉ̯	0.903
ˈʌˀ	ˈœʏ̯	0.097
