German	Dutch	probability
b	b	0.815
b	v	0.177
d	d	0.833
d	-	0.159
f	v	0.675
f	p	0.219
f	f	0.101
h	ɦ	1.0
j	j	1.0
k	χ	0.556
k	k	0.381
k	-	0.065
k_s	s	1.0
kʰ	k	0.979
l	ɫ	1.0
l_t	t	0.521
m	m	1.0
n	n	0.963
p	f	0.739
p	-	0.121
p	p	0.121
p͡f	p	0.871
p͡f	f	0.064
s	t	0.528
s	s	0.466
t	t	0.879
t	d	0.101
tʰ	d	0.941
tʰ	t	0.067
v	ʋ	0.963
x	χ	0.684
x	k	0.293
z	z	0.833
z	s	0.157
ç	χ	0.395
ç	k	0.373
ç	ŋ	0.14
ç	-	0.08
ŋ	ŋ	1.0
ɐ	ɾ	0.957
ə	ə	0.512
ə	-	0.472
ɡ	χ	0.95
ɡ	-	0.057
ɪ	ə	0.562
ɪ	ɪ	0.416
ʁ	ɾ	0.819
ʁ	-	0.139
ʃ	s	0.586
ʃ	z	0.232
ʃ	s_χ	0.178
ʦ	t	0.901
ʦ	d	0.099
ˈa	ˈɑ	0.805
ˈa	ˈaː	0.139
ˈa_l	ˈɑu̯	1.0
ˈaɪ̯	ˈɛi̯	0.554
ˈaɪ̯	ˈeː	0.322
ˈaɪ̯	ˈɪ	0.073
ˈaʊ̯	ˈœy̯	0.49
ˈaʊ̯	ˈoː	0.484
ˈaː	ˈaː	0.611
ˈaː	ˈɑ	0.221
ˈaː	ˈɛ	0.097
ˈaː	ˈøː	0.059
ˈeː	ˈeː	0.568
ˈeː	ˈi	0.25
ˈeː	ˈaː	0.098
ˈeː	ˈɛ	0.081
ˈiː	ˈi	0.822
ˈiː	ˈɛi̯	0.114
ˈiː	ˈeː	0.066
ˈoː	ˈoː	0.956
ˈoː	ˈaː	0.058
ˈuː	ˈu	1.0
ˈyː	ˈu	0.841
ˈyː	ˈoː	0.118
ˈøː	ˈoː	1.0
ˈœ	ˈaː	0.574
ˈœ	ˈʏ	0.299
ˈɔ	ˈɔ	0.648
ˈɔ	ˈoː	0.282
ˈɔ	ˈɑu̯	0.061
ˈɔʏ̯	ˈœy̯	0.441
ˈɔʏ̯	ˈyː	0.145
ˈɔʏ̯	ˈoː	0.11
ˈɔʏ̯	w	0.106
ˈɔʏ̯	ˈeː	0.079
ˈɔʏ̯	ˈi	0.079
ˈɛ	ˈɛ	0.473
ˈɛ	ˈɑ	0.173
ˈɛ	ˈeː	0.138
ˈɛ	ˈaː	0.136
ˈɛ	ˈʏ	0.061
ˈɛː	ˈeː	0.45
ˈɛː	ˈaː	0.356
ˈɪ	ˈɪ	0.767
ˈɪ	ˈɛ	0.125
ˈɪ	ˈɛi̯	0.053
ˈʊ	ˈɔ	0.929
ˈʊ	ˈu	0.074
ˈʏ	ˈʏ	0.5
ˈʏ	-	0.118
ˈʏ	ˈɛ	0.118
ˈʏ	ˈɔ	0.081
ˈʏ	ˈɛi̯	0.081
