Ligurian	Neapolitan	probability
f	f	1.0
o	ə	1.0
p	p	1.0
sː	sː	1.0
y	u	1.0
ɔː	a	1.0
ɥ	a	1.0
ˈa	ˈa	1.0
ˈyː	ˈu	1.0
ˈɔː	ˈɔ	1.0
i	-	0.121
j	ə_ɾ	0.121
j	j	0.201
m	m	0.681
ɲ	n	0.181
ʒ	k	0.141
ˈeː	ˈi	0.061
ˈiː	ˈɛ	0.101
ˈiː	ˈi	0.841
ˈuː	ˈo	0.471
i	ə	0.052
i	e	0.072
n	nː	0.162
r	ɾ	0.562
ŋ	ŋ	0.132
ŋ	n	0.722
ʃ	ʃ	0.292
ʧ	k_j	0.642
ˈu	w	0.262
ˈɛː	ˈe	0.142
b	bː	0.203
d	ɾ	0.103
d	t	0.103
d	-	0.113
i	ˈe	0.063
k	k	0.833
l	lː	0.253
w	u	0.263
z	ʤ	0.253
ʒ	v	0.063
ʤ	ʎː	0.353
ˈø	ˈo	0.093
a	ə	0.814
i	i	0.614
j	ə_l	0.104
r	-	0.084
r	r	0.314
s	ʃ	0.334
v	v	0.804
w	ˈu	0.054
w	-	0.454
ˈaː	ə	0.104
ˈe	ˈi	0.294
ˈy	ˈi	0.064
ˈɔ	ˈɔ	0.934
b	b	0.5
d	d	0.655
t	-	0.095
t	t	0.615
z	ʦː	0.065
ʃ	ʃː	0.675
ʧ	ʃː	0.15
ʧ	ʧː	0.15
ˈe	ˈe	0.305
ˈi	ˈu	0.05
ˈi	ˈi	0.95
ˈø	ˈɔ	0.65
b	v	0.296
k	kː	0.136
w	w	0.216
z	d	0.06
z	s	0.076
ɡ	k	0.446
ʒ	ʃ	0.696
ˈaː	ˈa	0.896
ˈeː	ˈɛ	0.536
ˈy	ˈu	0.936
ˈøː	ˈɔ	0.966
ˈɔ	ˈu	0.066
a	a	0.167
e	i	0.07
e	ə	0.867
j	ɾ	0.147
l	l	0.747
z	ʤː	0.297
ɡ	-	0.167
ʤ	kː	0.287
ʤ	-	0.327
ˈe	ˈɛ	0.347
ˈeː	ˈo	0.147
ˈɛ	r	0.067
ˈɛ	ˈa	0.517
ˈɛː	ˈa	0.497
i	j	0.078
n	n	0.768
s	ʦː	0.08
z	j	0.138
ˈu	ˈo	0.308
ˈø	ˈu	0.258
ˈɛ	ˈɛ	0.398
ˈɛː	ˈɛ	0.338
j	-	0.319
m	mː	0.289
s	s	0.479
t	tː	0.29
u	ə	0.929
v	p	0.189
ɡ	ɡ	0.349
ɲ	ɲː	0.819
ʧ	p	0.059
ˈeː	ˈe	0.19
ˈiː	j	0.059
ˈu	ˈu	0.409
ˈuː	ˈu	0.529
