Eastphalian	Old English	probability
ˈɪ_ç	ˈeːo̯_x	1.0
ˈɛə̯	ˈæ	1.0
ˈɔʏ̯	ˈeː	1.0
ˈøː	ˈiːy̯	1.0
ˈyː	-	1.0
ˈaː	ˈæ	1.0
ˈaʊ̯	ˈoː	1.0
ˈaɪ̯	ˈɑː	1.0
ʃ	ʃ	1.0
ɪ	i	1.0
ɣ̊	j	1.0
ɡ	-	1.0
ɒː	iːy̯	1.0
w	w	1.0
v̥	f	1.0
s	s	1.0
r	r	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
b_m	p_ɑ	1.0
m	m	0.958
ˈɪ	ˈi	0.937
ˈʊ	ˈu	0.892
b	b	0.872
ˈeo̯	ˈæːɑ̯	0.853
ə	e	0.821
p	p	0.809
ˈiː	ˈiː	0.795
d	θ	0.794
ˈuː	ˈuː	0.791
v	w	0.785
z	s	0.719
ˈœ	ˈu	0.703
t	t	0.662
ŋ	ŋ_ɡ	0.64
l	l	0.627
n	n	0.616
ɐ	r	0.598
ˈɛː	ˈe	0.587
k	k	0.574
ɣ	ɡ	0.571
ˈɛ	ˈe	0.556
j	j	0.517
ˈɔ	ˈo	0.506
j	-	0.483
ˈeː	-	0.482
ˈɛɪ̯	ˈeːo̯	0.464
ˈa	ˈɑ	0.461
ˈoː	ˈo	0.436
ˈɛː	-	0.413
x	x	0.366
ˈɒː	ˈɑ	0.361
ˈʏ	ˈy	0.353
ˈeː	ˈeo̯	0.334
ˈɛɪ̯	ˈɑː	0.329
l	ɫ	0.318
ˈœ	ˈe	0.297
ˈʏ	-	0.296
ˈɒː	ˈæː	0.291
ˈoː	-	0.287
k	ʧ	0.287
x	ç	0.284
z	z	0.281
ˈʏ	ˈeːo̯	0.28
ˈoː	ˈu	0.277
x	xː	0.268
ˈɔ	ˈæɑ̯	0.251
ˈɛ	ˈeo̯	0.25
ˈɔ	ˈu	0.243
ɐ	e_r	0.243
ɣ	ɣ_o	0.234
ˈa	ˈæɑ̯	0.216
v	v	0.215
ˈuː	-	0.209
n	ɑ	0.208
ˈiː	ˈeː	0.205
ˈɒː	ˈæːɑ̯	0.2
t	t_ɑ	0.2
ˈɛ	ˈi	0.194
ɣ	j	0.194
p	pː	0.191
ˈeː	ˈi	0.184
ŋ	ɣ_ɑ	0.18
ŋ	ŋ	0.18
ɐ	o_r	0.158
ˈa	ˈæ	0.156
ˈɒː	ˈæ	0.148
ˈeo̯	-	0.147
b	bː	0.128
d	d	0.113
ˈʊ	ˈoː	0.108
n	nː	0.107
ə	ɑ	0.101
d	dː	0.092
t	tː	0.09
x	ɣ̊	0.082
ˈɛɪ̯	ˈiːy̯	0.079
ə	ʤ	0.078
ˈɛɪ̯	-	0.077
ˈʏ	ˈɛ	0.071
ˈɪ	-	0.063
k	ʧː	0.058
ˈa	ˈiy̯	0.057
ˈa	ˈi	0.057
l	ɫː	0.055
k	ʧ_ˈi	0.054
ˈa	ˈeo̯	0.053
ˈɛɪ̯	ˈæː	0.051
