Franco-Provençal	Ligurian	probability
d	d	1.0
i	a	1.0
k	k	1.0
m	m	1.0
p	p	1.0
z	ʒ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʒ	ʤ	1.0
ˈĩ	ˈi_ŋ	1.0
ˈø	ˈɔː	1.0
ˈɔ	ˈu	1.0
w	ˈuː	0.311
ʁ	r	0.751
ˈɛ	ˈeː	0.471
ˈɛ̃	ˈe_ŋ	0.511
o	u	0.952
t	s_t	0.252
ð	z	0.302
ʁ	-	0.122
ʃ	ʒ_e	0.242
ˈa	ˈaː	0.32
a	a	0.913
b	-	0.063
j	-	0.833
w	w	0.123
w	ˈu	0.183
ˈɑ̃	ˈa_ŋ	0.713
ˈɔ̃	ˈu	0.143
ˈɛ	ˈe	0.423
j	ˈeː	0.054
l	l	0.524
n	ŋ	0.484
v	-	0.144
ʁ	j	0.114
ʎ	ʤ_u	0.474
ˈaː	ˈaː	0.294
ˈe	ˈɛ	0.074
ˈe	ˈɛː	0.134
ˈe	-	0.224
ˈe	ˈaː	0.344
ˈi	ˈeː	0.344
ˈɛː	ˈe_j	0.244
ə	e	0.485
ə	a	0.515
ˈa	ˈɛː	0.145
ˈa	ˈa	0.535
ˈoː	ˈaː	0.25
ˈoː	ˈɔː	0.75
j	ʧ	0.056
n	n	0.516
v	v	0.856
ʎ	ʤ	0.526
ˈaː	ˈɛː	0.706
ˈɛ	ˈɛː	0.106
ˈɛː	-	0.156
ˈɛː	ˈe	0.6
b	b	0.937
j	j	0.057
l	l_u	0.217
w	ˈøː_ɡ	0.077
ˈɑ̃	ˈa	0.287
ˈɔ̃	ˈu_ŋ	0.857
f	f	0.988
t	t	0.748
ʃ	k	0.758
ˈi	ˈi	0.318
ˈi	ˈiː	0.338
l	-	0.259
s	s	0.959
w	ˈɔː	0.139
w	ˈø	0.169
ð	j	0.079
ð	-	0.619
ˈe	ˈe	0.19
ˈɛ̃	ŋ	0.489
