Ladin	Ladin	probability
ˈɛ_k	k_ʊ̃ː	1.0
ˈɛ_f	w_ʊ̃ː	1.0
ˈɛ_d	k_ʊ	1.0
ˈe_#>	#>	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʨ_a	k_a	1.0
ʧ_ˈɛ	k_ɪ	1.0
ʧ	k	1.0
ʤ	ɡ	1.0
ʒ_ɡ	w	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ʃ	k_ɛ̃ː	1.0
u	ʊ	1.0
s_#>	s_#>	1.0
r_t	r_t	1.0
r_a	r_ãː	1.0
r_#>	r_ʊ̃ː_#>	1.0
p_#>	p_ʊ̃ː_#>	1.0
p	p	1.0
o_l	ɫ	1.0
m_#>	m_ɛ̃ː_#>	1.0
l_ˈe	lʲ_ˈɪ	1.0
k_r	k_r	1.0
e_r	i_a	1.0
e_#>	#>	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
m	m	0.964
s	s	0.889
ˈu	ˈuː	0.857
f	f	0.846
r	r	0.8
n	n	0.8
a	ãː	0.773
ˈɔ	ˈɔ	0.76
t	t	0.744
ˈi	ˈiː	0.742
v	w	0.704
l	ɫ	0.68
j_ˈɛ	ˈɛ	0.667
ʨ	k	0.647
ˈɛ	ˈɛ	0.643
ˈa	ˈa	0.643
ʃ	s	0.625
ˈe_j	ˈeː	0.6
ʥ	-	0.6
ʒ	ɡ	0.583
n_#>	n_ʊ̃ː_#>	0.556
ɡ	k	0.5
ɡ	-	0.5
i	-	0.5
d	t	0.5
o	ɔ	0.455
#>	ʊ̃ː_#>	0.447
n_#>	n_ɛ̃ː_#>	0.444
ʦ	-	0.429
<#	<#_h	0.429
ˈe_j	ˈɪ	0.4
ʥ	ɡ	0.4
ˈo	ˈʊ	0.394
o	oː	0.364
ɲ	n	0.333
w	ˈɔ	0.333
k	kʷ	0.333
k	k	0.333
j_ˈɛ	ˈɛ_k	0.333
i	iː	0.333
l	lʲː	0.32
ˈa	ˈaː	0.31
ˈo	ˈoː	0.303
j	i	0.3
ʦ	t_i	0.286
ʦ	t_e	0.286
e	ɛ	0.286
<#	<#_w	0.286
<#	<#_a	0.286
d	d	0.273
ˈe	ˈɪ	0.27
ˈe	ˈaː_r	0.27
ʒ	j	0.25
e	ɪ	0.229
ɲ	ɡ_n	0.222
ɲ	ŋ_n	0.222
ɲ	n_e	0.222
#>	ɛ_#>	0.219
j	ˈɛ	0.2
ˈe	ˈeː	0.189
ʃ	s_k	0.188
ʃ	k_ɛ̃ː	0.188
v	p	0.185
o	ʊ	0.182
ʨ	kː	0.176
ʨ	kʷ	0.176
#>	ɛ̃ː_#>	0.175
ˈɛ	ˈa	0.167
ʒ	s_i	0.167
w	ɫ	0.167
w	-	0.167
k	ʊ̃ː	0.167
k	k_ʊ̃ː	0.167
i	ĩː	0.167
ˈe	-	0.162
ˈɔ	-	0.16
ˈo	ˈɔ	0.152
j	r	0.15
ˈu	ˈʊ	0.143
e	ɛ_r	0.143
a	a	0.133
t	tː	0.128
w	ˈau̯	0.125
w	r	0.125
e	eː	0.114
v	b	0.111
s	sː	0.111
r	ɛ̃ː	0.1
j	ɡ_ɪ	0.1
j	d_ɛ	0.1
j	-	0.1
ˈi	ˈi	0.097
ˈi	-	0.097
ˈɛ	ˈaː	0.095
ˈo	ˈu	0.091
d	s	0.091
d	k_ʊ	0.091
e	ɛ̃ː	0.086
e	ɔ	0.086
w	ˈa	0.083
ˈe	r	0.081
ˈɔ	ˈau̯	0.08
t	k_t	0.077
f	w_ɛ̃ː	0.077
f	p_ʊ̃ː	0.077
a	aː	0.067
ˈi	ˈiː_lʲ	0.065
ˈo	-	0.061
e	aː	0.057
t	d_ʊ̃ː	0.051
