Sassarese	Sassarese	probability
β_u	w	1.0
β_i	w	1.0
ˈɛ_j	ˈɛ_ʀ	1.0
ˈɔ_r	ˈu	1.0
ˈu_r	ˈy	1.0
ˈi_#>	e_#>	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_ʦː	ˈa	1.0
ˈa_ɬ	w	1.0
ˈa_tː	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʧː_u	j	1.0
ʧː	-	1.0
ʧ	k_l	1.0
ʦː	s	1.0
ʤ	ʤ	1.0
ʣ	ˈe	1.0
ʒ	-	1.0
ʃː	j_s	1.0
ɡ_u	k	1.0
ɡ	ɡ	1.0
ɔ	ˈũ	1.0
ŋ	ŋ	1.0
x	s_k	1.0
w	-	1.0
v	v	1.0
u_r	u_l	1.0
t_i	ʀ	1.0
t	t	1.0
s_ˈɛ	s_ˈe	1.0
s	s	1.0
rː	ʀ	1.0
r_ˈa	ˈa	1.0
r_u	w	1.0
r_i	w	1.0
pː	s_p	1.0
o	u	1.0
n_t	ŋ	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_a	k_ɔ	1.0
k	k	1.0
j_p	ˈe	1.0
i_#>	#>	1.0
fː	-	1.0
f	f	1.0
e	-	1.0
dː_u	w	1.0
bː	b	1.0
<#_ˈo	<#_w	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_e	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_i	<#_e	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
#>	e_#>	1.0
u_#>	#>	0.934
p	p	0.867
ʦ	s	0.824
b	b	0.818
ɬ	s	0.75
ɲː	ɲ	0.714
a	ɔ	0.672
β	v	0.667
dː_a	d_ɔ	0.667
dː	-	0.667
d	-	0.667
ˈa	ˈa	0.646
r	ɾ	0.632
ˈi	ˈi	0.621
xː	s_k	0.6
n	ŋ	0.526
ʤː	ʤ	0.5
ʤː	-	0.5
ʎː	ˈe_j	0.5
ʎː	j	0.5
sː	ˈe_s	0.5
sː	ʀ	0.5
nː	n	0.5
nː	-	0.5
a_r	ɾ	0.5
a_r	b_ɾ	0.5
ˈe	ˈɛ	0.464
tː	t	0.444
i	e	0.442
ˈo	ˈu	0.4
xː	ʀ_k	0.4
ˈɔ	w_ˈe	0.382
ɡː	ɡ	0.375
ɡː	k	0.375
ˈɛ	ˈẽ	0.37
ˈu	ˈy	0.368
j	l	0.364
u	e	0.341
β	w	0.333
ˈɛ	ˈe	0.333
tː	ˈe_ʧ	0.333
dː_a	l_ɔ	0.333
ˈu	ˈu	0.316
n	n	0.316
ˈɛ	ˈɛ	0.296
ɲː	ŋ_ʤ	0.286
ˈa	ˈã	0.271
u	w	0.268
ˈe	j	0.25
ɬ	ˈe	0.25
ɡː	-	0.25
ˈo	w	0.24
tː	-	0.222
a	a	0.209
d	d	0.2
u	u	0.195
j	-	0.182
b	v	0.182
ˈɔ	ˈu	0.176
ˈɔ	w	0.176
ʦ	z	0.176
ˈi	ˈĩ	0.172
dː	ɾ	0.167
dː	d	0.167
ˈo	ɥ	0.16
ˈu	ˈỹ	0.158
ˈu	ˈũ	0.158
ˈe	ˈe	0.143
j	ˈa	0.136
j	j	0.136
p	-	0.133
d	z	0.133
r	-	0.132
ˈo	ˈũ	0.12
i	i	0.116
r	ʀ	0.105
ˈi	ˈe	0.103
i	j	0.093
i	-	0.093
j	ˈe	0.091
j	z_ˈa	0.091
ˈɔ	ˈũ	0.088
ˈo	-	0.08
r	l	0.079
n	ˈẽ	0.079
n	-	0.079
u	y	0.073
ˈe	j_ˈɛ	0.071
ˈe	-	0.071
i	ʀ	0.07
ˈi	-	0.069
u_#>	s_#>	0.066
a	-	0.06
ˈɔ	ˈa_w	0.059
ˈɔ	ɥ_ˈɔ	0.059
ˈɔ	-	0.059
r	w	0.053
