Afrikaans	Afrikaans	probability
χ_r	ɣ_r	1.0
ˈɪø̯	ˈu	1.0
ˈɛː	ɣ_j	1.0
ˈɛ_m	mː	1.0
ˈɔː	-	1.0
ˈœ	ˈu	1.0
ˈyː	-	1.0
ˈoː	ˈɑu̯	1.0
ɦ	x	1.0
ə_n	n	1.0
ə_#>	i_z_#>	1.0
w	w	1.0
v̥_#>	β_ɑ_z_#>	1.0
r_χ	r_ɣ	1.0
r_ə	r_n	1.0
r_d̥	r_ð	1.0
r_#>	#>	1.0
r	r	1.0
n_s	n_s	1.0
m	m	1.0
i	-	1.0
b	b	1.0
<#_χ	<#_ɣ	1.0
<#_ˈɔ	<#_ˈu	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
ˈɔ	ˈu	0.913
ˈa	ˈɑ	0.893
k	k	0.889
v̥	ɸ	0.875
ˈu	ˈɔː	0.867
ɫ	l	0.85
p	p	0.846
ˈœɪ̯	ˈuː	0.818
v	w	0.812
s	s	0.794
t	t	0.778
n	n	0.774
ˈə	ˈi	0.75
χ	ɣ	0.692
ˈɛ	ˈɑ	0.667
ˈæ	ˈe	0.625
<#	<#_x	0.6
<#_r	<#_r	0.571
ˈʊə̯	ˈɑu̯	0.567
ˈi	ˈeu̯	0.55
d	d	0.513
ˈəɪ̯	ˈiː	0.5
ˈœu̯	ˈɑ_l	0.5
ˈœu̯	l	0.5
ˈæː	ˈe	0.5
ˈæː	-	0.5
ŋ	ŋ_ɡ	0.5
#>	ɑ_z_#>	0.451
ˈɪə̯	ˈɑi̯	0.429
ˈɪə̯	ˈe	0.429
<#_r	<#_x_r	0.429
d	θ	0.41
<#	<#_ˈɑ	0.4
ˈæ	-	0.375
ˈɑː	ˈɛː	0.37
ˈɑː	ˈɑ	0.37
ˈʊə̯	ˈu	0.367
ˈɛ	-	0.333
ŋ	ŋ	0.312
d̥	d	0.3
ˈəɪ̯	ˈɑi̯	0.278
d̥	ð	0.267
ˈi	-	0.25
#>	ɑ̃_#>	0.244
d̥	θ	0.233
ˈəɪ̯	ˈi	0.222
#>	ɑ_n_ɑ̃_#>	0.213
ə	-	0.2
χ	x_t	0.192
ŋ	ɑ̃	0.188
ˈœɪ̯	-	0.182
ə	ɛː	0.16
ə	ɑ	0.16
ə	u	0.16
p	pː	0.154
ˈi	ˈe	0.15
ˈɪə̯	ˈi	0.143
ˈu	ˈɔː_θ	0.133
d̥	θ_ɑ̃	0.133
ˈə	-	0.125
v̥	β	0.125
v	xʷ	0.125
χ	x	0.115
n	nː	0.113
ˈɑː	ˈɑː	0.111
k	-	0.111
ˈa	-	0.107
s	s_k	0.088
ˈɔ	-	0.087
ˈə	ˈe	0.083
t	t_s	0.083
t	-	0.083
ə	ɡ	0.08
ə	ɔː	0.08
ə	i	0.08
ə	e	0.08
#>	i_z_#>	0.079
d	ð	0.077
ɫ	ɑ_l	0.075
ɫ	lː	0.075
ˈɑː	ˈɑ_x	0.074
ˈɑː	-	0.074
ˈʊə̯	ˈɑi̯	0.067
d̥	d_u	0.067
v	-	0.062
s	s_t	0.059
n	-	0.057
t	tː	0.056
