Ligurian	Venetian	probability
b	b	1.0
d	d	1.0
f	f	1.0
k	k	1.0
m	m	1.0
n	n	1.0
z	z	1.0
ɲ	ɲ	1.0
ʒ	z	1.0
ʧ	p_j	1.0
ˈa	ˈa	1.0
ˈi	ˈi	1.0
ˈu	ˈo	1.0
ˈy	ˈu	1.0
ˈyː	ˈu	1.0
ˈø	ˈɔ	1.0
ˈɔ	ˈɔ	1.0
ˈɔː	ˈɔ	1.0
ˈɛ	ˈɛ	1.0
v	v	0.971
ŋ	l_#>	0.141
ɡ	-	0.071
ˈe	ˈe	0.841
ˈiː	ˈi	0.731
ˈɛː	ˈa	0.571
e	e	0.762
i	e	0.492
j	r	0.322
l	ɰ	0.582
r	r	0.952
ŋ	ŋ	0.572
ʤ	b_j	0.082
ˈaː	ˈa	0.522
ˈeː	ˈɛ	0.402
ˈøː	ˈo	0.902
j	a_r	0.073
l	-	0.093
ˈeː	j_ˈe	0.113
ˈuː	ˈo	0.973
e	e_r	0.154
j	j	0.104
p	p_j	0.104
ʤ	ʧ	0.284
ˈaː	ˈa_r	0.444
l	l	0.325
w	r	0.145
p	p	0.896
w	w	0.596
ŋ	n	0.286
ʃ	s	0.956
ʤ	-	0.306
a	a	0.997
ˈeː	e	0.137
i	i	0.508
j	-	0.458
s	s	0.98
t	t	0.98
ˈeː	ˈe	0.348
ˈøː	ˈɔ	0.098
u	o	0.99
w	-	0.259
ɡ	ɡ	0.929
ʤ	z	0.109
ʤ	ʤ	0.219
ˈe	ˈɛ	0.159
ˈiː	ˈi_r	0.269
ˈɛː	ˈɛ	0.429
