Fuzhounese	Fuzhounese	probability
⁵⁵	³³	1.0
⁵³	¹³	1.0
ʦ	ʦ	1.0
ʔ_⁵	²⁴	1.0
ʔ_²⁴	²⁴	1.0
ɥ_ʔ	w	1.0
ɥ_ŋ	n	1.0
ɛ_j	i	1.0
ɔ	-	1.0
ɑ_ʔ	ɤ	1.0
³³	⁴¹	1.0
²⁴	²⁴	1.0
²¹³	⁴⁵	1.0
y	-	1.0
w_ɔ	a	1.0
w_o	ə	1.0
pʰ	pʰ	1.0
o_ŋ	ẽ	1.0
o_w	a	1.0
l̃	l	1.0
kʰ	kʰ	1.0
k_ø	k	1.0
j_ɛ	j	1.0
j_e	z̩	1.0
h_w	ɸ	1.0
<#_ʦʰ	<#	1.0
<#_ʦ	<#	1.0
<#_h	<#	1.0
ŋ	n	0.82
²⁴²	²¹	0.769
m	m	0.75
k	ʨ	0.727
ø	ə	0.667
tʰ	tʰ	0.667
h	x	0.667
ʦʰ	ʦʰ	0.6
<#	<#_ŋ	0.6
s	s	0.583
ɑ	-	0.571
t	ʦ	0.545
p	p	0.538
a	a	0.52
ɛ	i	0.5
ɛ	-	0.5
w	w	0.486
p	ɸ	0.462
t	t	0.455
e	-	0.455
ɑ	a	0.429
nˡ	nʲ	0.429
j	j	0.414
ʦʰ	ʨʰ	0.4
<#	<#_w	0.4
i	-	0.385
j	-	0.379
ɥ	j	0.375
ɥ	-	0.375
w	-	0.371
ø	-	0.333
tʰ	t	0.333
s	ɕ	0.333
h	ɸ	0.333
i	z̩	0.308
i	i	0.308
nˡ	ɤ	0.286
nˡ	l̃	0.286
o	-	0.278
u	ə	0.273
k	k	0.273
e	ə	0.273
e	ɒ	0.273
ɥ	ə	0.25
m	-	0.25
²⁴²	⁴⁵	0.231
o	o	0.222
u	y	0.182
u	e	0.182
u	a	0.182
u	-	0.182
o	a	0.167
a	ə	0.16
a	i	0.16
a	-	0.16
o	ɒ_w	0.111
o	u	0.111
o	j	0.111
ŋ	ẽ	0.1
w	ə	0.086
s	ʂ	0.083
j	z̩	0.069
j	i	0.069
j	a	0.069
w	ɥ	0.057
