Sicilian	Sicilian	probability
ˈɛ_tː	ˈi_t	1.0
ˈu_ɾ	ˈo	1.0
ˈu_ɕ	ˈɛ	1.0
ˈu_n	ˈu	1.0
ˈi_n	ˈi	1.0
ˈi_kː	ˈɛ_k	1.0
ˈe	ˈɛ	1.0
ˈa_n_ɪ_#>	ˈa_#>	1.0
ˈa_n	ˈa	1.0
ʧː	-	1.0
ʦː_ʊ	w	1.0
ʤː	-	1.0
ʤ	ʒ	1.0
ʐː	-	1.0
ʊ_#>	#>	1.0
ʈː	t	1.0
ʃ	ə_s	1.0
ɾ_ʊ	ɾ_ə	1.0
ɾ_ɪ_#>	#>	1.0
ɽ_ɪ	ə	1.0
ɽ	ɾ	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɪ_ɾ	ɾ	1.0
ɪ_r	ˈi	1.0
ɟ	ɡ_l	1.0
ɖː_ʊ_#>	ʎ_#>	1.0
ŋ	ŋ	1.0
z	-	1.0
v_ʊ	w	1.0
v_ɪ	w	1.0
v_i	b_ə	1.0
u	u	1.0
sː	s	1.0
s	s	1.0
p_ʊ_#>	p_#>	1.0
o	u	1.0
nː_ɪ	n_d	1.0
n_ʊ_#>	#>	1.0
n_ɪ	n_s	1.0
n_t_ʊ_#>	n_#>	1.0
n_t_ɪ_#>	n_#>	1.0
mː	m	1.0
m_ɪ_#>	m_#>	1.0
m	m	1.0
l_ˈi	ʎ_ˈe	1.0
l_ʊ_#>	l_#>	1.0
l	l	1.0
kː	k	1.0
k_ʊ_#>	#>	1.0
fː	f	1.0
f	f	1.0
dː	t	1.0
cː	ʎ	1.0
c	p_l	1.0
bː	-	1.0
a_#>	#>	1.0
a	ə	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʐ	<#_r	1.0
<#_ɕ	<#_s	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_j	<#	1.0
#>	s_#>	1.0
ˈa	ˈa	0.891
ɪ_#>	#>	0.881
k	k	0.878
ɟː	ʎ	0.875
b	b	0.846
n	n	0.76
<#_ˈɔ	<#_ˈɔ	0.75
<#_a	<#_ə	0.75
p	p	0.744
d	d	0.727
ʊ	ə	0.714
ˈɔ	ˈɔ	0.7
v	b	0.696
ʃː	ʃ	0.667
ɖː	ʎ	0.667
tː	t	0.667
j	ʒ	0.615
ˈo	ˈɔ	0.6
ʈ	ɾ	0.6
ɕ_ɪ_#>	w_#>	0.6
ɡ	ɡ	0.583
ɪ	ə	0.571
ˈɛ	ˈe	0.564
t	t	0.552
ɾ	ɾ	0.538
ɕ	s	0.5
ɕ	-	0.5
w	w	0.5
nː	ˈo_m	0.5
nː	ɲ	0.5
<#	<#_ɡ	0.5
<#	<#_ə	0.5
ˈu	ˈu	0.486
r	-	0.478
ˈi	ˈi	0.442
ˈu	ˈo	0.405
ˈo	ˈo	0.4
ʈ	t	0.4
ɕ_ɪ_#>	#>	0.4
j	-	0.385
i	ə	0.381
t	ð	0.379
ˈi	ˈɛ	0.372
ˈɛ	ˈɛ	0.333
ʃː	-	0.333
ɖː	l	0.333
w	l	0.333
tː	j_t	0.333
i	-	0.333
v	β	0.304
r	ɾ	0.304
ʊ	-	0.286
i	i	0.286
d	-	0.273
ɾ	r	0.256
ɪ	w	0.25
ɡ	ɣ	0.25
<#_ˈɔ	<#_ˈu	0.25
<#_a	<#_u	0.25
n	-	0.24
r	r	0.217
p	β	0.209
ɾ	-	0.205
ɡ	-	0.167
w	-	0.167
b	-	0.154
ˈi	ˈe	0.14
ˈɔ	ˈu	0.133
ɟː	ʎː	0.125
ˈu	ˈɔ	0.108
ɪ	-	0.107
ˈɔ	ˈo	0.1
ˈa	ˈe	0.078
k	ɣ	0.073
ɪ_#>	ˈi_#>	0.071
ɪ	ə_s	0.071
t	-	0.069
ˈɔ	-	0.067
ˈɛ	ˈi	0.051
ˈɛ	-	0.051
